mlbam,Manager,Tm,bbrefID,HOF,Years,First,Last,W,L,W%,Best,Worst,Ejections
427309,Joe Maddon,ANA,maddojo99,FALSE,4,1996,2021,125,138,0.475,4,4,5
117950,Torey Lovullo,ARI,lovulto01,FALSE,5,2017,2021,333,365,0.477,2,5,9
492535,Brian Snitker,ATL,snitkbr99,FALSE,6,2016,2021,433,387,0.528,1,5,14
492493,Brandon Hyde,BAL,hydebr99,FALSE,3,2019,2021,127,247,0.34,4,5,6
133321,Alex Cora,BOS,coraal01,FALSE,3,2018,2021,280,197,0.587,1,3,5
424325,David Ross,CHC,rossda01,FALSE,2,2020,2021,101,111,0.476,1,4,5
117517,Tony La Russa,CHW,larusto01,TRUE,9,1979,2021,607,576,0.513,1,6,30
110816,David Bell,CIN,bellda01,FALSE,3,2019,2021,184,190,0.492,2,4,16
114378,Terry Francona,CLE,francte01,FALSE,9,2013,2021,747,595,0.557,1,3,11
111034,Bud Black,COL,blackbu02,FALSE,5,2017,2021,346,352,0.496,2,4,7
134460,AJ Hinch,DET,hincha.01,FALSE,1,2021,2021,74,78,0.487,3,3,1
118443,Don Mattingly,FLA,mattido01,FALSE,6,2016,2021,371,487,0.432,2,5,15
110481,Dusty Baker,HOU,bakerdu01,FALSE,2,2020,2021,120,92,0.566,1,2,2
118414,Mike Matheny,KCR,mathemi01,FALSE,2,2020,2021,95,117,0.448,4,4,3
150353,Dave Roberts,LAD,roberda07,FALSE,6,2016,2021,533,328,0.619,1,2,9
112736,Craig Counsell,MIL,counscr01,FALSE,7,2015,2021,525,473,0.526,1,4,23
408306,Rocco Baldelli,MIN,baldero01,FALSE,3,2019,2021,204,170,0.545,1,5,6
467588,Luis Rojas,NYM,rojaslu99,FALSE,2,2020,2021,99,113,0.467,3,4,5
111213,Aaron Boone,NYY,booneaa01,FALSE,4,2018,2021,322,215,0.6,1,3,17
118942,Bob Melvin,OAK,melvibo01,FALSE,11,2011,2021,849,758,0.528,1,5,28
114833,Joe Girardi,PHI,girarjo01,FALSE,2,2020,2021,106,106,0.5,2,3,6
486359,Derek Shelton,PIT,sheltde99,FALSE,2,2020,2021,76,135,0.36,5,5,4
461344,Jayce Tingler,SDP,tinglja99,FALSE,2,2020,2021,113,98,0.536,2,3,8
122011,Scott Servais,SEA,servasc01,FALSE,6,2016,2021,431,429,0.501,2,5,15
137002,Gabe Kapler,SFG,kaplega01,FALSE,2,2020,2021,128,84,0.604,1,3,0
492917,Mike Shildt,STL,shildmi99,FALSE,4,2018,2021,244,196,0.555,1,3,9
408211,Kevin Cash,TBD,cashke01,FALSE,7,2015,2021,548,475,0.536,1,5,11
218595,Chris Woodward,TEX,woodwch01,FALSE,3,2019,2021,155,219,0.414,3,5,6
119271,Charlie Montoyo,TOR,montoch01,FALSE,3,2019,2021,184,190,0.492,3,4,4
118363,Dave Martinez,WSN,martida01,FALSE,4,2018,2021,264,272,0.493,2,5,8
121373,Ron Roenicke,BOS,roeniro01,FALSE,1,2020,2020,24,36,0.4,5,5,0
121075,Rick Renteria,CHW,renteri01,FALSE,4,2017,2020,236,309,0.433,2,4,24
118576,Lloyd McClendon,DET,mcclell01,FALSE,1,2020,2020,2,6,0.25,5,5,0
114599,Ron Gardenhire,DET,gardero01,FALSE,3,2018,2020,132,241,0.354,3,5,13
110385,Brad Ausmus,ANA,ausmubr01,FALSE,1,2019,2019,72,90,0.444,4,4,1
427309,Joe Maddon,CHC,maddojo99,FALSE,5,2015,2019,471,339,0.581,1,3,17
134460,AJ Hinch,HOU,hincha.01,FALSE,5,2015,2019,481,329,0.594,1,3,11
124681,Ned Yost,KCR,yostne01,FALSE,10,2010,2019,746,839,0.471,1,5,22
209068,Mickey Callaway,NYM,callami01,FALSE,2,2018,2019,163,161,0.503,3,4,6
137002,Gabe Kapler,PHI,kaplega01,FALSE,2,2018,2019,161,163,0.497,3,4,4
116346,Clint Hurdle,PIT,hurdlcl01,FALSE,9,2011,2019,735,720,0.505,2,5,42
120771,Tom Prince,PIT,princto01,FALSE,1,2019,2019,0,1,0,5,5,0
433477,Andy Green,SDP,greenan01,FALSE,4,2016,2019,274,366,0.428,4,5,12
150148,Rod Barajas,SDP,barajro01,FALSE,1,2019,2019,1,7,0.125,5,5,0
111136,Bruce Bochy,SFG,bochybr01,FALSE,13,2007,2019,1052,1054,0.5,1,5,44
121919,Mike Scioscia,ANA,sciosmi01,FALSE,19,2000,2018,1650,1428,0.536,1,4,47
427469,Buck Showalter,BAL,showabu99,FALSE,9,2010,2018,669,684,0.494,1,5,15
427406,Bryan Price,CIN,pricebr99,FALSE,5,2014,2018,279,387,0.419,4,5,11
427427,Jim Riggleman,CIN,rigglji99,FALSE,1,2018,2018,64,80,0.444,5,5,1
