mlbam,name,retroID,address,city,state,postalCode,country,phone,lat,long,capacity,turfType,roofType,leftLine,left,leftCenter,center,rightCenter,rightLine
4169,loanDepot park,MIA02,501 Marlins Way,Miami,FL,33125,USA,,25.77796236,-80.21951795,37446,Grass,Retractable,344,,386,407,392,335
1,Angel Stadium,ANA01,2000 Gene Autry Way,Anaheim,CA,92806,USA,(714) 940-2000,33.80019044,-117.8823996,45517,Grass,Open,330,347,389,396,365,330
2,Oriole Park at Camden Yards,BAL12,333 West Camden Street,Baltimore,MD,21201,USA,(410) 685-9800,39.283787,-76.621689,45971,Grass,Open,333,364,410,400,373,318
3,Fenway Park,BOS07,4 Yawkey Way,Boston,MA,2215,USA,(617) 267-9440,42.346456,-71.097441,37755,Grass,Open,310,379,390,420,380,302
4,Guaranteed Rate Field,CHI12,333 West 35th Street,Chicago,IL,60616,USA,(312) 674-1000,41.83,-87.634167,40241,Grass,Open,330,,377,400,372,335
6,Tiger Stadium,DET04,,Detroit,MI,,USA,,,,46945,Grass,Open,,,,,,
7,Kauffman Stadium,KAN06,One Royal Way,Kansas City,MO,64129,USA,(816) 921-8000,39.051567,-94.480483,38427,Grass,Open,330,,385,410,385,330
8,Hubert H. Humphrey Metrodome,MIN03,,Minneapolis,MN,,USA,,,,48678,Artificial Turf,Dome,343,,385,408,367,327
9,Yankee Stadium,NYC16,,Bronx,NY,,USA,,,,57768,Grass,Open,318,,399,408,385,314
10,Oakland Coliseum,OAK01,7000 Coliseum Way,Oakland,CA,94621,USA,(510) 638-4900,37.751511,-122.200698,46847,Grass,Open,330,367,388,400,388,330
11,The Kingdome,SEA02,,Seattle,WA,,USA,,,,59166,Artificial Turf,Dome,,,,,,
12,Tropicana Field,STP01,One Tropicana Drive,St. Petersburg,FL,33705,USA,(727) 825-3137,27.767778,-82.6525,25025,Artificial Turf,Dome,315,370,410,404,404,322
15,Chase Field,PHO01,401 East Jefferson Street,Phoenix,AZ,85004,USA,(602) 462-6500,33.445302,-112.066687,48359,Artificial Turf,Retractable,328,376,412,407,414,335
16,Turner Field,ATL02,755 Hank Aaron Drive,Atlanta,GA,30315,USA,(404) 522-7630,,,49393,Grass,Open,335,,380,401,390,330
18,Cinergy Field,CIN08,,Cincinnati,OH,,USA,,,,52953,Grass,Open,,,,,,
20,Hard Rock Stadium,MIA01,2269 Dan Marino Boulevard,Miami,FL,33056,USA,(305) 626-7400,,,37000,Grass,Retractable,340,,384,422,392,335
21,Astrodome,HOU02,,Houston,TX,,USA,,,,54370,Artificial Turf,Dome,,,,,,
22,Dodger Stadium,LOS03,1000 Vin Scully Avenue,Los Angeles,CA,90012-1199,USA,(323) 224-1500,34.07368,-118.24053,56000,Grass,Open,330,,385,395,385,330
23,Milwaukee County Stadium,MIL05,,Milwaukee,WI,,USA,,,,53192,Grass,Open,,,,,,
25,Shea Stadium,NYC17,,Flushing,NY,,USA,,,,57333,Grass,Open,338,,371,410,371,338
27,Three Rivers Stadium,PIT07,,Pittsburgh,PA,,USA,,,,47687,Artificial Turf,Open,,,,,,
28,Qualcomm Stadium,SAN01,,San Diego,CA,,USA,,,,66307,Grass,Open,327,,370,405,370,330
29,3Com Park at Candlestick Point,SFO02,,San Francisco,CA,,USA,,,,63000,Grass,Open,,,,,,
30,Busch Stadium,STL09,,St. Louis,MO,,USA,,,,50345,Grass,Open,330,,372,402,372,330
680,T-Mobile Park,SEA03,P.O. Box 4100,Seattle,WA,98104,USA,(206) 346-4000,47.591333,-122.33251,47929,Grass,Retractable,331,,390,405,387,327
2392,Minute Maid Park,HOU03,501 Crawford Street,Houston,TX,77002,USA,(713) 259-8000,29.756967,-95.355509,41000,Grass,Retractable,315,,362,409,373,326
2394,Comerica Park,DET05,2100 Woodward Avenue,Detroit,MI,48201,USA,(313) 471-2000,42.3391151,-83.048695,41083,Grass,Open,345,,370,420,365,330
2395,Oracle Park,SFO03,24 Willie Mays Plaza,San Francisco,CA,94107,USA,(415) 972-2000,37.778383,-122.389448,41915,Grass,Open,339,,399,391,415,309
2503,Cashman Field,LAS01,850 Las Vegas Blvd. N.,Las Vegas,NV,89101,USA,,,,9334,Grass,Open,328,,364,433,364,328
2504,Champion Stadium,LBV01,Champion Stadium,Lake Buena Vista,FL,34747,USA,(407) 939-2200,28.33725,-81.55613,9500,Grass,Open,340,,,400,,330
31,PNC Park,PIT08,115 Federal Street,Pittsburgh,PA,15212,USA,(412) 323-5000,40.446904,-80.005753,38753,Grass,Open,325,389,410,399,375,320
