Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1543.0,144.0,5327.0,4835.0,643,1190.0,241.0,19.0,175.0,612.0,69.0,23.0,396.0,1259.0,0.246,0.309,0.412,0.721,1994.0,93.0,52.0,24.0,19.0,26.0,31.0,0.297,100.0,98.0
season,Last 7 days,61.0,5.0,190.0,165.0,18,34.0,4.0,2.0,8.0,17.0,1.0,0.0,21.0,50.0,0.206,0.303,0.4,0.703,66.0,5.0,2.0,2.0,0.0,1.0,5.0,0.243,95.0,91.0
season,Last 14 days,125.0,11.0,390.0,355.0,33,72.0,10.0,2.0,13.0,32.0,7.0,1.0,30.0,106.0,0.203,0.269,0.352,0.621,125.0,9.0,2.0,3.0,0.0,1.0,7.0,0.25,73.0,67.0
season,Last 28 days,246.0,23.0,834.0,756.0,96,168.0,26.0,6.0,26.0,94.0,16.0,3.0,65.0,207.0,0.222,0.288,0.376,0.664,284.0,15.0,6.0,3.0,3.0,4.0,9.0,0.27,85.0,81.0
platoon,vs RHP,143.0,,3645.0,3305.0,448,813.0,175.0,12.0,109.0,426.0,53.0,18.0,269.0,886.0,0.246,0.308,0.405,0.714,1339.0,57.0,36.0,19.0,15.0,20.0,20.0,0.303,98.0,97.0
platoon,vs LHP,114.0,,1682.0,1530.0,195,377.0,66.0,7.0,66.0,186.0,16.0,5.0,127.0,373.0,0.246,0.31,0.428,0.738,655.0,36.0,16.0,5.0,4.0,6.0,11.0,0.284,104.0,100.0
platoon,vs RHP as RHB,143.0,,2423.0,2215.0,283,532.0,108.0,5.0,56.0,268.0,35.0,12.0,149.0,524.0,0.24,0.295,0.369,0.664,818.0,43.0,29.0,16.0,13.0,5.0,14.0,0.289,85.0,88.0
platoon,vs RHP as LHB,140.0,,1222.0,1090.0,165,281.0,67.0,7.0,53.0,158.0,18.0,6.0,120.0,362.0,0.258,0.335,0.478,0.813,521.0,14.0,7.0,3.0,2.0,15.0,6.0,0.337,124.0,119.0
platoon,vs LHP as RHB,111.0,,1194.0,1079.0,130,277.0,49.0,4.0,38.0,124.0,10.0,3.0,96.0,220.0,0.257,0.324,0.415,0.74,448.0,31.0,13.0,4.0,2.0,4.0,7.0,0.29,106.0,93.0
platoon,vs LHP as LHB,112.0,,488.0,451.0,65,100.0,17.0,3.0,28.0,62.0,6.0,2.0,31.0,153.0,0.222,0.275,0.459,0.734,207.0,5.0,3.0,1.0,2.0,2.0,4.0,0.265,100.0,121.0
