Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1492.0,144.0,5583.0,4962.0,762,1333.0,273.0,12.0,186.0,734.0,48.0,14.0,507.0,1087.0,0.269,0.34,0.441,0.781,2188.0,127.0,56.0,6.0,50.0,22.0,36.0,0.307,100.0,115.0
season,Last 7 days,64.0,6.0,237.0,208.0,36,62.0,10.0,1.0,9.0,36.0,3.0,0.0,23.0,48.0,0.298,0.377,0.486,0.863,101.0,8.0,4.0,0.0,1.0,1.0,0.0,0.349,121.0,135.0
season,Last 14 days,150.0,12.0,470.0,422.0,63,119.0,25.0,1.0,17.0,62.0,4.0,1.0,42.0,88.0,0.282,0.352,0.467,0.819,197.0,13.0,4.0,0.0,1.0,1.0,2.0,0.321,109.0,120.0
season,Last 28 days,284.0,25.0,992.0,890.0,128,251.0,51.0,6.0,29.0,125.0,5.0,1.0,88.0,181.0,0.282,0.35,0.451,0.801,401.0,20.0,8.0,0.0,5.0,4.0,4.0,0.324,105.0,119.0
platoon,vs RHP,144.0,,3707.0,3289.0,487,873.0,177.0,7.0,124.0,471.0,41.0,8.0,339.0,745.0,0.265,0.338,0.437,0.775,1436.0,86.0,39.0,4.0,34.0,14.0,23.0,0.305,99.0,114.0
platoon,vs LHP,108.0,,1876.0,1673.0,275,460.0,96.0,5.0,62.0,263.0,7.0,6.0,168.0,342.0,0.275,0.344,0.449,0.794,752.0,41.0,17.0,2.0,16.0,8.0,13.0,0.31,103.0,116.0
platoon,vs RHP as RHB,144.0,,2417.0,2135.0,320,557.0,108.0,4.0,76.0,308.0,30.0,7.0,224.0,488.0,0.261,0.335,0.422,0.757,901.0,57.0,28.0,1.0,29.0,6.0,15.0,0.301,94.0,114.0
platoon,vs RHP as LHB,139.0,,1290.0,1154.0,167,316.0,69.0,3.0,48.0,163.0,11.0,1.0,115.0,257.0,0.274,0.344,0.464,0.808,535.0,29.0,11.0,3.0,5.0,8.0,8.0,0.314,106.0,118.0
platoon,vs LHP as RHB,103.0,,1260.0,1113.0,178,315.0,64.0,2.0,37.0,169.0,4.0,1.0,129.0,235.0,0.283,0.359,0.444,0.803,494.0,28.0,8.0,0.0,10.0,8.0,9.0,0.327,106.0,111.0
platoon,vs LHP as LHB,106.0,,616.0,560.0,97,145.0,32.0,3.0,25.0,94.0,3.0,5.0,39.0,107.0,0.259,0.314,0.461,0.775,258.0,13.0,9.0,2.0,6.0,0.0,4.0,0.276,97.0,135.0
platoon,vs RH Starter,914.0,87.0,3400.0,3009.0,470,831.0,168.0,6.0,122.0,453.0,33.0,8.0,316.0,651.0,0.276,0.349,0.458,0.807,1377.0,76.0,39.0,5.0,30.0,15.0,20.0,0.313,107.0,123.0
platoon,vs LH Starter,578.0,57.0,2183.0,1953.0,292,502.0,105.0,6.0,64.0,281.0,15.0,6.0,191.0,436.0,0.257,0.326,0.415,0.741,811.0,51.0,17.0,1.0,20.0,7.0,16.0,0.297,90.0,103.0
hmvis,Home,718.0,72.0,2753.0,2423.0,382,649.0,136.0,10.0,88.0,366.0,29.0,10.0,270.0,528.0,0.268,0.345,0.441,0.786,1069.0,56.0,29.0,4.0,26.0,14.0,16.0,0.306,102.0,112.0
hmvis,Away,774.0,72.0,2830.0,2539.0,380,684.0,137.0,2.0,98.0,368.0,19.0,4.0,237.0,559.0,0.269,0.335,0.441,0.776,1119.0,71.0,27.0,2.0,24.0,8.0,20.0,0.307,99.0,118.0
half,1st Half,906.0,91.0,3538.0,3115.0,496,838.0,169.0,6.0,116.0,475.0,32.0,11.0,338.0,672.0,0.269,0.344,0.439,0.783,1367.0,88.0,38.0,6.0,40.0,15.0,25.0,0.305,101.0,118.0
half,2nd Half,586.0,53.0,2045.0,1847.0,266,495.0,104.0,6.0,70.0,259.0,16.0,3.0,169.0,415.0,0.268,0.334,0.445,0.778,821.0,39.0,18.0,0.0,10.0,7.0,11.0,0.31,99.0,111.0
month,April/March,270.0,26.0,992.0,890.0,131,229.0,51.0,4.0,26.0,123.0,9.0,2.0,75.0,188.0,0.257,0.322,0.411,0.733,366.0,27.0,15.0,0.0,11.0,2.0,9.0,0.295,88.0,110.0
