Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1544.0,144.0,5407.0,4785.0,657,1138.0,247.0,18.0,179.0,617.0,82.0,15.0,478.0,1204.0,0.238,0.316,0.409,0.725,1958.0,91.0,86.0,15.0,43.0,12.0,40.0,0.278,100.0,100.0
season,Last 7 days,61.0,6.0,220.0,197.0,34,54.0,11.0,3.0,6.0,32.0,2.0,1.0,15.0,37.0,0.274,0.332,0.452,0.784,89.0,4.0,4.0,0.0,4.0,0.0,0.0,0.304,116.0,113.0
season,Last 14 days,127.0,12.0,449.0,405.0,69,105.0,25.0,3.0,14.0,66.0,4.0,2.0,31.0,83.0,0.259,0.318,0.44,0.758,178.0,7.0,7.0,0.0,6.0,0.0,1.0,0.29,108.0,103.0
season,Last 28 days,248.0,24.0,893.0,806.0,113,196.0,46.0,4.0,28.0,106.0,21.0,2.0,69.0,184.0,0.243,0.308,0.414,0.722,334.0,13.0,10.0,0.0,8.0,1.0,8.0,0.279,99.0,96.0
platoon,vs RHP,143.0,,3589.0,3165.0,428,747.0,177.0,14.0,113.0,404.0,47.0,10.0,323.0,809.0,0.236,0.316,0.408,0.724,1291.0,62.0,61.0,10.0,30.0,8.0,21.0,0.279,100.0,100.0
platoon,vs LHP,120.0,,1818.0,1620.0,229,391.0,70.0,4.0,66.0,213.0,35.0,5.0,155.0,395.0,0.241,0.315,0.412,0.727,667.0,29.0,25.0,5.0,13.0,4.0,19.0,0.277,100.0,98.0
platoon,vs RHP as RHB,143.0,,2133.0,1892.0,242,440.0,101.0,9.0,58.0,221.0,24.0,6.0,174.0,519.0,0.233,0.311,0.387,0.699,733.0,38.0,49.0,4.0,14.0,0.0,15.0,0.287,93.0,97.0
platoon,vs RHP as LHB,140.0,,1456.0,1273.0,186,307.0,76.0,5.0,55.0,183.0,23.0,4.0,149.0,290.0,0.241,0.323,0.438,0.761,558.0,24.0,12.0,6.0,16.0,8.0,6.0,0.267,109.0,106.0
platoon,vs LHP as RHB,118.0,,1416.0,1274.0,154,306.0,59.0,4.0,42.0,148.0,16.0,4.0,112.0,311.0,0.24,0.309,0.392,0.7,499.0,23.0,18.0,3.0,9.0,2.0,15.0,0.284,94.0,84.0
platoon,vs LHP as LHB,109.0,,402.0,346.0,75,85.0,11.0,0.0,24.0,65.0,19.0,1.0,43.0,84.0,0.246,0.338,0.486,0.823,168.0,6.0,7.0,2.0,4.0,2.0,4.0,0.252,126.0,150.0
platoon,vs RH Starter,968.0,90.0,3414.0,3014.0,414,726.0,158.0,11.0,104.0,388.0,50.0,8.0,301.0,748.0,0.241,0.319,0.404,0.724,1218.0,61.0,60.0,11.0,28.0,6.0,25.0,0.284,100.0,100.0
platoon,vs LH Starter,576.0,54.0,1993.0,1771.0,243,412.0,89.0,7.0,75.0,229.0,32.0,7.0,177.0,456.0,0.233,0.309,0.418,0.727,740.0,30.0,26.0,4.0,15.0,6.0,15.0,0.269,100.0,98.0
hmvis,Home,760.0,74.0,2687.0,2358.0,309,538.0,112.0,10.0,81.0,287.0,45.0,5.0,254.0,615.0,0.228,0.313,0.387,0.7,913.0,53.0,47.0,4.0,24.0,7.0,20.0,0.271,94.0,89.0
hmvis,Away,784.0,70.0,2720.0,2427.0,348,600.0,135.0,8.0,98.0,330.0,37.0,10.0,224.0,589.0,0.247,0.319,0.431,0.749,1045.0,38.0,39.0,11.0,19.0,5.0,20.0,0.285,106.0,111.0
half,1st Half,994.0,92.0,3436.0,3033.0,408,705.0,152.0,13.0,115.0,381.0,37.0,9.0,313.0,790.0,0.232,0.312,0.405,0.717,1228.0,54.0,50.0,11.0,29.0,8.0,26.0,0.274,98.0,99.0
half,2nd Half,550.0,52.0,1971.0,1752.0,249,433.0,95.0,5.0,64.0,236.0,45.0,6.0,165.0,414.0,0.247,0.322,0.417,0.739,730.0,37.0,36.0,4.0,14.0,4.0,14.0,0.286,104.0,100.0
month,April/March,288.0,27.0,985.0,865.0,111,185.0,33.0,5.0,33.0,104.0,19.0,5.0,92.0,244.0,0.214,0.301,0.378,0.679,327.0,14.0,19.0,2.0,7.0,1.0,8.0,0.255,88.0,94.0
month,May,302.0,29.0,1070.0,937.0,120,222.0,55.0,3.0,37.0,109.0,4.0,3.0,108.0,255.0,0.237,0.321,0.42,0.741,394.0,30.0,12.0,3.0,10.0,2.0,6.0,0.282,104.0,108.0
month,June,294.0,26.0,994.0,880.0,140,224.0,45.0,4.0,33.0,135.0,8.0,0.0,85.0,205.0,0.255,0.326,0.427,0.754,376.0,6.0,14.0,4.0,11.0,3.0,6.0,0.292,108.0,104.0
month,July,264.0,24.0,909.0,813.0,90,181.0,43.0,1.0,26.0,81.0,14.0,3.0,70.0,215.0,0.223,0.294,0.374,0.668,304.0,10.0,15.0,5.0,6.0,3.0,11.0,0.268,85.0,80.0
month,August,269.0,26.0,1000.0,885.0,127,221.0,46.0,2.0,36.0,122.0,33.0,2.0,92.0,202.0,0.25,0.332,0.428,0.761,379.0,24.0,19.0,1.0,3.0,3.0,8.0,0.285,110.0,108.0
month,Sept/Oct,127.0,12.0,449.0,405.0,69,105.0,25.0,3.0,14.0,66.0,4.0,2.0,31.0,83.0,0.259,0.318,0.44,0.758,178.0,7.0,7.0,0.0,6.0,0.0,1.0,0.29,108.0,103.0
outcome,in Wins,802.0,77.0,2981.0,2588.0,461,686.0,136.0,11.0,117.0,434.0,47.0,12.0,297.0,605.0,0.265,0.35,0.462,0.812,1195.0,41.0,56.0,11.0,29.0,12.0,22.0,0.3,124.0,93.0
