Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1551.0,145.0,5448.0,4905.0,765,1312.0,249.0,13.0,232.0,737.0,72.0,20.0,451.0,1100.0,0.267,0.333,0.465,0.799,2283.0,105.0,48.0,10.0,32.0,14.0,32.0,0.3,100.0,119.0
season,Last 7 days,84.0,8.0,332.0,286.0,67,93.0,17.0,1.0,19.0,65.0,3.0,0.0,39.0,52.0,0.325,0.408,0.591,0.999,169.0,3.0,3.0,1.0,3.0,0.0,0.0,0.339,150.0,170.0
season,Last 14 days,156.0,14.0,565.0,491.0,114,156.0,30.0,2.0,36.0,112.0,7.0,2.0,58.0,91.0,0.318,0.395,0.607,1.002,298.0,6.0,9.0,1.0,6.0,0.0,1.0,0.324,149.0,166.0
season,Last 28 days,302.0,27.0,1054.0,931.0,155,258.0,42.0,3.0,53.0,151.0,15.0,4.0,98.0,181.0,0.277,0.354,0.499,0.853,465.0,18.0,16.0,2.0,7.0,1.0,4.0,0.291,114.0,131.0
platoon,vs RHP,145.0,,3948.0,3567.0,563,953.0,181.0,10.0,169.0,547.0,58.0,16.0,317.0,790.0,0.267,0.331,0.466,0.797,1661.0,84.0,34.0,6.0,23.0,14.0,25.0,0.298,100.0,119.0
platoon,vs LHP,109.0,,1500.0,1338.0,202,359.0,68.0,3.0,63.0,190.0,14.0,4.0,134.0,310.0,0.268,0.339,0.465,0.804,622.0,21.0,14.0,4.0,9.0,0.0,7.0,0.304,102.0,118.0
platoon,vs RHP as RHB,145.0,,3113.0,2819.0,484,774.0,145.0,6.0,151.0,470.0,48.0,11.0,247.0,634.0,0.275,0.337,0.491,0.828,1384.0,68.0,27.0,5.0,15.0,10.0,22.0,0.304,107.0,132.0
platoon,vs RHP as LHB,136.0,,835.0,748.0,79,179.0,36.0,4.0,18.0,77.0,10.0,5.0,70.0,156.0,0.239,0.307,0.37,0.678,277.0,16.0,7.0,1.0,8.0,4.0,3.0,0.277,72.0,84.0
platoon,vs LHP as RHB,109.0,,1317.0,1180.0,195,331.0,61.0,3.0,62.0,184.0,11.0,2.0,115.0,253.0,0.281,0.348,0.495,0.843,584.0,19.0,12.0,1.0,8.0,0.0,7.0,0.308,111.0,119.0
platoon,vs LHP as LHB,84.0,,183.0,158.0,7,28.0,7.0,0.0,1.0,6.0,3.0,2.0,19.0,57.0,0.177,0.272,0.241,0.513,38.0,2.0,2.0,3.0,1.0,0.0,0.0,0.267,34.0,59.0
platoon,vs RH Starter,1113.0,104.0,3892.0,3518.0,527,933.0,172.0,10.0,163.0,506.0,54.0,13.0,307.0,789.0,0.265,0.328,0.459,0.787,1614.0,75.0,35.0,7.0,24.0,13.0,23.0,0.297,97.0,116.0
platoon,vs LH Starter,438.0,41.0,1556.0,1387.0,238,379.0,77.0,3.0,69.0,231.0,18.0,7.0,144.0,311.0,0.273,0.345,0.482,0.828,669.0,30.0,13.0,3.0,8.0,1.0,9.0,0.305,107.0,125.0
hmvis,Home,719.0,70.0,2628.0,2373.0,386,647.0,126.0,11.0,116.0,371.0,33.0,7.0,212.0,520.0,0.273,0.337,0.482,0.819,1143.0,55.0,26.0,0.0,16.0,10.0,19.0,0.303,105.0,119.0
hmvis,Away,832.0,75.0,2820.0,2532.0,379,665.0,123.0,2.0,116.0,366.0,39.0,13.0,239.0,580.0,0.263,0.33,0.45,0.78,1140.0,50.0,22.0,10.0,16.0,4.0,13.0,0.296,96.0,119.0
half,1st Half,916.0,87.0,3290.0,2973.0,444,784.0,147.0,7.0,130.0,422.0,41.0,13.0,265.0,720.0,0.264,0.327,0.449,0.776,1335.0,68.0,24.0,7.0,19.0,9.0,23.0,0.305,95.0,115.0
half,2nd Half,635.0,58.0,2158.0,1932.0,321,528.0,102.0,6.0,102.0,315.0,31.0,7.0,186.0,380.0,0.273,0.342,0.491,0.833,948.0,37.0,24.0,3.0,13.0,5.0,9.0,0.291,108.0,124.0
month,April/March,248.0,24.0,890.0,793.0,107,185.0,24.0,1.0,35.0,99.0,13.0,2.0,76.0,208.0,0.233,0.307,0.398,0.705,316.0,17.0,11.0,1.0,7.0,1.0,6.0,0.269,78.0,101.0
month,May,300.0,28.0,1064.0,968.0,154,270.0,57.0,3.0,42.0,148.0,15.0,4.0,81.0,222.0,0.279,0.339,0.474,0.813,459.0,25.0,8.0,5.0,2.0,5.0,7.0,0.323,104.0,127.0
month,June,276.0,26.0,1007.0,911.0,142,257.0,53.0,3.0,40.0,136.0,11.0,5.0,85.0,212.0,0.282,0.343,0.479,0.822,436.0,22.0,3.0,1.0,7.0,3.0,7.0,0.326,106.0,122.0
month,July,250.0,23.0,821.0,752.0,120,196.0,40.0,1.0,40.0,117.0,9.0,3.0,58.0,167.0,0.261,0.317,0.476,0.793,358.0,13.0,6.0,0.0,5.0,1.0,5.0,0.284,98.0,112.0
month,August,321.0,30.0,1101.0,990.0,128,248.0,45.0,3.0,39.0,125.0,17.0,4.0,93.0,200.0,0.251,0.32,0.42,0.74,416.0,22.0,11.0,2.0,5.0,4.0,6.0,0.276,86.0,103.0
month,Sept/Oct,156.0,14.0,565.0,491.0,114,156.0,30.0,2.0,36.0,112.0,7.0,2.0,58.0,91.0,0.318,0.395,0.607,1.002,298.0,6.0,9.0,1.0,6.0,0.0,1.0,0.324,149.0,166.0
outcome,in Wins,867.0,81.0,3114.0,2777.0,575,843.0,162.0,9.0,168.0,554.0,45.0,13.0,274.0,555.0,0.304,0.37,0.55,0.92,1527.0,53.0,32.0,6.0,23.0,7.0,21.0,0.325,129.0,116.0
outcome,in Losses,684.0,64.0,2334.0,2128.0,190,469.0,87.0,4.0,64.0,183.0,27.0,7.0,177.0,545.0,0.22,0.284,0.355,0.639,756.0,52.0,16.0,4.0,9.0,7.0,11.0,0.265,62.0,112.0
stsub,as Starter,1305.0,145.0,5287.0,4761.0,733,1281.0,241.0,12.0,229.0,722.0,70.0,19.0,437.0,1065.0,0.269,0.334,0.469,0.803,2233.0,101.0,46.0,10.0,31.0,13.0,32.0,0.301,101.0,119.0
stsub,as Sub,246.0,0.0,161.0,144.0,32,31.0,8.0,1.0,3.0,15.0,2.0,1.0,14.0,35.0,0.215,0.292,0.347,0.639,50.0,4.0,2.0,0.0,1.0,1.0,0.0,0.262,62.0,99.0
age,Ages 25-,380.0,358.0,1520.0,1356.0,254,390.0,56.0,2.0,78.0,220.0,26.0,2.0,139.0,278.0,0.288,0.359,0.504,0.864,684.0,37.0,17.0,1.0,7.0,7.0,9.0,0.31,116.0,139.0
age,Ages 26-30,1047.0,852.0,3540.0,3205.0,450,838.0,175.0,8.0,134.0,468.0,39.0,14.0,275.0,736.0,0.261,0.323,0.446,0.769,1431.0,59.0,27.0,8.0,24.0,5.0,22.0,0.298,93.0,110.0
age,Ages 31-35,110.0,93.0,377.0,336.0,57,83.0,18.0,3.0,20.0,49.0,5.0,2.0,34.0,81.0,0.247,0.323,0.497,0.82,167.0,9.0,4.0,1.0,1.0,2.0,1.0,0.267,104.0,124.0
age,Ages 36+,14.0,2.0,11.0,8.0,4,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,0.125,0.364,0.125,0.489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,36.0,46.0
defp,as C,145.0,,525.0,469.0,61,114.0,35.0,0.0,15.0,49.0,0.0,0.0,45.0,101.0,0.243,0.315,0.414,0.729,194.0,13.0,6.0,2.0,3.0,0.0,3.0,0.278,84.0,109.0
defp,as 1B,145.0,,619.0,547.0,101,167.0,20.0,0.0,44.0,98.0,3.0,1.0,63.0,97.0,0.305,0.381,0.583,0.964,319.0,18.0,6.0,0.0,3.0,5.0,5.0,0.301,140.0,143.0
defp,as 2B,145.0,,647.0,584.0,98,160.0,36.0,2.0,36.0,93.0,14.0,1.0,58.0,128.0,0.274,0.342,0.527,0.869,308.0,8.0,3.0,0.0,2.0,0.0,1.0,0.294,116.0,135.0
defp,as 3B,145.0,,563.0,496.0,52,120.0,25.0,2.0,10.0,52.0,8.0,2.0,54.0,105.0,0.242,0.317,0.361,0.678,179.0,11.0,3.0,3.0,6.0,2.0,2.0,0.284,73.0,84.0
defp,as SS,145.0,,636.0,585.0,118,173.0,25.0,1.0,27.0,90.0,23.0,1.0,42.0,117.0,0.296,0.347,0.48,0.828,281.0,10.0,6.0,0.0,3.0,0.0,4.0,0.329,107.0,125.0
defp,as LF,145.0,,585.0,541.0,71,154.0,29.0,4.0,21.0,93.0,2.0,3.0,36.0,116.0,0.285,0.329,0.47,0.798,254.0,7.0,2.0,1.0,5.0,1.0,8.0,0.325,100.0,116.0
defp,as CF,145.0,,595.0,537.0,84,126.0,25.0,0.0,27.0,73.0,6.0,5.0,47.0,134.0,0.235,0.303,0.432,0.735,232.0,17.0,7.0,0.0,4.0,1.0,4.0,0.261,84.0,104.0
defp,as RF,145.0,,600.0,545.0,91,167.0,26.0,1.0,30.0,111.0,10.0,4.0,43.0,141.0,0.306,0.362,0.523,0.885,285.0,8.0,7.0,1.0,4.0,1.0,5.0,0.362,121.0,128.0
defp,as DH,135.0,,575.0,507.0,70,117.0,25.0,2.0,22.0,76.0,5.0,2.0,58.0,133.0,0.231,0.317,0.418,0.735,212.0,10.0,7.0,0.0,2.0,3.0,0.0,0.268,85.0,95.0
defp,as P,10.0,,20.0,17.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,-100.0
defp,as PH,66.0,,90.0,82.0,7,15.0,3.0,1.0,0.0,3.0,0.0,0.0,7.0,22.0,0.183,0.256,0.244,0.499,20.0,2.0,1.0,0.0,0.0,1.0,0.0,0.25,29.0,56.0
defp,as PH for DH,8.0,,8.0,6.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.167,0.375,0.167,0.542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,49.0,85.0
defp,as PR,,,,,12,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
defp,Other,1.0,,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0
defp,as Infield,145.0,,2990.0,2681.0,430,734.0,141.0,5.0,132.0,382.0,48.0,5.0,262.0,548.0,0.274,0.342,0.478,0.82,1281.0,60.0,24.0,5.0,17.0,7.0,15.0,0.298,106.0,121.0
defp,as Outfield,145.0,,1780.0,1623.0,246,447.0,80.0,5.0,78.0,277.0,18.0,12.0,126.0,391.0,0.275,0.331,0.475,0.806,771.0,32.0,16.0,2.0,13.0,3.0,17.0,0.316,102.0,116.0
defp,at Def. Pos.,145.0,,2403.0,2175.0,361,573.0,121.0,3.0,105.0,305.0,43.0,7.0,192.0,480.0,0.263,0.328,0.467,0.794,1015.0,48.0,22.0,2.0,12.0,1.0,12.0,0.292,99.0,120.0
defp,at Off. Pos.,145.0,,3024.0,2712.0,404,739.0,128.0,10.0,127.0,432.0,29.0,13.0,259.0,613.0,0.272,0.339,0.468,0.807,1268.0,56.0,26.0,5.0,20.0,13.0,20.0,0.307,102.0,114.0
leadoff,1st Batter G,145.0,,145.0,131.0,8,27.0,5.0,0.0,8.0,8.0,0.0,0.0,14.0,37.0,0.206,0.283,0.427,0.71,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,77.0,80.0
leadoff,Leadoff Inn.,145.0,,1253.0,1153.0,64,299.0,58.0,2.0,62.0,64.0,0.0,0.0,87.0,257.0,0.259,0.318,0.474,0.793,547.0,0.0,13.0,0.0,0.0,1.0,4.0,0.284,97.0,115.0
bop,Batting 1st,161.0,145.0,671.0,600.0,115,158.0,38.0,2.0,37.0,86.0,11.0,3.0,61.0,149.0,0.263,0.334,0.518,0.853,311.0,12.0,5.0,0.0,4.0,1.0,2.0,0.289,112.0,120.0
bop,Batting 2nd,150.0,145.0,652.0,593.0,107,166.0,26.0,1.0,30.0,95.0,18.0,1.0,50.0,123.0,0.28,0.343,0.479,0.821,284.0,10.0,7.0,0.0,1.0,1.0,4.0,0.308,106.0,111.0
bop,Batting 3rd,152.0,145.0,631.0,553.0,116,175.0,28.0,2.0,46.0,104.0,6.0,1.0,72.0,108.0,0.316,0.396,0.624,1.02,345.0,19.0,3.0,0.0,3.0,6.0,1.0,0.321,153.0,151.0
bop,Batting 4th,158.0,145.0,614.0,568.0,89,164.0,27.0,0.0,28.0,104.0,13.0,2.0,39.0,138.0,0.289,0.337,0.484,0.821,275.0,10.0,4.0,0.0,3.0,1.0,7.0,0.336,105.0,109.0
bop,Batting 5th,159.0,145.0,602.0,543.0,88,148.0,28.0,2.0,30.0,103.0,5.0,4.0,50.0,139.0,0.273,0.342,0.497,0.839,270.0,13.0,8.0,0.0,1.0,1.0,5.0,0.315,110.0,125.0
bop,Batting 6th,168.0,145.0,589.0,525.0,56,130.0,24.0,1.0,16.0,74.0,5.0,3.0,48.0,100.0,0.248,0.316,0.389,0.704,204.0,10.0,7.0,3.0,6.0,2.0,4.0,0.275,79.0,97.0
bop,Batting 7th,195.0,145.0,578.0,532.0,68,137.0,26.0,3.0,18.0,72.0,4.0,2.0,40.0,111.0,0.258,0.308,0.419,0.727,223.0,11.0,1.0,0.0,5.0,1.0,7.0,0.292,83.0,109.0
bop,Batting 8th,183.0,145.0,565.0,507.0,53,114.0,23.0,1.0,14.0,58.0,5.0,2.0,46.0,109.0,0.225,0.292,0.357,0.649,181.0,10.0,5.0,0.0,7.0,1.0,0.0,0.256,65.0,97.0
bop,Batting 9th,225.0,145.0,546.0,484.0,73,120.0,29.0,1.0,13.0,41.0,5.0,2.0,45.0,123.0,0.248,0.321,0.393,0.714,190.0,10.0,8.0,7.0,2.0,0.0,2.0,0.306,81.0,155.0
bop,"Bat1-2,non-P",308.0,290.0,1323.0,1193.0,222,324.0,64.0,3.0,67.0,181.0,29.0,4.0,111.0,272.0,0.272,0.338,0.499,0.837,595.0,22.0,12.0,0.0,5.0,2.0,6.0,0.299,109.0,116.0
bop,"Bat3-6,non-P",628.0,580.0,2436.0,2189.0,348,617.0,107.0,5.0,120.0,385.0,29.0,10.0,209.0,485.0,0.282,0.349,0.5,0.848,1094.0,52.0,22.0,3.0,13.0,10.0,17.0,0.311,112.0,122.0
bop,"Bat7-9,non-P",556.0,425.0,1669.0,1506.0,191,371.0,78.0,5.0,45.0,171.0,14.0,6.0,131.0,336.0,0.246,0.31,0.394,0.704,594.0,30.0,14.0,4.0,14.0,2.0,9.0,0.286,78.0,110.0
count,First Pitch,145.0,,708.0,690.0,163,275.0,54.0,1.0,53.0,158.0,16.0,1.0,0.0,0.0,0.399,0.405,0.71,1.115,490.0,17.0,10.0,4.0,4.0,0.0,7.0,0.346,174.0,137.0
count,1-0 Count,135.0,,369.0,360.0,63,129.0,27.0,0.0,24.0,63.0,8.0,1.0,0.0,0.0,0.358,0.369,0.633,1.002,228.0,7.0,7.0,0.0,2.0,0.0,1.0,0.311,147.0,118.0
count,2-0 Count,89.0,,124.0,123.0,33,40.0,7.0,0.0,10.0,28.0,7.0,0.0,0.0,0.0,0.325,0.323,0.626,0.949,77.0,4.0,0.0,0.0,1.0,0.0,2.0,0.263,132.0,87.0
count,3-0 Count,78.0,,113.0,26.0,15,11.0,0.0,0.0,4.0,14.0,1.0,1.0,87.0,0.0,0.423,0.867,0.885,1.752,23.0,1.0,0.0,0.0,0.0,12.0,0.0,0.318,351.0,104.0
count,0-1 Count,141.0,,480.0,468.0,93,154.0,35.0,1.0,27.0,90.0,6.0,5.0,0.0,0.0,0.329,0.334,0.581,0.915,272.0,17.0,6.0,1.0,5.0,0.0,9.0,0.285,125.0,115.0
count,1-1 Count,133.0,,402.0,393.0,82,137.0,20.0,2.0,26.0,79.0,7.0,4.0,0.0,0.0,0.349,0.346,0.608,0.954,239.0,9.0,2.0,0.0,7.0,0.0,4.0,0.297,135.0,108.0
count,2-1 Count,123.0,,258.0,252.0,69,86.0,13.0,0.0,24.0,67.0,2.0,3.0,0.0,0.0,0.341,0.337,0.679,1.016,171.0,3.0,0.0,3.0,3.0,0.0,1.0,0.268,147.0,113.0
count,3-1 Count,114.0,,262.0,110.0,21,33.0,8.0,0.0,7.0,21.0,0.0,0.0,150.0,0.0,0.3,0.702,0.564,1.266,62.0,2.0,1.0,0.0,1.0,2.0,1.0,0.25,232.0,83.0
count,0-2 Count,142.0,,467.0,463.0,30,73.0,20.0,1.0,8.0,28.0,6.0,0.0,0.0,202.0,0.158,0.165,0.257,0.422,119.0,13.0,4.0,0.0,0.0,0.0,3.0,0.257,5.0,121.0
count,1-2 Count,145.0,,791.0,776.0,55,120.0,24.0,3.0,9.0,54.0,11.0,3.0,0.0,386.0,0.155,0.162,0.228,0.391,177.0,11.0,8.0,2.0,4.0,0.0,0.0,0.288,-2.0,93.0
count,2-2 Count,145.0,,744.0,736.0,89,153.0,22.0,3.0,24.0,84.0,5.0,2.0,0.0,309.0,0.208,0.214,0.344,0.557,253.0,15.0,6.0,0.0,2.0,0.0,2.0,0.319,38.0,143.0
count,Full Count,144.0,,730.0,508.0,52,101.0,19.0,2.0,16.0,51.0,3.0,0.0,214.0,203.0,0.199,0.438,0.339,0.776,172.0,6.0,4.0,0.0,3.0,0.0,2.0,0.291,104.0,93.0
count,After 1-0,145.0,,2093.0,1743.0,295,478.0,83.0,6.0,98.0,288.0,,,315.0,346.0,0.274,0.388,0.497,0.885,867.0,34.0,17.0,3.0,14.0,12.0,8.0,0.289,123.0,115.0
