Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2071.0,143.0,5374.0,4746.0,699,1149.0,232.0,18.0,215.0,672.0,55.0,18.0,501.0,1275.0,0.242,0.32,0.434,0.754,2062.0,71.0,60.0,28.0,38.0,34.0,34.0,0.284,100.0,107.0
season,Last 7 days,96.0,6.0,231.0,207.0,28,49.0,12.0,1.0,11.0,26.0,0.0,1.0,20.0,59.0,0.237,0.316,0.464,0.78,96.0,1.0,4.0,0.0,0.0,1.0,3.0,0.277,106.0,110.0
season,Last 14 days,184.0,12.0,449.0,404.0,63,97.0,22.0,2.0,24.0,61.0,0.0,2.0,34.0,96.0,0.24,0.304,0.483,0.786,195.0,3.0,5.0,1.0,5.0,1.0,4.0,0.253,106.0,109.0
season,Last 28 days,328.0,23.0,860.0,772.0,110,184.0,35.0,4.0,40.0,107.0,4.0,2.0,69.0,184.0,0.238,0.305,0.449,0.755,347.0,8.0,9.0,2.0,8.0,2.0,5.0,0.259,99.0,104.0
platoon,vs RHP,142.0,,4001.0,3531.0,520,857.0,160.0,15.0,166.0,502.0,44.0,11.0,377.0,969.0,0.243,0.322,0.438,0.76,1545.0,52.0,48.0,20.0,24.0,30.0,27.0,0.286,102.0,110.0
platoon,vs LHP,108.0,,1373.0,1215.0,179,292.0,72.0,3.0,49.0,170.0,11.0,7.0,124.0,306.0,0.24,0.314,0.426,0.739,517.0,19.0,12.0,8.0,14.0,4.0,7.0,0.278,96.0,101.0
platoon,vs RHP as RHB,142.0,,2376.0,2116.0,314,510.0,96.0,6.0,105.0,306.0,20.0,4.0,198.0,630.0,0.241,0.315,0.441,0.756,933.0,39.0,37.0,10.0,14.0,13.0,20.0,0.29,100.0,112.0
platoon,vs RHP as LHB,141.0,,1625.0,1415.0,206,347.0,64.0,9.0,61.0,196.0,24.0,7.0,179.0,339.0,0.245,0.333,0.433,0.765,612.0,13.0,11.0,10.0,10.0,17.0,7.0,0.279,104.0,107.0
platoon,vs LHP as RHB,105.0,,1083.0,955.0,141,227.0,64.0,1.0,39.0,135.0,11.0,4.0,104.0,253.0,0.238,0.314,0.429,0.744,410.0,13.0,8.0,5.0,11.0,4.0,4.0,0.279,97.0,94.0
platoon,vs LHP as LHB,98.0,,290.0,260.0,38,65.0,8.0,2.0,10.0,35.0,0.0,3.0,20.0,53.0,0.25,0.31,0.412,0.722,107.0,6.0,4.0,3.0,3.0,0.0,3.0,0.275,92.0,120.0
platoon,vs RH Starter,1508.0,104.0,3887.0,3439.0,473,813.0,159.0,15.0,154.0,455.0,40.0,12.0,358.0,935.0,0.236,0.314,0.426,0.739,1464.0,51.0,42.0,20.0,27.0,27.0,28.0,0.277,96.0,104.0
platoon,vs LH Starter,563.0,39.0,1487.0,1307.0,226,336.0,73.0,3.0,61.0,217.0,15.0,6.0,143.0,340.0,0.257,0.336,0.458,0.794,598.0,20.0,18.0,8.0,11.0,7.0,6.0,0.3,111.0,116.0
hmvis,Home,1077.0,72.0,2689.0,2375.0,369,592.0,127.0,9.0,107.0,355.0,31.0,11.0,245.0,657.0,0.249,0.325,0.445,0.771,1058.0,29.0,33.0,14.0,21.0,18.0,20.0,0.297,104.0,107.0
hmvis,Away,994.0,71.0,2685.0,2371.0,330,557.0,105.0,9.0,108.0,317.0,24.0,7.0,256.0,618.0,0.235,0.314,0.423,0.738,1004.0,42.0,27.0,14.0,17.0,16.0,14.0,0.27,96.0,107.0
half,1st Half,1293.0,89.0,3327.0,2916.0,420,695.0,152.0,12.0,123.0,403.0,42.0,15.0,327.0,835.0,0.238,0.322,0.425,0.747,1240.0,51.0,42.0,18.0,24.0,24.0,21.0,0.289,99.0,107.0
half,2nd Half,778.0,54.0,2047.0,1830.0,279,454.0,80.0,6.0,92.0,269.0,13.0,3.0,174.0,440.0,0.248,0.317,0.449,0.766,822.0,20.0,18.0,10.0,14.0,10.0,13.0,0.276,103.0,106.0
month,April/March,374.0,26.0,961.0,835.0,122,196.0,44.0,3.0,38.0,117.0,6.0,1.0,97.0,224.0,0.235,0.324,0.431,0.755,360.0,15.0,17.0,4.0,8.0,6.0,7.0,0.272,101.0,115.0
month,May,348.0,25.0,940.0,833.0,126,195.0,35.0,4.0,43.0,123.0,8.0,5.0,81.0,252.0,0.234,0.308,0.441,0.749,367.0,16.0,11.0,8.0,7.0,9.0,4.0,0.279,98.0,109.0
month,June,419.0,28.0,1038.0,910.0,127,221.0,53.0,3.0,33.0,120.0,22.0,7.0,108.0,261.0,0.243,0.327,0.416,0.744,379.0,11.0,9.0,5.0,6.0,3.0,7.0,0.302,98.0,102.0
month,July,375.0,26.0,986.0,882.0,127,227.0,47.0,2.0,34.0,123.0,9.0,3.0,85.0,230.0,0.257,0.327,0.431,0.758,380.0,13.0,9.0,4.0,6.0,10.0,9.0,0.309,102.0,104.0
month,August,371.0,26.0,1000.0,882.0,134,213.0,31.0,4.0,43.0,128.0,10.0,0.0,96.0,212.0,0.241,0.32,0.432,0.752,381.0,13.0,9.0,6.0,6.0,5.0,3.0,0.269,100.0,105.0
month,Sept/Oct,184.0,12.0,449.0,404.0,63,97.0,22.0,2.0,24.0,61.0,0.0,2.0,34.0,96.0,0.24,0.304,0.483,0.786,195.0,3.0,5.0,1.0,5.0,1.0,4.0,0.253,106.0,109.0
outcome,in Wins,1090.0,76.0,2955.0,2554.0,496,694.0,147.0,11.0,148.0,483.0,36.0,9.0,321.0,611.0,0.272,0.358,0.512,0.87,1307.0,33.0,36.0,18.0,25.0,31.0,12.0,0.3,130.0,105.0
outcome,in Losses,981.0,67.0,2419.0,2192.0,203,455.0,85.0,7.0,67.0,189.0,19.0,9.0,180.0,664.0,0.208,0.274,0.344,0.618,755.0,38.0,24.0,10.0,13.0,3.0,22.0,0.263,65.0,105.0
stsub,as Starter,1287.0,143.0,5051.0,4472.0,651,1102.0,221.0,17.0,204.0,630.0,54.0,18.0,458.0,1185.0,0.246,0.322,0.44,0.762,1969.0,67.0,57.0,25.0,38.0,32.0,31.0,0.288,102.0,108.0
stsub,as Sub,784.0,0.0,323.0,274.0,48,47.0,11.0,1.0,11.0,42.0,1.0,0.0,43.0,90.0,0.172,0.291,0.339,0.63,93.0,4.0,3.0,3.0,0.0,2.0,3.0,0.208,69.0,97.0
age,Ages 25-,508.0,490.0,1932.0,1707.0,267,429.0,88.0,9.0,91.0,266.0,34.0,10.0,168.0,494.0,0.251,0.326,0.473,0.8,808.0,17.0,31.0,7.0,19.0,8.0,12.0,0.296,111.0,121.0
age,Ages 26-30,777.0,407.0,1733.0,1545.0,209,366.0,82.0,4.0,60.0,205.0,12.0,4.0,149.0,400.0,0.237,0.309,0.412,0.72,636.0,25.0,16.0,11.0,11.0,7.0,12.0,0.279,92.0,97.0
age,Ages 31-35,670.0,339.0,1551.0,1352.0,211,333.0,61.0,5.0,62.0,192.0,9.0,4.0,175.0,325.0,0.246,0.337,0.436,0.773,590.0,28.0,13.0,4.0,7.0,18.0,9.0,0.279,106.0,113.0
age,Ages 36+,116.0,51.0,158.0,142.0,12,21.0,1.0,0.0,2.0,9.0,0.0,0.0,9.0,56.0,0.148,0.197,0.197,0.395,28.0,1.0,0.0,6.0,1.0,1.0,1.0,0.224,7.0,10.0
defp,as C,143.0,,559.0,498.0,46,93.0,15.0,1.0,14.0,53.0,0.0,0.0,51.0,152.0,0.187,0.269,0.305,0.574,152.0,12.0,6.0,1.0,3.0,6.0,1.0,0.236,54.0,66.0
defp,as 1B,143.0,,636.0,549.0,109,161.0,23.0,2.0,30.0,79.0,8.0,3.0,78.0,98.0,0.293,0.387,0.506,0.893,278.0,9.0,7.0,0.0,2.0,14.0,6.0,0.31,138.0,128.0
defp,as 2B,143.0,,629.0,576.0,93,150.0,35.0,7.0,29.0,97.0,17.0,3.0,45.0,118.0,0.26,0.315,0.497,0.811,286.0,3.0,3.0,0.0,5.0,2.0,3.0,0.279,113.0,119.0
