Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2120.0,145.0,5481.0,4816.0,673,1138.0,231.0,17.0,176.0,638.0,70.0,20.0,521.0,1321.0,0.236,0.32,0.401,0.721,1931.0,88.0,84.0,24.0,33.0,25.0,35.0,0.287,100.0,99.0
season,Last 7 days,60.0,5.0,202.0,180.0,28,44.0,8.0,0.0,10.0,26.0,1.0,0.0,19.0,38.0,0.244,0.318,0.456,0.774,82.0,3.0,1.0,0.0,1.0,0.0,1.0,0.256,113.0,109.0
season,Last 14 days,165.0,12.0,456.0,413.0,58,106.0,23.0,0.0,15.0,55.0,4.0,2.0,38.0,106.0,0.257,0.322,0.421,0.743,174.0,9.0,2.0,1.0,1.0,2.0,4.0,0.311,106.0,100.0
season,Last 28 days,349.0,25.0,945.0,837.0,116,205.0,43.0,2.0,28.0,108.0,10.0,3.0,83.0,212.0,0.245,0.321,0.401,0.723,336.0,17.0,14.0,3.0,6.0,3.0,7.0,0.294,100.0,97.0
platoon,vs RHP,144.0,,4133.0,3639.0,509,860.0,180.0,13.0,134.0,485.0,50.0,10.0,385.0,996.0,0.236,0.319,0.403,0.722,1468.0,67.0,68.0,14.0,25.0,19.0,24.0,0.287,100.0,100.0
platoon,vs LHP,121.0,,1348.0,1177.0,164,278.0,51.0,4.0,42.0,153.0,20.0,10.0,136.0,325.0,0.236,0.322,0.393,0.715,463.0,21.0,16.0,10.0,8.0,6.0,11.0,0.289,99.0,95.0
platoon,vs RHP as RHB,143.0,,1893.0,1680.0,258,394.0,76.0,5.0,74.0,247.0,29.0,5.0,157.0,488.0,0.235,0.31,0.418,0.728,702.0,37.0,33.0,10.0,11.0,6.0,13.0,0.283,101.0,105.0
platoon,vs RHP as LHB,141.0,,2240.0,1959.0,251,466.0,104.0,8.0,60.0,238.0,21.0,5.0,228.0,508.0,0.238,0.326,0.391,0.717,766.0,30.0,35.0,4.0,14.0,13.0,11.0,0.289,99.0,95.0
platoon,vs LHP as RHB,113.0,,784.0,679.0,101,166.0,36.0,0.0,31.0,97.0,15.0,7.0,83.0,184.0,0.244,0.335,0.434,0.77,295.0,15.0,11.0,8.0,2.0,6.0,7.0,0.29,113.0,101.0
platoon,vs LHP as LHB,120.0,,564.0,498.0,63,112.0,15.0,4.0,11.0,56.0,5.0,3.0,53.0,141.0,0.225,0.302,0.337,0.64,168.0,6.0,5.0,2.0,6.0,0.0,4.0,0.287,78.0,96.0
platoon,vs RH Starter,1648.0,112.0,4293.0,3756.0,563,894.0,181.0,14.0,141.0,533.0,56.0,11.0,423.0,1042.0,0.238,0.324,0.406,0.73,1526.0,65.0,68.0,15.0,29.0,20.0,27.0,0.289,103.0,102.0
platoon,vs LH Starter,472.0,33.0,1188.0,1060.0,110,244.0,50.0,3.0,35.0,105.0,14.0,9.0,98.0,279.0,0.23,0.304,0.382,0.686,405.0,23.0,16.0,9.0,4.0,5.0,8.0,0.279,90.0,88.0
hmvis,Home,1076.0,71.0,2621.0,2279.0,307,513.0,105.0,8.0,82.0,291.0,34.0,10.0,264.0,642.0,0.225,0.315,0.386,0.701,880.0,39.0,43.0,16.0,17.0,14.0,9.0,0.274,95.0,90.0
hmvis,Away,1044.0,74.0,2860.0,2537.0,366,625.0,126.0,9.0,94.0,347.0,36.0,10.0,257.0,679.0,0.246,0.324,0.414,0.738,1051.0,49.0,41.0,8.0,16.0,11.0,26.0,0.298,105.0,108.0
half,1st Half,1366.0,92.0,3443.0,2998.0,394,659.0,132.0,10.0,109.0,375.0,47.0,14.0,351.0,891.0,0.22,0.312,0.38,0.691,1138.0,55.0,58.0,16.0,19.0,15.0,24.0,0.273,92.0,93.0
half,2nd Half,754.0,53.0,2038.0,1818.0,279,479.0,99.0,7.0,67.0,263.0,23.0,6.0,170.0,430.0,0.263,0.333,0.436,0.769,793.0,33.0,26.0,8.0,14.0,10.0,11.0,0.309,113.0,108.0
month,April/March,394.0,26.0,963.0,853.0,103,183.0,30.0,4.0,31.0,100.0,11.0,3.0,81.0,262.0,0.215,0.297,0.368,0.666,314.0,14.0,21.0,4.0,3.0,3.0,8.0,0.27,85.0,91.0
month,May,409.0,28.0,1044.0,917.0,100,190.0,39.0,2.0,28.0,96.0,14.0,6.0,104.0,276.0,0.207,0.294,0.346,0.64,317.0,14.0,12.0,4.0,7.0,3.0,6.0,0.261,78.0,81.0
month,June,406.0,27.0,1030.0,881.0,147,205.0,46.0,2.0,39.0,138.0,13.0,4.0,118.0,252.0,0.233,0.332,0.422,0.755,372.0,17.0,17.0,7.0,7.0,8.0,9.0,0.278,109.0,105.0
month,July,342.0,24.0,944.0,819.0,127,215.0,39.0,4.0,29.0,121.0,16.0,3.0,97.0,222.0,0.263,0.349,0.426,0.775,349.0,21.0,16.0,5.0,7.0,3.0,5.0,0.323,115.0,110.0
