Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2073.0,144.0,5343.0,4768.0,598,1143.0,227.0,20.0,163.0,577.0,76.0,21.0,430.0,1191.0,0.24,0.311,0.398,0.709,1899.0,85.0,76.0,33.0,34.0,29.0,45.0,0.284,100.0,96.0
season,Last 7 days,101.0,7.0,255.0,233.0,31,56.0,10.0,1.0,9.0,31.0,6.0,1.0,16.0,65.0,0.24,0.291,0.408,0.699,95.0,4.0,1.0,3.0,1.0,2.0,5.0,0.294,96.0,89.0
season,Last 14 days,206.0,14.0,506.0,461.0,61,114.0,19.0,1.0,21.0,60.0,10.0,1.0,32.0,124.0,0.247,0.299,0.43,0.729,198.0,6.0,4.0,4.0,4.0,2.0,5.0,0.291,104.0,95.0
season,Last 28 days,386.0,26.0,980.0,877.0,116,220.0,43.0,7.0,32.0,115.0,14.0,3.0,75.0,224.0,0.251,0.319,0.425,0.745,373.0,13.0,16.0,5.0,6.0,5.0,6.0,0.3,109.0,103.0
platoon,vs RHP,144.0,,4228.0,3779.0,456,892.0,163.0,15.0,122.0,441.0,65.0,17.0,332.0,939.0,0.236,0.307,0.384,0.691,1451.0,68.0,64.0,27.0,24.0,26.0,34.0,0.281,95.0,92.0
platoon,vs LHP,94.0,,1115.0,989.0,142,251.0,64.0,5.0,41.0,136.0,11.0,4.0,98.0,252.0,0.254,0.326,0.453,0.779,448.0,17.0,12.0,6.0,10.0,3.0,11.0,0.297,119.0,111.0
platoon,vs RHP as RHB,144.0,,2852.0,2557.0,344,623.0,106.0,8.0,98.0,330.0,50.0,11.0,214.0,619.0,0.244,0.31,0.406,0.716,1039.0,60.0,40.0,22.0,17.0,18.0,23.0,0.283,102.0,102.0
platoon,vs RHP as LHB,142.0,,1376.0,1222.0,112,269.0,57.0,7.0,24.0,111.0,15.0,6.0,118.0,320.0,0.22,0.3,0.337,0.637,412.0,8.0,24.0,5.0,7.0,8.0,11.0,0.277,81.0,74.0
platoon,vs LHP as RHB,93.0,,1037.0,922.0,134,243.0,60.0,5.0,41.0,131.0,10.0,4.0,89.0,225.0,0.264,0.334,0.473,0.807,436.0,17.0,12.0,6.0,8.0,2.0,8.0,0.304,126.0,110.0
platoon,vs LHP as LHB,47.0,,78.0,67.0,8,8.0,4.0,0.0,0.0,5.0,1.0,0.0,9.0,27.0,0.119,0.218,0.179,0.397,12.0,0.0,0.0,0.0,2.0,1.0,3.0,0.19,15.0,23.0
platoon,vs RH Starter,1610.0,110.0,4071.0,3638.0,456,857.0,167.0,13.0,126.0,438.0,58.0,16.0,323.0,919.0,0.236,0.306,0.393,0.699,1428.0,64.0,57.0,29.0,22.0,22.0,36.0,0.28,97.0,93.0
