Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2167.0,145.0,5316.0,4746.0,622,1102.0,196.0,24.0,190.0,592.0,64.0,33.0,430.0,1428.0,0.232,0.305,0.404,0.709,1916.0,113.0,79.0,34.0,25.0,15.0,44.0,0.289,100.0,95.0
season,Last 7 days,77.0,5.0,178.0,162.0,20,35.0,8.0,2.0,6.0,20.0,0.0,0.0,12.0,46.0,0.216,0.273,0.401,0.674,65.0,7.0,1.0,2.0,1.0,0.0,2.0,0.261,89.0,82.0
season,Last 14 days,181.0,12.0,442.0,404.0,60,102.0,16.0,3.0,20.0,60.0,3.0,0.0,31.0,115.0,0.252,0.308,0.455,0.764,184.0,13.0,2.0,4.0,1.0,4.0,3.0,0.304,114.0,103.0
season,Last 28 days,326.0,23.0,837.0,766.0,117,187.0,29.0,5.0,40.0,112.0,5.0,2.0,57.0,236.0,0.244,0.301,0.452,0.753,346.0,22.0,6.0,7.0,1.0,5.0,6.0,0.299,111.0,103.0
platoon,vs RHP,145.0,,3914.0,3508.0,450,796.0,145.0,19.0,137.0,424.0,43.0,28.0,300.0,1063.0,0.227,0.299,0.396,0.695,1390.0,78.0,66.0,22.0,16.0,9.0,33.0,0.284,96.0,92.0
platoon,vs LHP,114.0,,1402.0,1238.0,172,306.0,51.0,5.0,53.0,168.0,21.0,5.0,130.0,365.0,0.247,0.323,0.425,0.748,526.0,35.0,13.0,12.0,9.0,6.0,11.0,0.305,111.0,103.0
platoon,vs RHP as RHB,145.0,,2106.0,1892.0,257,426.0,74.0,6.0,75.0,242.0,26.0,14.0,140.0,625.0,0.225,0.294,0.39,0.683,737.0,49.0,46.0,19.0,7.0,3.0,19.0,0.293,93.0,93.0
platoon,vs RHP as LHB,144.0,,1808.0,1616.0,193,370.0,71.0,13.0,62.0,182.0,17.0,14.0,160.0,438.0,0.229,0.305,0.404,0.709,653.0,29.0,20.0,3.0,9.0,6.0,14.0,0.274,100.0,92.0
platoon,vs LHP as RHB,114.0,,1046.0,922.0,138,231.0,40.0,5.0,47.0,134.0,13.0,3.0,99.0,292.0,0.251,0.325,0.458,0.782,422.0,28.0,6.0,11.0,8.0,6.0,7.0,0.311,120.0,103.0
platoon,vs LHP as LHB,107.0,,356.0,316.0,34,75.0,11.0,0.0,6.0,34.0,8.0,2.0,31.0,73.0,0.237,0.318,0.329,0.647,104.0,7.0,7.0,1.0,1.0,0.0,4.0,0.29,86.0,99.0
platoon,vs RH Starter,1575.0,105.0,3844.0,3433.0,416,760.0,133.0,17.0,127.0,394.0,46.0,25.0,309.0,1051.0,0.221,0.296,0.381,0.677,1308.0,79.0,60.0,23.0,18.0,12.0,34.0,0.278,91.0,87.0
platoon,vs LH Starter,592.0,40.0,1472.0,1313.0,206,342.0,63.0,7.0,63.0,198.0,18.0,8.0,121.0,377.0,0.26,0.33,0.463,0.793,608.0,34.0,19.0,11.0,7.0,3.0,10.0,0.317,123.0,116.0
hmvis,Home,1159.0,75.0,2709.0,2396.0,344,568.0,88.0,15.0,106.0,326.0,32.0,15.0,241.0,728.0,0.237,0.315,0.419,0.734,1004.0,59.0,37.0,20.0,14.0,8.0,25.0,0.293,107.0,98.0
hmvis,Away,1008.0,70.0,2607.0,2350.0,278,534.0,108.0,9.0,84.0,266.0,32.0,18.0,189.0,700.0,0.227,0.295,0.388,0.683,912.0,54.0,42.0,14.0,11.0,7.0,19.0,0.285,93.0,92.0
half,1st Half,1345.0,90.0,3294.0,2911.0,378,660.0,114.0,16.0,114.0,361.0,46.0,21.0,288.0,870.0,0.227,0.305,0.394,0.7,1148.0,68.0,51.0,22.0,21.0,8.0,30.0,0.28,98.0,94.0
half,2nd Half,822.0,55.0,2022.0,1835.0,244,442.0,82.0,8.0,76.0,231.0,18.0,12.0,142.0,558.0,0.241,0.305,0.419,0.723,768.0,45.0,28.0,12.0,4.0,7.0,14.0,0.304,104.0,96.0
month,April/March,404.0,26.0,967.0,833.0,114,180.0,33.0,7.0,32.0,110.0,16.0,5.0,99.0,260.0,0.216,0.309,0.388,0.697,323.0,16.0,18.0,6.0,10.0,3.0,9.0,0.269,97.0,100.0
month,May,383.0,27.0,1022.0,904.0,131,238.0,39.0,3.0,35.0,126.0,16.0,8.0,87.0,244.0,0.263,0.336,0.429,0.765,388.0,19.0,15.0,9.0,7.0,5.0,7.0,0.321,116.0,115.0
month,June,417.0,28.0,966.0,869.0,97,163.0,27.0,4.0,40.0,90.0,11.0,8.0,78.0,283.0,0.188,0.264,0.366,0.63,318.0,24.0,13.0,4.0,2.0,0.0,10.0,0.224,77.0,70.0
month,July,387.0,25.0,938.0,833.0,104,201.0,43.0,4.0,28.0,97.0,10.0,6.0,74.0,223.0,0.241,0.319,0.403,0.722,336.0,22.0,22.0,6.0,3.0,2.0,8.0,0.296,104.0,95.0
month,August,395.0,27.0,981.0,903.0,116,218.0,38.0,3.0,35.0,109.0,8.0,6.0,61.0,303.0,0.241,0.295,0.406,0.702,367.0,19.0,9.0,5.0,2.0,1.0,7.0,0.323,97.0,91.0
month,Sept/Oct,181.0,12.0,442.0,404.0,60,102.0,16.0,3.0,20.0,60.0,3.0,0.0,31.0,115.0,0.252,0.308,0.455,0.764,184.0,13.0,2.0,4.0,1.0,4.0,3.0,0.304,114.0,103.0
outcome,in Wins,954.0,66.0,2448.0,2160.0,374,569.0,88.0,13.0,113.0,357.0,36.0,19.0,214.0,588.0,0.263,0.339,0.473,0.812,1022.0,55.0,40.0,21.0,12.0,11.0,24.0,0.31,128.0,92.0
outcome,in Losses,1213.0,79.0,2868.0,2586.0,248,533.0,108.0,11.0,77.0,235.0,28.0,14.0,216.0,840.0,0.206,0.276,0.346,0.622,894.0,58.0,39.0,13.0,13.0,4.0,20.0,0.271,76.0,106.0
stsub,as Starter,1305.0,145.0,4876.0,4352.0,569,1011.0,179.0,22.0,182.0,543.0,59.0,29.0,393.0,1308.0,0.232,0.305,0.409,0.714,1780.0,102.0,75.0,32.0,22.0,14.0,41.0,0.287,101.0,95.0
stsub,as Sub,862.0,0.0,440.0,394.0,53,91.0,17.0,2.0,8.0,49.0,5.0,4.0,37.0,120.0,0.231,0.301,0.345,0.647,136.0,11.0,4.0,2.0,3.0,1.0,3.0,0.309,84.0,102.0
age,Ages 25-,178.0,101.0,397.0,345.0,45,84.0,16.0,3.0,4.0,26.0,5.0,2.0,44.0,96.0,0.243,0.333,0.342,0.675,118.0,5.0,4.0,1.0,3.0,4.0,3.0,0.323,94.0,91.0
age,Ages 26-30,1306.0,886.0,3674.0,3287.0,454,777.0,133.0,14.0,157.0,460.0,47.0,26.0,293.0,1047.0,0.236,0.308,0.429,0.736,1409.0,83.0,52.0,24.0,16.0,7.0,32.0,0.295,107.0,101.0
age,Ages 31-35,633.0,295.0,1127.0,1013.0,110,220.0,42.0,6.0,25.0,93.0,12.0,5.0,82.0,247.0,0.217,0.286,0.345,0.63,349.0,23.0,18.0,8.0,6.0,4.0,9.0,0.261,79.0,75.0
age,Ages 36+,50.0,23.0,118.0,101.0,13,21.0,5.0,1.0,4.0,13.0,0.0,0.0,11.0,38.0,0.208,0.316,0.396,0.712,40.0,2.0,5.0,1.0,0.0,0.0,0.0,0.288,102.0,96.0
defp,as C,145.0,,605.0,527.0,66,112.0,19.0,1.0,22.0,54.0,4.0,5.0,56.0,183.0,0.213,0.308,0.378,0.686,199.0,16.0,18.0,2.0,2.0,1.0,7.0,0.278,95.0,98.0
defp,as 1B,145.0,,617.0,545.0,75,153.0,28.0,5.0,26.0,82.0,4.0,5.0,53.0,105.0,0.281,0.359,0.494,0.852,269.0,15.0,15.0,0.0,3.0,4.0,4.0,0.305,140.0,117.0
defp,as 2B,145.0,,563.0,511.0,59,112.0,17.0,4.0,7.0,42.0,4.0,2.0,42.0,124.0,0.219,0.282,0.309,0.591,158.0,18.0,4.0,2.0,4.0,1.0,6.0,0.273,69.0,63.0
defp,as 3B,145.0,,597.0,537.0,87,129.0,19.0,0.0,32.0,78.0,9.0,0.0,50.0,168.0,0.24,0.313,0.454,0.768,244.0,19.0,8.0,0.0,2.0,1.0,3.0,0.286,115.0,105.0
defp,as SS,145.0,,582.0,528.0,64,124.0,17.0,2.0,26.0,81.0,15.0,5.0,38.0,201.0,0.235,0.296,0.422,0.718,223.0,10.0,10.0,0.0,5.0,3.0,7.0,0.32,102.0,95.0
defp,as LF,145.0,,619.0,552.0,84,132.0,29.0,3.0,29.0,85.0,5.0,3.0,54.0,181.0,0.239,0.313,0.46,0.773,254.0,12.0,7.0,2.0,4.0,1.0,2.0,0.298,117.0,109.0
defp,as CF,145.0,,604.0,537.0,76,134.0,25.0,6.0,23.0,69.0,12.0,6.0,57.0,157.0,0.25,0.327,0.447,0.774,240.0,8.0,6.0,2.0,2.0,2.0,6.0,0.309,118.0,115.0
defp,as RF,145.0,,578.0,521.0,57,114.0,24.0,2.0,17.0,54.0,8.0,3.0,47.0,126.0,0.219,0.293,0.37,0.663,193.0,5.0,8.0,1.0,1.0,1.0,7.0,0.256,88.0,72.0
defp,as DH,10.0,,43.0,41.0,7,9.0,3.0,1.0,3.0,7.0,0.0,0.0,2.0,12.0,0.22,0.256,0.561,0.817,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.231,123.0,109.0
defp,as P,133.0,,240.0,207.0,10,22.0,3.0,0.0,0.0,5.0,0.0,0.0,6.0,103.0,0.106,0.135,0.121,0.256,25.0,1.0,1.0,25.0,1.0,0.0,0.0,0.21,-26.0,76.0
defp,as PH,132.0,,268.0,240.0,33,61.0,12.0,0.0,5.0,35.0,2.0,4.0,25.0,68.0,0.254,0.328,0.367,0.695,88.0,9.0,2.0,0.0,1.0,1.0,1.0,0.333,98.0,116.0
defp,as PR,,,,,4,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
defp,as Infield,145.0,,2964.0,2648.0,351,630.0,100.0,12.0,113.0,337.0,36.0,17.0,239.0,781.0,0.238,0.312,0.413,0.725,1093.0,78.0,55.0,4.0,16.0,10.0,27.0,0.292,105.0,96.0
defp,as Outfield,145.0,,1801.0,1610.0,217,380.0,78.0,11.0,69.0,208.0,25.0,12.0,158.0,464.0,0.236,0.311,0.427,0.738,687.0,25.0,21.0,5.0,7.0,4.0,15.0,0.287,108.0,98.0
defp,at Def. Pos.,145.0,,2354.0,2103.0,265,482.0,78.0,13.0,78.0,246.0,35.0,18.0,193.0,665.0,0.229,0.304,0.39,0.694,820.0,52.0,38.0,6.0,13.0,7.0,26.0,0.294,96.0,93.0
defp,at Off. Pos.,145.0,,2722.0,2436.0,347,598.0,115.0,11.0,112.0,341.0,29.0,15.0,231.0,660.0,0.245,0.32,0.44,0.759,1071.0,60.0,40.0,3.0,11.0,8.0,18.0,0.29,114.0,102.0
leadoff,1st Batter G,145.0,,145.0,129.0,3,28.0,4.0,1.0,3.0,3.0,0.0,0.0,15.0,37.0,0.217,0.303,0.333,0.637,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.281,82.0,66.0
leadoff,Leadoff Inn.,145.0,,1280.0,1137.0,46,270.0,53.0,8.0,45.0,46.0,0.0,0.0,120.0,327.0,0.237,0.322,0.417,0.738,474.0,0.0,21.0,1.0,0.0,1.0,13.0,0.294,109.0,103.0
bop,Batting 1st,195.0,145.0,651.0,579.0,83,142.0,25.0,3.0,26.0,71.0,10.0,8.0,60.0,153.0,0.245,0.322,0.434,0.756,251.0,8.0,7.0,2.0,3.0,0.0,6.0,0.288,113.0,97.0
bop,Batting 2nd,176.0,145.0,633.0,567.0,98,157.0,26.0,3.0,34.0,88.0,7.0,3.0,49.0,146.0,0.277,0.349,0.513,0.862,291.0,11.0,15.0,0.0,2.0,4.0,6.0,0.316,141.0,121.0
bop,Batting 3rd,167.0,145.0,618.0,553.0,82,143.0,24.0,5.0,36.0,89.0,11.0,2.0,54.0,174.0,0.259,0.33,0.515,0.845,285.0,14.0,7.0,0.0,4.0,2.0,4.0,0.308,136.0,108.0
bop,Batting 4th,163.0,145.0,604.0,535.0,66,123.0,22.0,0.0,23.0,78.0,7.0,4.0,53.0,172.0,0.23,0.313,0.4,0.713,214.0,14.0,13.0,0.0,2.0,1.0,6.0,0.292,102.0,83.0
bop,Batting 5th,185.0,145.0,593.0,524.0,70,107.0,17.0,2.0,19.0,55.0,4.0,3.0,52.0,148.0,0.204,0.291,0.353,0.644,185.0,13.0,13.0,0.0,3.0,0.0,6.0,0.244,83.0,75.0
