Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2175.0,146.0,5628.0,4903.0,738,1181.0,226.0,22.0,206.0,709.0,56.0,14.0,558.0,1289.0,0.241,0.328,0.422,0.75,2069.0,82.0,98.0,29.0,40.0,33.0,39.0,0.283,100.0,107.0
season,Last 7 days,98.0,7.0,246.0,209.0,34,48.0,13.0,0.0,10.0,33.0,2.0,1.0,22.0,44.0,0.23,0.313,0.435,0.748,91.0,4.0,6.0,3.0,6.0,2.0,2.0,0.236,99.0,103.0
season,Last 14 days,200.0,13.0,475.0,410.0,62,91.0,19.0,1.0,20.0,59.0,5.0,3.0,44.0,96.0,0.222,0.302,0.42,0.722,172.0,6.0,7.0,5.0,9.0,2.0,4.0,0.234,92.0,93.0
season,Last 28 days,397.0,26.0,947.0,832.0,113,177.0,32.0,2.0,39.0,109.0,13.0,5.0,86.0,216.0,0.213,0.29,0.397,0.687,330.0,9.0,10.0,6.0,13.0,6.0,4.0,0.234,83.0,87.0
platoon,vs RHP,146.0,,3964.0,3418.0,535,833.0,161.0,16.0,137.0,511.0,43.0,8.0,411.0,903.0,0.244,0.335,0.42,0.756,1437.0,59.0,78.0,23.0,34.0,17.0,27.0,0.289,102.0,109.0
platoon,vs LHP,124.0,,1664.0,1485.0,203,348.0,65.0,6.0,69.0,198.0,13.0,6.0,147.0,386.0,0.234,0.311,0.426,0.736,632.0,23.0,20.0,6.0,6.0,16.0,12.0,0.269,96.0,100.0
platoon,vs RHP as RHB,146.0,,2231.0,1920.0,297,495.0,95.0,7.0,82.0,281.0,23.0,4.0,226.0,486.0,0.258,0.348,0.443,0.79,850.0,37.0,51.0,11.0,23.0,6.0,13.0,0.3,111.0,123.0
platoon,vs RHP as LHB,141.0,,1733.0,1498.0,238,338.0,66.0,9.0,55.0,230.0,20.0,4.0,185.0,417.0,0.226,0.32,0.392,0.711,587.0,22.0,27.0,12.0,11.0,11.0,14.0,0.273,91.0,94.0
platoon,vs LHP as RHB,118.0,,1081.0,973.0,143,241.0,49.0,4.0,51.0,140.0,5.0,5.0,90.0,258.0,0.248,0.317,0.464,0.78,451.0,19.0,10.0,4.0,4.0,14.0,9.0,0.284,107.0,102.0
platoon,vs LHP as LHB,122.0,,583.0,512.0,60,107.0,16.0,2.0,18.0,58.0,8.0,1.0,57.0,128.0,0.209,0.299,0.354,0.653,181.0,4.0,10.0,2.0,2.0,2.0,3.0,0.242,75.0,100.0
platoon,vs RH Starter,1557.0,104.0,4007.0,3474.0,531,833.0,164.0,17.0,132.0,510.0,42.0,11.0,403.0,918.0,0.24,0.329,0.411,0.739,1427.0,55.0,74.0,22.0,34.0,19.0,31.0,0.285,98.0,105.0
platoon,vs LH Starter,618.0,42.0,1621.0,1429.0,207,348.0,62.0,5.0,74.0,199.0,14.0,3.0,155.0,371.0,0.244,0.327,0.449,0.776,642.0,27.0,24.0,7.0,6.0,14.0,8.0,0.277,106.0,111.0
hmvis,Home,1116.0,74.0,2719.0,2368.0,359,562.0,114.0,9.0,120.0,351.0,27.0,7.0,274.0,635.0,0.237,0.328,0.445,0.773,1054.0,40.0,52.0,11.0,14.0,17.0,19.0,0.272,106.0,108.0
hmvis,Away,1059.0,72.0,2909.0,2535.0,379,619.0,112.0,13.0,86.0,358.0,29.0,7.0,284.0,654.0,0.244,0.328,0.4,0.729,1015.0,42.0,46.0,18.0,26.0,16.0,20.0,0.293,95.0,106.0
half,1st Half,1333.0,91.0,3538.0,3053.0,476,744.0,137.0,16.0,123.0,454.0,27.0,8.0,382.0,805.0,0.244,0.338,0.42,0.758,1282.0,59.0,64.0,19.0,20.0,23.0,30.0,0.29,103.0,111.0
half,2nd Half,842.0,55.0,2090.0,1850.0,262,437.0,89.0,6.0,83.0,255.0,29.0,6.0,176.0,484.0,0.236,0.311,0.425,0.736,787.0,23.0,34.0,10.0,20.0,10.0,9.0,0.272,96.0,99.0
month,April/March,371.0,27.0,1069.0,907.0,127,212.0,42.0,7.0,31.0,120.0,10.0,2.0,126.0,259.0,0.234,0.34,0.398,0.738,361.0,20.0,23.0,6.0,7.0,9.0,4.0,0.29,98.0,112.0
month,May,400.0,27.0,1055.0,923.0,155,231.0,44.0,4.0,38.0,151.0,7.0,4.0,109.0,243.0,0.25,0.338,0.43,0.768,397.0,12.0,15.0,5.0,3.0,9.0,11.0,0.299,105.0,116.0
