Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2252.0,145.0,5536.0,4888.0,718,1211.0,241.0,24.0,218.0,686.0,61.0,12.0,541.0,1326.0,0.248,0.328,0.441,0.769,2154.0,107.0,53.0,30.0,23.0,39.0,47.0,0.295,100.0,111.0
season,Last 7 days,100.0,6.0,248.0,209.0,49,62.0,11.0,1.0,11.0,45.0,2.0,0.0,33.0,59.0,0.297,0.397,0.517,0.914,108.0,5.0,3.0,1.0,2.0,2.0,2.0,0.362,138.0,149.0
season,Last 14 days,215.0,13.0,533.0,461.0,88,132.0,35.0,5.0,19.0,83.0,6.0,1.0,63.0,116.0,0.286,0.378,0.508,0.885,234.0,12.0,6.0,1.0,2.0,5.0,5.0,0.345,130.0,138.0
season,Last 28 days,390.0,25.0,982.0,867.0,126,216.0,49.0,5.0,37.0,120.0,12.0,3.0,98.0,215.0,0.249,0.333,0.445,0.778,386.0,18.0,12.0,2.0,3.0,6.0,6.0,0.29,102.0,112.0
platoon,vs RHP,145.0,,3974.0,3521.0,522,871.0,182.0,23.0,159.0,498.0,44.0,4.0,377.0,987.0,0.247,0.326,0.448,0.773,1576.0,75.0,39.0,21.0,15.0,22.0,31.0,0.298,101.0,113.0
platoon,vs LHP,117.0,,1562.0,1367.0,196,340.0,59.0,1.0,59.0,188.0,17.0,8.0,164.0,339.0,0.249,0.334,0.423,0.756,578.0,32.0,14.0,9.0,8.0,17.0,16.0,0.288,98.0,106.0
platoon,vs RHP as RHB,145.0,,1782.0,1574.0,218,378.0,76.0,5.0,57.0,201.0,27.0,2.0,170.0,454.0,0.24,0.319,0.403,0.722,635.0,43.0,16.0,12.0,10.0,3.0,20.0,0.299,89.0,104.0
platoon,vs RHP as LHB,145.0,,2192.0,1947.0,304,493.0,106.0,18.0,102.0,297.0,17.0,2.0,207.0,533.0,0.253,0.331,0.483,0.815,941.0,32.0,23.0,9.0,5.0,19.0,11.0,0.297,110.0,119.0
platoon,vs LHP as RHB,117.0,,1045.0,917.0,133,243.0,44.0,1.0,45.0,128.0,10.0,7.0,110.0,201.0,0.265,0.348,0.462,0.81,424.0,25.0,8.0,8.0,2.0,16.0,13.0,0.294,111.0,111.0
platoon,vs LHP as LHB,113.0,,517.0,450.0,63,97.0,15.0,0.0,14.0,60.0,7.0,1.0,54.0,138.0,0.216,0.304,0.342,0.646,154.0,7.0,6.0,1.0,6.0,1.0,3.0,0.273,70.0,98.0
platoon,vs RH Starter,1566.0,100.0,3850.0,3393.0,519,855.0,170.0,18.0,158.0,494.0,42.0,9.0,385.0,922.0,0.252,0.333,0.452,0.786,1535.0,72.0,35.0,22.0,14.0,26.0,30.0,0.3,104.0,116.0
platoon,vs LH Starter,686.0,45.0,1686.0,1495.0,199,356.0,71.0,6.0,60.0,192.0,19.0,3.0,156.0,404.0,0.238,0.316,0.414,0.73,619.0,35.0,18.0,8.0,9.0,13.0,17.0,0.285,90.0,99.0
hmvis,Home,1114.0,70.0,2615.0,2285.0,335,585.0,129.0,13.0,91.0,319.0,32.0,5.0,275.0,618.0,0.256,0.341,0.443,0.784,1013.0,55.0,26.0,16.0,12.0,22.0,25.0,0.311,104.0,111.0
hmvis,Away,1138.0,75.0,2921.0,2603.0,383,626.0,112.0,11.0,127.0,367.0,29.0,7.0,266.0,708.0,0.24,0.316,0.438,0.754,1141.0,52.0,27.0,14.0,11.0,17.0,22.0,0.28,96.0,111.0
half,1st Half,1348.0,89.0,3374.0,2959.0,441,725.0,138.0,14.0,132.0,421.0,37.0,9.0,347.0,830.0,0.245,0.329,0.435,0.764,1287.0,68.0,30.0,22.0,15.0,21.0,32.0,0.295,99.0,112.0
half,2nd Half,904.0,56.0,2162.0,1929.0,277,486.0,103.0,10.0,86.0,265.0,24.0,3.0,194.0,496.0,0.252,0.326,0.449,0.776,867.0,39.0,23.0,8.0,8.0,18.0,15.0,0.295,101.0,109.0
month,April/March,394.0,26.0,951.0,841.0,106,189.0,41.0,3.0,32.0,103.0,13.0,2.0,92.0,243.0,0.225,0.305,0.395,0.7,332.0,24.0,7.0,5.0,5.0,8.0,11.0,0.275,83.0,100.0
month,May,429.0,28.0,1075.0,927.0,155,219.0,38.0,4.0,46.0,144.0,9.0,6.0,123.0,287.0,0.236,0.331,0.435,0.766,403.0,19.0,11.0,10.0,4.0,7.0,12.0,0.289,100.0,115.0
month,June,370.0,25.0,950.0,846.0,124,219.0,42.0,6.0,38.0,118.0,12.0,1.0,88.0,224.0,0.259,0.333,0.457,0.791,387.0,19.0,8.0,5.0,3.0,3.0,6.0,0.308,105.0,114.0
month,July,406.0,25.0,963.0,846.0,120,220.0,40.0,4.0,40.0,116.0,10.0,0.0,95.0,220.0,0.26,0.34,0.459,0.799,388.0,18.0,11.0,5.0,6.0,9.0,8.0,0.304,108.0,115.0
month,August,438.0,28.0,1064.0,967.0,125,232.0,45.0,2.0,43.0,122.0,11.0,2.0,80.0,236.0,0.24,0.304,0.424,0.728,410.0,15.0,10.0,4.0,3.0,7.0,5.0,0.274,89.0,98.0
month,Sept/Oct,215.0,13.0,533.0,461.0,88,132.0,35.0,5.0,19.0,83.0,6.0,1.0,63.0,116.0,0.286,0.378,0.508,0.885,234.0,12.0,6.0,1.0,2.0,5.0,5.0,0.345,130.0,138.0
outcome,in Wins,1478.0,95.0,3721.0,3238.0,589,880.0,173.0,21.0,168.0,566.0,47.0,11.0,402.0,840.0,0.272,0.357,0.494,0.85,1599.0,60.0,36.0,24.0,20.0,32.0,33.0,0.316,121.0,101.0
outcome,in Losses,774.0,50.0,1815.0,1650.0,129,331.0,68.0,3.0,50.0,120.0,14.0,1.0,139.0,486.0,0.201,0.269,0.336,0.606,555.0,47.0,17.0,6.0,3.0,7.0,14.0,0.252,58.0,100.0
stsub,as Starter,1305.0,145.0,4960.0,4382.0,639,1107.0,217.0,23.0,197.0,619.0,53.0,11.0,483.0,1160.0,0.253,0.332,0.448,0.779,1961.0,96.0,45.0,29.0,20.0,33.0,42.0,0.299,103.0,113.0
stsub,as Sub,947.0,0.0,576.0,506.0,79,104.0,24.0,1.0,21.0,67.0,8.0,1.0,58.0,166.0,0.206,0.296,0.381,0.677,193.0,11.0,8.0,1.0,3.0,6.0,5.0,0.258,77.0,110.0
age,Ages 25-,155.0,54.0,192.0,176.0,23,40.0,6.0,1.0,6.0,27.0,1.0,0.0,10.0,47.0,0.227,0.273,0.375,0.648,66.0,3.0,1.0,5.0,0.0,1.0,1.0,0.276,68.0,80.0
age,Ages 26-30,1071.0,575.0,2494.0,2228.0,325,515.0,105.0,13.0,94.0,282.0,40.0,7.0,221.0,633.0,0.231,0.307,0.417,0.723,928.0,39.0,26.0,10.0,9.0,14.0,17.0,0.279,88.0,98.0
age,Ages 31-35,1004.0,674.0,2848.0,2483.0,370,656.0,130.0,10.0,118.0,377.0,20.0,5.0,310.0,645.0,0.264,0.35,0.467,0.817,1160.0,65.0,26.0,14.0,14.0,24.0,29.0,0.31,113.0,125.0
age,Ages 36+,22.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,-100.0,-100.0
defp,as C,145.0,,605.0,528.0,84,146.0,28.0,1.0,24.0,72.0,0.0,0.0,71.0,131.0,0.277,0.368,0.47,0.837,248.0,16.0,5.0,1.0,0.0,8.0,5.0,0.327,119.0,141.0
defp,as 1B,145.0,,616.0,527.0,97,145.0,24.0,5.0,43.0,95.0,5.0,1.0,80.0,154.0,0.275,0.375,0.584,0.959,308.0,13.0,6.0,0.0,3.0,3.0,5.0,0.306,147.0,141.0
defp,as 2B,145.0,,613.0,558.0,61,141.0,25.0,1.0,17.0,67.0,3.0,0.0,41.0,93.0,0.253,0.309,0.392,0.702,219.0,18.0,7.0,1.0,5.0,1.0,9.0,0.274,83.0,92.0
defp,as 3B,145.0,,620.0,546.0,95,143.0,30.0,1.0,29.0,87.0,6.0,1.0,67.0,120.0,0.262,0.344,0.48,0.823,262.0,15.0,3.0,0.0,4.0,4.0,7.0,0.284,114.0,121.0
defp,as SS,145.0,,599.0,532.0,78,158.0,35.0,2.0,24.0,98.0,11.0,4.0,57.0,120.0,0.297,0.366,0.506,0.871,269.0,12.0,4.0,0.0,6.0,9.0,4.0,0.34,126.0,137.0
defp,as LF,145.0,,603.0,539.0,77,120.0,18.0,3.0,22.0,76.0,3.0,4.0,54.0,152.0,0.223,0.303,0.39,0.692,210.0,11.0,8.0,2.0,0.0,1.0,6.0,0.268,81.0,89.0
defp,as CF,145.0,,569.0,518.0,71,132.0,27.0,5.0,16.0,63.0,20.0,0.0,46.0,152.0,0.255,0.32,0.419,0.739,217.0,4.0,4.0,0.0,1.0,4.0,5.0,0.33,93.0,106.0
defp,as RF,145.0,,642.0,568.0,88,140.0,33.0,4.0,29.0,78.0,8.0,0.0,63.0,147.0,0.246,0.33,0.472,0.802,268.0,8.0,9.0,0.0,2.0,5.0,2.0,0.282,108.0,107.0
defp,as DH,10.0,,47.0,44.0,2,10.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,15.0,0.227,0.277,0.341,0.618,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.345,62.0,65.0
defp,as P,133.0,,276.0,232.0,14,19.0,3.0,1.0,0.0,9.0,1.0,1.0,18.0,132.0,0.082,0.148,0.103,0.251,24.0,1.0,0.0,26.0,0.0,0.0,1.0,0.19,-32.0,72.0
defp,as PH,138.0,,352.0,302.0,39,57.0,13.0,1.0,14.0,40.0,3.0,1.0,41.0,111.0,0.189,0.298,0.377,0.676,114.0,8.0,7.0,0.0,2.0,4.0,3.0,0.24,76.0,109.0
defp,as PH for DH,5.0,,6.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0
defp,as PR,,,,,12,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
defp,as Infield,145.0,,3053.0,2691.0,415,733.0,142.0,10.0,137.0,419.0,25.0,6.0,316.0,618.0,0.272,0.352,0.485,0.837,1306.0,74.0,25.0,2.0,18.0,25.0,30.0,0.305,117.0,126.0
defp,as Outfield,145.0,,1814.0,1625.0,236,392.0,78.0,12.0,67.0,217.0,31.0,4.0,163.0,451.0,0.241,0.318,0.428,0.746,695.0,23.0,21.0,2.0,3.0,10.0,13.0,0.293,94.0,101.0
defp,at Def. Pos.,145.0,,2386.0,2136.0,294,577.0,115.0,9.0,81.0,300.0,34.0,4.0,215.0,496.0,0.27,0.341,0.446,0.787,953.0,50.0,20.0,2.0,12.0,22.0,23.0,0.316,105.0,119.0
defp,at Off. Pos.,145.0,,2874.0,2520.0,410,615.0,123.0,14.0,137.0,377.0,26.0,7.0,308.0,698.0,0.244,0.333,0.467,0.8,1177.0,56.0,33.0,2.0,11.0,17.0,23.0,0.282,107.0,112.0
leadoff,1st Batter G,145.0,,145.0,129.0,5,35.0,7.0,0.0,5.0,5.0,0.0,0.0,15.0,27.0,0.271,0.352,0.442,0.794,57.0,0.0,1.0,0.0,0.0,0.0,1.0,0.309,108.0,104.0
leadoff,Leadoff Inn.,145.0,,1278.0,1142.0,52,275.0,55.0,4.0,45.0,52.0,0.0,0.0,120.0,302.0,0.241,0.322,0.414,0.736,473.0,0.0,16.0,0.0,0.0,0.0,10.0,0.289,92.0,102.0
bop,Batting 1st,225.0,145.0,677.0,591.0,101,144.0,29.0,4.0,34.0,86.0,15.0,2.0,75.0,142.0,0.244,0.336,0.479,0.815,283.0,8.0,8.0,1.0,1.0,0.0,6.0,0.264,111.0,112.0
bop,Batting 2nd,172.0,145.0,659.0,592.0,95,150.0,32.0,0.0,36.0,91.0,4.0,0.0,60.0,143.0,0.253,0.326,0.49,0.816,290.0,9.0,5.0,0.0,2.0,7.0,4.0,0.275,111.0,109.0
bop,Batting 3rd,174.0,145.0,648.0,570.0,101,147.0,36.0,4.0,28.0,72.0,1.0,0.0,70.0,151.0,0.258,0.343,0.482,0.825,275.0,15.0,5.0,0.0,3.0,4.0,6.0,0.302,114.0,105.0
bop,Batting 4th,195.0,145.0,627.0,535.0,90,138.0,24.0,4.0,26.0,79.0,8.0,2.0,83.0,146.0,0.258,0.359,0.464,0.822,248.0,11.0,4.0,0.0,5.0,1.0,4.0,0.304,115.0,111.0
bop,Batting 5th,177.0,145.0,615.0,543.0,90,164.0,30.0,2.0,28.0,99.0,12.0,2.0,63.0,109.0,0.302,0.378,0.519,0.897,282.0,13.0,5.0,1.0,3.0,3.0,8.0,0.333,133.0,141.0
bop,Batting 6th,179.0,145.0,601.0,535.0,71,153.0,24.0,3.0,24.0,88.0,6.0,0.0,54.0,143.0,0.286,0.358,0.477,0.834,255.0,20.0,8.0,0.0,4.0,4.0,4.0,0.347,117.0,132.0
bop,Batting 7th,204.0,145.0,588.0,534.0,61,119.0,21.0,1.0,14.0,59.0,9.0,4.0,43.0,146.0,0.223,0.287,0.345,0.631,184.0,13.0,6.0,2.0,3.0,5.0,8.0,0.279,66.0,83.0
bop,Batting 8th,211.0,145.0,570.0,505.0,61,120.0,29.0,5.0,15.0,72.0,3.0,1.0,54.0,136.0,0.238,0.32,0.404,0.724,204.0,11.0,8.0,1.0,2.0,13.0,4.0,0.295,89.0,119.0
bop,Batting 9th,715.0,145.0,551.0,483.0,48,76.0,16.0,1.0,13.0,40.0,3.0,1.0,39.0,210.0,0.157,0.226,0.275,0.502,133.0,7.0,4.0,25.0,0.0,2.0,3.0,0.242,31.0,79.0
bop,"Bat1-2,non-P",361.0,290.0,1335.0,1183.0,195,294.0,61.0,4.0,70.0,177.0,19.0,2.0,134.0,285.0,0.249,0.331,0.484,0.815,573.0,17.0,13.0,1.0,3.0,7.0,10.0,0.27,111.0,110.0
bop,"Bat3-6,non-P",686.0,580.0,2490.0,2183.0,352,602.0,114.0,13.0,106.0,338.0,26.0,4.0,270.0,549.0,0.276,0.359,0.486,0.845,1060.0,59.0,22.0,0.0,15.0,12.0,22.0,0.321,120.0,122.0
bop,"Bat7-9,non-P",588.0,300.0,1435.0,1290.0,157,296.0,63.0,6.0,42.0,162.0,14.0,5.0,119.0,360.0,0.229,0.302,0.385,0.688,497.0,30.0,18.0,3.0,5.0,20.0,14.0,0.284,79.0,105.0
count,First Pitch,144.0,,575.0,549.0,111,175.0,38.0,3.0,37.0,108.0,9.0,1.0,0.0,0.0,0.319,0.335,0.601,0.936,330.0,20.0,14.0,10.0,2.0,0.0,4.0,0.268,138.0,99.0
count,1-0 Count,130.0,,310.0,305.0,71,116.0,28.0,4.0,19.0,69.0,8.0,1.0,0.0,0.0,0.38,0.377,0.685,1.062,209.0,17.0,0.0,2.0,3.0,0.0,9.0,0.336,170.0,129.0
count,2-0 Count,87.0,,119.0,114.0,24,34.0,11.0,0.0,7.0,24.0,2.0,0.0,0.0,0.0,0.298,0.294,0.579,0.873,66.0,2.0,1.0,0.0,4.0,0.0,1.0,0.243,121.0,71.0
count,3-0 Count,84.0,,128.0,19.0,11,9.0,3.0,1.0,2.0,11.0,1.0,1.0,109.0,0.0,0.474,0.922,1.053,1.975,20.0,0.0,0.0,0.0,0.0,36.0,0.0,0.412,420.0,131.0
