Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1473.0,143.0,5227.0,4711.0,620,1106.0,217.0,20.0,180.0,596.0,96.0,13.0,413.0,1229.0,0.235,0.302,0.404,0.706,1903.0,92.0,53.0,19.0,29.0,18.0,41.0,0.278,100.0,94.0
season,Last 7 days,67.0,7.0,220.0,202.0,14,29.0,7.0,0.0,4.0,14.0,6.0,0.0,17.0,63.0,0.144,0.21,0.238,0.448,48.0,0.0,0.0,1.0,0.0,0.0,2.0,0.185,28.0,23.0
season,Last 14 days,142.0,14.0,494.0,450.0,44,94.0,21.0,0.0,11.0,44.0,13.0,0.0,41.0,136.0,0.209,0.274,0.329,0.603,148.0,6.0,0.0,1.0,2.0,3.0,4.0,0.272,72.0,63.0
season,Last 28 days,249.0,25.0,928.0,831.0,108,202.0,40.0,0.0,35.0,107.0,28.0,0.0,84.0,225.0,0.243,0.315,0.418,0.732,347.0,13.0,5.0,3.0,5.0,5.0,5.0,0.29,108.0,100.0
platoon,vs RHP,141.0,,3431.0,3094.0,416,718.0,140.0,16.0,112.0,397.0,72.0,7.0,258.0,820.0,0.232,0.297,0.396,0.693,1226.0,60.0,39.0,15.0,25.0,11.0,31.0,0.277,96.0,91.0
platoon,vs LHP,122.0,,1796.0,1617.0,204,388.0,77.0,4.0,68.0,199.0,24.0,6.0,155.0,409.0,0.24,0.311,0.419,0.73,677.0,32.0,14.0,4.0,4.0,7.0,10.0,0.28,107.0,98.0
platoon,vs RHP as RHB,141.0,,1737.0,1593.0,214,366.0,69.0,8.0,51.0,202.0,45.0,5.0,105.0,439.0,0.23,0.28,0.379,0.659,604.0,39.0,12.0,14.0,13.0,2.0,17.0,0.282,87.0,85.0
platoon,vs RHP as LHB,140.0,,1694.0,1501.0,202,352.0,71.0,8.0,61.0,195.0,27.0,2.0,153.0,381.0,0.235,0.314,0.414,0.729,622.0,21.0,27.0,1.0,12.0,9.0,14.0,0.272,106.0,97.0
platoon,vs LHP as RHB,117.0,,1404.0,1262.0,158,309.0,64.0,4.0,58.0,155.0,19.0,4.0,130.0,303.0,0.245,0.319,0.44,0.759,555.0,30.0,8.0,2.0,2.0,7.0,8.0,0.278,115.0,98.0
platoon,vs LHP as LHB,108.0,,392.0,355.0,46,79.0,13.0,0.0,10.0,44.0,5.0,2.0,25.0,106.0,0.223,0.284,0.344,0.627,122.0,2.0,6.0,2.0,2.0,0.0,2.0,0.286,79.0,92.0
platoon,vs RH Starter,911.0,87.0,3152.0,2850.0,351,660.0,129.0,13.0,92.0,337.0,68.0,8.0,235.0,780.0,0.232,0.297,0.383,0.68,1091.0,57.0,37.0,13.0,17.0,13.0,31.0,0.285,93.0,88.0
platoon,vs LH Starter,562.0,56.0,2075.0,1861.0,269,446.0,88.0,7.0,88.0,259.0,28.0,5.0,178.0,449.0,0.24,0.31,0.436,0.746,812.0,35.0,16.0,6.0,12.0,5.0,10.0,0.268,111.0,103.0
hmvis,Home,714.0,72.0,2575.0,2309.0,311,547.0,102.0,11.0,91.0,299.0,47.0,8.0,217.0,590.0,0.237,0.308,0.409,0.716,944.0,49.0,25.0,8.0,14.0,7.0,21.0,0.278,103.0,93.0
hmvis,Away,759.0,71.0,2652.0,2402.0,309,559.0,115.0,9.0,89.0,297.0,49.0,5.0,196.0,639.0,0.233,0.296,0.399,0.696,959.0,43.0,28.0,11.0,15.0,11.0,20.0,0.278,97.0,95.0
half,1st Half,927.0,87.0,3130.0,2822.0,379,647.0,127.0,13.0,108.0,360.0,43.0,8.0,247.0,731.0,0.229,0.298,0.398,0.697,1124.0,63.0,36.0,11.0,12.0,11.0,28.0,0.27,97.0,93.0
half,2nd Half,546.0,56.0,2097.0,1889.0,241,459.0,90.0,7.0,72.0,236.0,53.0,5.0,166.0,498.0,0.243,0.307,0.412,0.72,779.0,29.0,17.0,8.0,17.0,7.0,13.0,0.29,104.0,95.0
month,April/March,262.0,24.0,869.0,777.0,95,160.0,34.0,4.0,31.0,91.0,14.0,1.0,79.0,201.0,0.206,0.282,0.38,0.662,295.0,15.0,5.0,2.0,4.0,3.0,5.0,0.235,87.0,89.0
month,May,291.0,29.0,1031.0,924.0,114,209.0,43.0,4.0,31.0,107.0,13.0,4.0,85.0,243.0,0.226,0.299,0.382,0.681,353.0,28.0,12.0,7.0,3.0,5.0,13.0,0.273,94.0,91.0
month,June,278.0,24.0,874.0,804.0,128,203.0,33.0,4.0,33.0,122.0,9.0,2.0,51.0,192.0,0.252,0.307,0.427,0.733,343.0,12.0,14.0,0.0,5.0,2.0,8.0,0.291,107.0,98.0
month,July,232.0,24.0,880.0,790.0,103,188.0,36.0,3.0,34.0,101.0,15.0,4.0,66.0,227.0,0.238,0.305,0.42,0.725,332.0,11.0,13.0,5.0,6.0,3.0,6.0,0.288,105.0,95.0
month,August,268.0,28.0,1079.0,966.0,136,252.0,50.0,5.0,40.0,131.0,32.0,2.0,91.0,230.0,0.261,0.327,0.447,0.775,432.0,20.0,9.0,4.0,9.0,2.0,5.0,0.301,119.0,111.0
month,Sept/Oct,142.0,14.0,494.0,450.0,44,94.0,21.0,0.0,11.0,44.0,13.0,0.0,41.0,136.0,0.209,0.274,0.329,0.603,148.0,6.0,0.0,1.0,2.0,3.0,4.0,0.272,72.0,63.0
outcome,in Wins,709.0,70.0,2642.0,2365.0,424,645.0,131.0,11.0,117.0,408.0,52.0,8.0,215.0,582.0,0.273,0.338,0.486,0.824,1149.0,44.0,29.0,12.0,21.0,9.0,23.0,0.313,132.0,94.0
outcome,in Losses,764.0,73.0,2585.0,2346.0,196,461.0,86.0,9.0,63.0,188.0,44.0,5.0,198.0,647.0,0.197,0.265,0.321,0.587,754.0,48.0,24.0,7.0,8.0,9.0,18.0,0.242,67.0,94.0
stsub,as Starter,1287.0,143.0,5074.0,4579.0,602,1077.0,210.0,20.0,174.0,582.0,93.0,12.0,393.0,1183.0,0.235,0.301,0.404,0.705,1849.0,91.0,53.0,19.0,29.0,17.0,40.0,0.278,100.0,93.0
stsub,as Sub,186.0,0.0,153.0,132.0,18,29.0,7.0,0.0,6.0,14.0,3.0,1.0,20.0,46.0,0.22,0.322,0.409,0.731,54.0,1.0,0.0,0.0,0.0,1.0,1.0,0.288,108.0,127.0
age,Ages 25-,676.0,573.0,2287.0,2100.0,267,499.0,92.0,10.0,78.0,250.0,31.0,2.0,150.0,587.0,0.238,0.293,0.402,0.695,845.0,45.0,19.0,4.0,12.0,6.0,16.0,0.291,97.0,93.0
age,Ages 26-30,617.0,550.0,2261.0,2008.0,272,478.0,100.0,8.0,74.0,268.0,64.0,11.0,202.0,465.0,0.238,0.314,0.406,0.721,816.0,37.0,28.0,9.0,14.0,12.0,21.0,0.272,105.0,97.0
age,Ages 31-35,153.0,147.0,616.0,548.0,75,116.0,22.0,2.0,26.0,69.0,1.0,0.0,57.0,153.0,0.212,0.29,0.401,0.692,220.0,8.0,5.0,3.0,3.0,0.0,4.0,0.242,95.0,90.0
age,Ages 36+,27.0,17.0,63.0,55.0,6,13.0,3.0,0.0,2.0,9.0,0.0,0.0,4.0,24.0,0.236,0.3,0.4,0.7,22.0,2.0,1.0,3.0,0.0,0.0,0.0,0.379,98.0,92.0
defp,as C,143.0,,527.0,470.0,46,86.0,14.0,0.0,18.0,59.0,2.0,0.0,37.0,165.0,0.183,0.245,0.328,0.573,154.0,9.0,3.0,13.0,4.0,1.0,1.0,0.234,62.0,64.0
defp,as 1B,143.0,,539.0,486.0,61,100.0,20.0,1.0,19.0,52.0,2.0,1.0,42.0,152.0,0.206,0.277,0.368,0.645,179.0,10.0,7.0,0.0,3.0,2.0,4.0,0.255,83.0,64.0
defp,as 2B,143.0,,595.0,544.0,70,120.0,28.0,2.0,20.0,65.0,4.0,1.0,43.0,125.0,0.221,0.284,0.39,0.674,212.0,9.0,6.0,0.0,2.0,0.0,5.0,0.249,91.0,83.0
defp,as 3B,143.0,,589.0,514.0,99,129.0,30.0,5.0,31.0,85.0,20.0,3.0,61.0,91.0,0.251,0.34,0.51,0.849,262.0,11.0,9.0,3.0,2.0,9.0,5.0,0.249,139.0,127.0
defp,as SS,143.0,,592.0,554.0,70,146.0,27.0,5.0,10.0,51.0,17.0,0.0,26.0,132.0,0.264,0.299,0.384,0.684,213.0,10.0,5.0,1.0,6.0,0.0,3.0,0.325,94.0,87.0
defp,as LF,143.0,,576.0,532.0,53,129.0,25.0,2.0,11.0,69.0,15.0,3.0,37.0,93.0,0.242,0.293,0.359,0.652,191.0,7.0,2.0,2.0,3.0,0.0,4.0,0.274,86.0,78.0
defp,as CF,143.0,,586.0,507.0,64,121.0,20.0,2.0,11.0,47.0,18.0,4.0,67.0,146.0,0.239,0.341,0.351,0.692,178.0,12.0,12.0,0.0,0.0,0.0,8.0,0.314,100.0,96.0
