Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1495.0,145.0,5370.0,4786.0,617,1071.0,199.0,8.0,181.0,595.0,58.0,21.0,481.0,1363.0,0.224,0.301,0.382,0.683,1829.0,78.0,60.0,8.0,33.0,6.0,30.0,0.272,100.0,88.0
season,Last 7 days,66.0,6.0,227.0,204.0,29,49.0,9.0,0.0,10.0,28.0,2.0,0.0,20.0,52.0,0.24,0.308,0.431,0.74,88.0,4.0,1.0,0.0,2.0,1.0,4.0,0.271,115.0,100.0
season,Last 14 days,148.0,12.0,469.0,414.0,60,97.0,19.0,0.0,15.0,58.0,5.0,2.0,47.0,103.0,0.234,0.316,0.389,0.704,161.0,10.0,4.0,0.0,4.0,1.0,5.0,0.273,107.0,90.0
season,Last 28 days,282.0,25.0,985.0,877.0,116,203.0,37.0,0.0,32.0,114.0,7.0,5.0,92.0,235.0,0.231,0.31,0.383,0.693,336.0,13.0,10.0,0.0,6.0,2.0,8.0,0.278,103.0,90.0
platoon,vs RHP,141.0,,3488.0,3091.0,398,686.0,134.0,4.0,113.0,388.0,37.0,15.0,328.0,887.0,0.222,0.303,0.378,0.681,1167.0,45.0,43.0,4.0,22.0,3.0,20.0,0.271,100.0,89.0
platoon,vs LHP,118.0,,1882.0,1695.0,219,385.0,65.0,4.0,68.0,207.0,21.0,6.0,153.0,476.0,0.227,0.296,0.391,0.686,662.0,33.0,17.0,4.0,11.0,3.0,10.0,0.273,101.0,87.0
platoon,vs RHP as RHB,141.0,,1565.0,1394.0,171,318.0,61.0,2.0,49.0,167.0,17.0,7.0,128.0,402.0,0.228,0.305,0.38,0.685,530.0,22.0,31.0,1.0,11.0,0.0,11.0,0.282,101.0,94.0
platoon,vs RHP as LHB,140.0,,1923.0,1697.0,227,368.0,73.0,2.0,64.0,221.0,20.0,8.0,200.0,485.0,0.217,0.302,0.375,0.677,637.0,23.0,12.0,3.0,11.0,3.0,9.0,0.262,99.0,84.0
platoon,vs LHP as RHB,116.0,,1046.0,931.0,129,227.0,35.0,3.0,46.0,124.0,7.0,3.0,92.0,246.0,0.244,0.318,0.436,0.754,406.0,21.0,13.0,0.0,8.0,3.0,6.0,0.28,120.0,96.0
platoon,vs LHP as LHB,117.0,,836.0,764.0,90,158.0,30.0,1.0,22.0,83.0,14.0,3.0,61.0,230.0,0.207,0.268,0.335,0.603,256.0,12.0,4.0,4.0,3.0,0.0,4.0,0.264,77.0,84.0
platoon,vs RH Starter,906.0,89.0,3269.0,2897.0,370,634.0,126.0,4.0,110.0,361.0,33.0,12.0,307.0,837.0,0.219,0.3,0.379,0.679,1098.0,48.0,39.0,6.0,19.0,4.0,18.0,0.266,99.0,88.0
platoon,vs LH Starter,589.0,56.0,2101.0,1889.0,247,437.0,73.0,4.0,71.0,234.0,25.0,9.0,174.0,526.0,0.231,0.301,0.387,0.688,731.0,30.0,21.0,2.0,14.0,2.0,12.0,0.28,101.0,88.0
hmvis,Home,731.0,74.0,2646.0,2347.0,294,495.0,87.0,6.0,89.0,284.0,31.0,8.0,253.0,692.0,0.211,0.292,0.367,0.659,861.0,42.0,24.0,4.0,17.0,4.0,18.0,0.256,93.0,78.0
hmvis,Away,764.0,71.0,2724.0,2439.0,323,576.0,112.0,2.0,92.0,311.0,27.0,13.0,228.0,671.0,0.236,0.309,0.397,0.706,968.0,36.0,36.0,4.0,16.0,2.0,12.0,0.286,107.0,99.0
half,1st Half,909.0,91.0,3286.0,2935.0,371,636.0,130.0,6.0,110.0,359.0,40.0,11.0,287.0,865.0,0.217,0.293,0.378,0.67,1108.0,48.0,36.0,7.0,19.0,4.0,19.0,0.266,96.0,87.0
half,2nd Half,586.0,54.0,2084.0,1851.0,246,435.0,69.0,2.0,71.0,236.0,18.0,10.0,194.0,498.0,0.235,0.313,0.39,0.703,721.0,30.0,24.0,1.0,14.0,2.0,11.0,0.281,106.0,91.0
month,April/March,273.0,27.0,962.0,856.0,112,181.0,46.0,2.0,30.0,107.0,13.0,4.0,86.0,255.0,0.211,0.291,0.375,0.666,321.0,13.0,12.0,2.0,5.0,0.0,5.0,0.262,95.0,90.0
month,May,289.0,28.0,981.0,879.0,96,175.0,38.0,1.0,31.0,95.0,10.0,2.0,86.0,250.0,0.199,0.274,0.35,0.624,308.0,18.0,7.0,2.0,6.0,1.0,7.0,0.238,83.0,75.0
month,June,254.0,26.0,979.0,883.0,125,216.0,41.0,2.0,37.0,121.0,14.0,5.0,76.0,275.0,0.245,0.312,0.421,0.733,372.0,14.0,13.0,2.0,5.0,2.0,5.0,0.311,114.0,99.0
month,July,243.0,24.0,898.0,792.0,112,180.0,17.0,1.0,35.0,105.0,8.0,2.0,89.0,222.0,0.227,0.313,0.384,0.697,304.0,8.0,12.0,1.0,4.0,1.0,3.0,0.269,105.0,89.0
month,August,288.0,28.0,1081.0,962.0,112,222.0,38.0,2.0,33.0,109.0,8.0,6.0,97.0,258.0,0.231,0.306,0.377,0.684,363.0,15.0,12.0,1.0,9.0,1.0,5.0,0.278,100.0,88.0
month,Sept/Oct,148.0,12.0,469.0,414.0,60,97.0,19.0,0.0,15.0,58.0,5.0,2.0,47.0,103.0,0.234,0.316,0.389,0.704,161.0,10.0,4.0,0.0,4.0,1.0,5.0,0.273,107.0,90.0
outcome,in Wins,798.0,78.0,2940.0,2602.0,424,654.0,122.0,7.0,117.0,409.0,42.0,16.0,273.0,704.0,0.251,0.329,0.439,0.767,1141.0,42.0,37.0,6.0,20.0,4.0,17.0,0.298,124.0,82.0
outcome,in Losses,697.0,67.0,2430.0,2184.0,193,417.0,77.0,1.0,64.0,186.0,16.0,5.0,208.0,659.0,0.191,0.267,0.315,0.582,688.0,36.0,23.0,2.0,13.0,2.0,13.0,0.239,71.0,93.0
stsub,as Starter,1305.0,145.0,5213.0,4648.0,590,1037.0,192.0,8.0,177.0,572.0,54.0,20.0,465.0,1318.0,0.223,0.3,0.382,0.682,1776.0,77.0,58.0,8.0,32.0,6.0,29.0,0.27,100.0,87.0
stsub,as Sub,190.0,0.0,157.0,138.0,27,34.0,7.0,0.0,4.0,23.0,4.0,1.0,16.0,45.0,0.246,0.331,0.384,0.715,53.0,1.0,2.0,0.0,1.0,0.0,1.0,0.333,111.0,123.0
age,Ages 25-,476.0,418.0,1692.0,1529.0,163,318.0,66.0,2.0,49.0,173.0,16.0,9.0,142.0,478.0,0.208,0.28,0.35,0.63,535.0,21.0,13.0,3.0,5.0,1.0,9.0,0.267,85.0,76.0
age,Ages 26-30,863.0,742.0,3059.0,2706.0,384,638.0,111.0,5.0,98.0,328.0,39.0,11.0,278.0,737.0,0.236,0.315,0.389,0.704,1053.0,50.0,44.0,5.0,24.0,3.0,19.0,0.285,107.0,94.0
age,Ages 31-35,156.0,145.0,619.0,551.0,70,115.0,22.0,1.0,34.0,94.0,3.0,1.0,61.0,148.0,0.209,0.289,0.437,0.727,241.0,7.0,3.0,0.0,4.0,2.0,2.0,0.217,110.0,99.0
defp,as C,145.0,,542.0,484.0,47,92.0,22.0,0.0,16.0,57.0,0.0,0.0,48.0,176.0,0.19,0.265,0.335,0.6,162.0,13.0,3.0,0.0,5.0,1.0,2.0,0.256,76.0,73.0
defp,as 1B,145.0,,600.0,537.0,67,135.0,23.0,1.0,19.0,68.0,0.0,0.0,40.0,125.0,0.251,0.32,0.404,0.724,217.0,8.0,17.0,0.0,6.0,1.0,3.0,0.291,112.0,85.0
defp,as 2B,145.0,,581.0,521.0,67,121.0,26.0,1.0,15.0,64.0,16.0,4.0,46.0,136.0,0.232,0.305,0.372,0.678,194.0,13.0,10.0,1.0,3.0,0.0,4.0,0.284,99.0,86.0
defp,as 3B,145.0,,620.0,554.0,67,116.0,21.0,1.0,34.0,95.0,3.0,1.0,58.0,150.0,0.209,0.289,0.435,0.724,241.0,8.0,5.0,0.0,3.0,2.0,3.0,0.22,110.0,93.0
defp,as SS,145.0,,619.0,557.0,80,149.0,31.0,0.0,8.0,46.0,3.0,5.0,53.0,109.0,0.268,0.333,0.366,0.7,204.0,10.0,4.0,1.0,4.0,0.0,2.0,0.318,106.0,93.0
defp,as LF,145.0,,547.0,479.0,57,91.0,18.0,1.0,17.0,54.0,20.0,2.0,60.0,145.0,0.19,0.282,0.338,0.62,162.0,5.0,2.0,4.0,2.0,0.0,4.0,0.232,82.0,70.0
defp,as CF,145.0,,583.0,516.0,58,98.0,15.0,0.0,22.0,58.0,6.0,7.0,60.0,191.0,0.19,0.28,0.347,0.627,179.0,5.0,5.0,1.0,1.0,0.0,3.0,0.25,84.0,75.0
defp,as RF,145.0,,617.0,547.0,92,132.0,16.0,2.0,29.0,71.0,6.0,0.0,58.0,147.0,0.241,0.318,0.437,0.755,239.0,9.0,6.0,1.0,5.0,2.0,6.0,0.274,120.0,95.0
defp,as DH,135.0,,563.0,502.0,68,118.0,23.0,2.0,19.0,72.0,1.0,1.0,50.0,148.0,0.235,0.311,0.402,0.713,202.0,7.0,7.0,0.0,4.0,0.0,2.0,0.292,109.0,90.0
