Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2143.0,145.0,5336.0,4806.0,569,1127.0,209.0,20.0,140.0,543.0,100.0,25.0,408.0,1398.0,0.234,0.301,0.374,0.674,1796.0,81.0,59.0,29.0,28.0,22.0,35.0,0.299,100.0,87.0
season,Last 7 days,104.0,7.0,253.0,235.0,21,53.0,7.0,2.0,8.0,20.0,3.0,0.0,10.0,72.0,0.226,0.268,0.374,0.642,88.0,4.0,4.0,3.0,1.0,1.0,2.0,0.288,89.0,74.0
season,Last 14 days,185.0,12.0,434.0,397.0,44,84.0,13.0,3.0,12.0,42.0,4.0,1.0,26.0,124.0,0.212,0.267,0.35,0.618,139.0,5.0,5.0,4.0,2.0,2.0,6.0,0.274,82.0,66.0
season,Last 28 days,352.0,24.0,859.0,773.0,83,171.0,31.0,4.0,19.0,81.0,14.0,3.0,61.0,230.0,0.221,0.285,0.345,0.63,267.0,14.0,9.0,11.0,3.0,6.0,10.0,0.288,87.0,73.0
platoon,vs RHP,145.0,,3860.0,3477.0,427,820.0,142.0,16.0,102.0,406.0,85.0,18.0,295.0,988.0,0.236,0.302,0.374,0.676,1300.0,58.0,45.0,18.0,19.0,16.0,30.0,0.298,100.0,88.0
platoon,vs LHP,114.0,,1476.0,1329.0,142,307.0,67.0,4.0,38.0,137.0,15.0,7.0,113.0,410.0,0.231,0.296,0.373,0.669,496.0,23.0,14.0,11.0,9.0,6.0,5.0,0.302,98.0,82.0
platoon,vs RHP as RHB,145.0,,2472.0,2224.0,307,551.0,95.0,9.0,69.0,292.0,68.0,12.0,189.0,617.0,0.248,0.314,0.392,0.706,871.0,47.0,32.0,9.0,13.0,5.0,18.0,0.311,109.0,100.0
platoon,vs RHP as LHB,145.0,,1388.0,1253.0,120,269.0,47.0,7.0,33.0,114.0,17.0,6.0,106.0,371.0,0.215,0.282,0.342,0.624,429.0,11.0,13.0,9.0,6.0,11.0,12.0,0.276,85.0,70.0
platoon,vs LHP as RHB,110.0,,1044.0,930.0,114,221.0,52.0,0.0,30.0,111.0,12.0,4.0,90.0,287.0,0.238,0.31,0.39,0.7,363.0,16.0,10.0,8.0,6.0,4.0,3.0,0.309,107.0,83.0
platoon,vs LHP as LHB,111.0,,432.0,399.0,28,86.0,15.0,4.0,8.0,26.0,3.0,3.0,23.0,123.0,0.216,0.263,0.333,0.597,133.0,7.0,4.0,3.0,3.0,2.0,2.0,0.288,76.0,82.0
platoon,vs RH Starter,1500.0,102.0,3790.0,3422.0,416,798.0,140.0,15.0,104.0,394.0,77.0,20.0,282.0,1007.0,0.233,0.298,0.374,0.672,1280.0,48.0,43.0,16.0,21.0,17.0,27.0,0.298,99.0,86.0
platoon,vs LH Starter,643.0,43.0,1546.0,1384.0,153,329.0,69.0,5.0,36.0,149.0,23.0,5.0,126.0,391.0,0.238,0.307,0.373,0.68,516.0,33.0,16.0,13.0,7.0,5.0,8.0,0.304,102.0,87.0
hmvis,Home,1102.0,72.0,2615.0,2352.0,292,566.0,91.0,14.0,61.0,275.0,53.0,15.0,199.0,666.0,0.241,0.306,0.369,0.675,868.0,40.0,31.0,13.0,16.0,12.0,21.0,0.308,100.0,83.0
hmvis,Away,1041.0,73.0,2721.0,2454.0,277,561.0,118.0,6.0,79.0,268.0,47.0,10.0,209.0,732.0,0.229,0.295,0.378,0.673,928.0,41.0,28.0,16.0,12.0,10.0,14.0,0.291,99.0,90.0
half,1st Half,1326.0,90.0,3344.0,2997.0,358,701.0,122.0,14.0,88.0,339.0,68.0,18.0,271.0,878.0,0.234,0.303,0.372,0.675,1115.0,47.0,36.0,16.0,22.0,15.0,18.0,0.299,100.0,88.0
half,2nd Half,817.0,55.0,1992.0,1809.0,211,426.0,87.0,6.0,52.0,204.0,32.0,7.0,137.0,520.0,0.235,0.297,0.376,0.673,681.0,34.0,23.0,13.0,6.0,7.0,17.0,0.301,99.0,83.0
month,April/March,404.0,26.0,991.0,874.0,109,203.0,40.0,5.0,21.0,103.0,22.0,6.0,88.0,259.0,0.232,0.311,0.362,0.673,316.0,14.0,16.0,4.0,8.0,4.0,5.0,0.302,100.0,94.0
month,May,391.0,27.0,963.0,880.0,97,205.0,37.0,5.0,24.0,92.0,14.0,5.0,66.0,264.0,0.233,0.29,0.368,0.659,324.0,17.0,8.0,2.0,7.0,6.0,4.0,0.302,95.0,85.0
month,June,376.0,27.0,1011.0,909.0,114,213.0,38.0,3.0,31.0,108.0,19.0,5.0,81.0,252.0,0.234,0.302,0.385,0.687,350.0,12.0,10.0,5.0,6.0,2.0,7.0,0.288,103.0,87.0
month,July,385.0,25.0,932.0,835.0,93,202.0,34.0,2.0,26.0,87.0,24.0,4.0,74.0,237.0,0.242,0.312,0.381,0.693,318.0,15.0,12.0,7.0,3.0,3.0,6.0,0.306,106.0,88.0
month,August,402.0,28.0,1005.0,911.0,112,220.0,47.0,2.0,26.0,111.0,17.0,4.0,73.0,262.0,0.241,0.303,0.383,0.686,349.0,18.0,8.0,7.0,2.0,5.0,7.0,0.31,103.0,88.0
month,Sept/Oct,185.0,12.0,434.0,397.0,44,84.0,13.0,3.0,12.0,42.0,4.0,1.0,26.0,124.0,0.212,0.267,0.35,0.618,139.0,5.0,5.0,4.0,2.0,2.0,6.0,0.274,82.0,66.0
outcome,in Wins,885.0,61.0,2317.0,2059.0,360,570.0,106.0,12.0,85.0,342.0,54.0,7.0,190.0,547.0,0.277,0.345,0.464,0.808,955.0,33.0,31.0,17.0,15.0,15.0,17.0,0.336,139.0,92.0
outcome,in Losses,1258.0,84.0,3019.0,2747.0,209,557.0,103.0,8.0,55.0,201.0,46.0,18.0,218.0,851.0,0.203,0.267,0.306,0.573,841.0,48.0,28.0,12.0,13.0,7.0,18.0,0.271,71.0,90.0
stsub,as Starter,1305.0,145.0,4937.0,4458.0,523,1063.0,197.0,18.0,136.0,519.0,93.0,24.0,374.0,1277.0,0.238,0.303,0.382,0.685,1704.0,76.0,51.0,23.0,25.0,22.0,34.0,0.302,103.0,88.0
stsub,as Sub,838.0,0.0,399.0,348.0,46,64.0,12.0,2.0,4.0,24.0,7.0,1.0,34.0,121.0,0.184,0.27,0.264,0.534,92.0,5.0,8.0,6.0,3.0,0.0,1.0,0.265,60.0,68.0
age,Ages 25-,663.0,434.0,1688.0,1531.0,169,329.0,58.0,8.0,41.0,134.0,33.0,9.0,123.0,530.0,0.215,0.278,0.344,0.621,526.0,12.0,13.0,13.0,7.0,13.0,12.0,0.298,84.0,74.0
age,Ages 26-30,678.0,327.0,1312.0,1185.0,115,276.0,50.0,3.0,30.0,133.0,18.0,3.0,94.0,370.0,0.233,0.298,0.356,0.654,422.0,29.0,18.0,11.0,4.0,3.0,12.0,0.312,94.0,80.0
age,Ages 31-35,802.0,544.0,2336.0,2090.0,285,522.0,101.0,9.0,69.0,276.0,49.0,13.0,191.0,498.0,0.25,0.319,0.406,0.724,848.0,40.0,28.0,5.0,17.0,6.0,11.0,0.294,115.0,100.0
