Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2142.0,146.0,5283.0,4686.0,579,1117.0,204.0,12.0,161.0,549.0,48.0,24.0,456.0,1245.0,0.238,0.316,0.39,0.706,1828.0,109.0,88.0,31.0,22.0,21.0,40.0,0.29,100.0,95.0
season,Last 7 days,112.0,7.0,275.0,231.0,33,51.0,9.0,2.0,9.0,29.0,5.0,3.0,34.0,68.0,0.221,0.33,0.394,0.724,91.0,6.0,5.0,2.0,3.0,2.0,4.0,0.268,106.0,98.0
season,Last 14 days,220.0,14.0,554.0,478.0,82,122.0,24.0,3.0,21.0,76.0,10.0,6.0,55.0,123.0,0.255,0.34,0.45,0.79,215.0,10.0,10.0,4.0,7.0,3.0,9.0,0.296,123.0,112.0
season,Last 28 days,398.0,26.0,991.0,873.0,123,217.0,41.0,5.0,34.0,115.0,16.0,8.0,79.0,224.0,0.249,0.327,0.424,0.751,370.0,22.0,27.0,4.0,8.0,5.0,12.0,0.294,112.0,105.0
platoon,vs RHP,145.0,,3726.0,3307.0,423,784.0,145.0,10.0,117.0,403.0,36.0,16.0,311.0,875.0,0.237,0.315,0.393,0.708,1300.0,72.0,70.0,23.0,15.0,13.0,32.0,0.286,101.0,96.0
platoon,vs LHP,122.0,,1557.0,1379.0,156,333.0,59.0,2.0,44.0,146.0,12.0,8.0,145.0,370.0,0.241,0.32,0.383,0.703,528.0,37.0,18.0,8.0,7.0,8.0,8.0,0.297,100.0,92.0
platoon,vs RHP as RHB,145.0,,1538.0,1395.0,188,330.0,57.0,6.0,50.0,177.0,11.0,6.0,92.0,413.0,0.237,0.299,0.394,0.692,549.0,40.0,33.0,14.0,4.0,1.0,20.0,0.299,96.0,95.0
platoon,vs RHP as LHB,144.0,,2188.0,1912.0,235,454.0,88.0,4.0,67.0,226.0,25.0,10.0,219.0,462.0,0.237,0.326,0.393,0.719,751.0,32.0,37.0,9.0,11.0,12.0,12.0,0.278,104.0,96.0
platoon,vs LHP as RHB,121.0,,985.0,883.0,107,208.0,42.0,2.0,40.0,102.0,7.0,4.0,83.0,236.0,0.236,0.306,0.424,0.73,374.0,20.0,9.0,5.0,5.0,8.0,6.0,0.275,106.0,90.0
platoon,vs LHP as LHB,118.0,,572.0,496.0,49,125.0,17.0,0.0,4.0,44.0,5.0,4.0,62.0,134.0,0.252,0.344,0.31,0.655,154.0,17.0,9.0,3.0,2.0,0.0,2.0,0.336,88.0,102.0
