Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2082.0,145.0,5416.0,4782.0,647,1230.0,234.0,20.0,166.0,613.0,53.0,25.0,488.0,1159.0,0.257,0.334,0.419,0.753,2002.0,140.0,78.0,38.0,28.0,35.0,47.0,0.305,100.0,108.0
season,Last 7 days,102.0,7.0,274.0,238.0,34,57.0,10.0,3.0,9.0,33.0,3.0,1.0,33.0,40.0,0.239,0.336,0.42,0.756,100.0,11.0,2.0,0.0,1.0,4.0,5.0,0.253,101.0,106.0
season,Last 14 days,209.0,14.0,544.0,474.0,70,122.0,24.0,5.0,18.0,67.0,4.0,2.0,61.0,94.0,0.257,0.346,0.443,0.789,210.0,15.0,5.0,1.0,3.0,5.0,6.0,0.285,109.0,112.0
season,Last 28 days,393.0,26.0,1020.0,886.0,123,228.0,44.0,7.0,33.0,115.0,7.0,4.0,112.0,194.0,0.257,0.348,0.435,0.782,385.0,29.0,13.0,5.0,4.0,9.0,10.0,0.294,108.0,114.0
platoon,vs RHP,145.0,,3783.0,3357.0,431,837.0,152.0,13.0,113.0,409.0,43.0,19.0,332.0,819.0,0.249,0.323,0.403,0.727,1354.0,97.0,44.0,30.0,19.0,25.0,32.0,0.296,93.0,101.0
platoon,vs LHP,124.0,,1633.0,1425.0,216,393.0,82.0,7.0,53.0,204.0,10.0,6.0,156.0,340.0,0.276,0.359,0.455,0.814,648.0,43.0,34.0,8.0,9.0,10.0,15.0,0.327,116.0,122.0
platoon,vs RHP as RHB,145.0,,2136.0,1922.0,209,476.0,91.0,7.0,43.0,199.0,14.0,14.0,147.0,454.0,0.248,0.311,0.369,0.68,710.0,48.0,34.0,20.0,12.0,6.0,14.0,0.301,81.0,93.0
platoon,vs RHP as LHB,144.0,,1647.0,1435.0,222,361.0,61.0,6.0,70.0,210.0,29.0,5.0,185.0,365.0,0.252,0.34,0.449,0.788,644.0,49.0,10.0,10.0,7.0,19.0,18.0,0.289,109.0,114.0
platoon,vs LHP as RHB,123.0,,1121.0,986.0,146,278.0,63.0,6.0,35.0,139.0,4.0,5.0,97.0,223.0,0.282,0.36,0.465,0.825,458.0,28.0,27.0,4.0,6.0,4.0,12.0,0.331,119.0,116.0
platoon,vs LHP as LHB,123.0,,512.0,439.0,70,115.0,19.0,1.0,18.0,65.0,6.0,1.0,59.0,117.0,0.262,0.356,0.433,0.789,190.0,15.0,7.0,4.0,3.0,6.0,3.0,0.316,110.0,141.0
platoon,vs RH Starter,1430.0,100.0,3722.0,3297.0,435,837.0,155.0,15.0,117.0,413.0,42.0,17.0,324.0,786.0,0.254,0.329,0.416,0.745,1373.0,93.0,52.0,31.0,18.0,22.0,35.0,0.299,98.0,106.0
platoon,vs LH Starter,652.0,45.0,1694.0,1485.0,212,393.0,79.0,5.0,49.0,200.0,11.0,8.0,164.0,373.0,0.265,0.346,0.424,0.77,629.0,47.0,26.0,7.0,10.0,13.0,12.0,0.321,105.0,111.0
hmvis,Home,1080.0,74.0,2667.0,2353.0,323,622.0,115.0,8.0,89.0,307.0,30.0,10.0,239.0,540.0,0.264,0.339,0.433,0.772,1020.0,75.0,35.0,21.0,17.0,17.0,23.0,0.306,105.0,108.0
hmvis,Away,1002.0,71.0,2749.0,2429.0,324,608.0,119.0,12.0,77.0,306.0,23.0,15.0,249.0,619.0,0.25,0.329,0.404,0.734,982.0,65.0,43.0,17.0,11.0,18.0,24.0,0.304,95.0,107.0
half,1st Half,1256.0,89.0,3264.0,2908.0,372,737.0,136.0,9.0,97.0,355.0,39.0,18.0,273.0,743.0,0.253,0.325,0.406,0.731,1182.0,76.0,42.0,23.0,16.0,16.0,28.0,0.307,94.0,104.0
half,2nd Half,826.0,56.0,2152.0,1874.0,275,493.0,98.0,11.0,69.0,258.0,14.0,7.0,215.0,416.0,0.263,0.348,0.438,0.786,820.0,64.0,36.0,15.0,12.0,19.0,19.0,0.303,109.0,114.0
month,April/March,313.0,22.0,793.0,714.0,77,177.0,28.0,1.0,21.0,75.0,8.0,6.0,57.0,181.0,0.248,0.314,0.378,0.692,270.0,14.0,14.0,2.0,6.0,4.0,5.0,0.301,84.0,99.0
month,May,391.0,28.0,1045.0,934.0,111,234.0,42.0,3.0,28.0,107.0,14.0,6.0,89.0,237.0,0.251,0.321,0.392,0.713,366.0,19.0,9.0,10.0,3.0,6.0,9.0,0.307,90.0,101.0
month,June,388.0,28.0,1014.0,895.0,131,230.0,45.0,3.0,40.0,126.0,15.0,3.0,94.0,244.0,0.257,0.336,0.448,0.784,401.0,32.0,14.0,7.0,4.0,5.0,7.0,0.309,108.0,112.0
