Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1491.0,144.0,5334.0,4828.0,602,1159.0,243.0,14.0,178.0,577.0,51.0,20.0,406.0,1273.0,0.24,0.305,0.407,0.712,1964.0,92.0,56.0,13.0,29.0,9.0,28.0,0.288,100.0,96.0
season,Last 7 days,78.0,7.0,257.0,230.0,36,56.0,10.0,2.0,12.0,33.0,4.0,1.0,25.0,57.0,0.243,0.323,0.461,0.784,106.0,1.0,2.0,0.0,0.0,1.0,5.0,0.273,119.0,112.0
season,Last 14 days,141.0,13.0,494.0,438.0,64,107.0,19.0,2.0,20.0,60.0,6.0,3.0,49.0,118.0,0.244,0.326,0.434,0.76,190.0,3.0,5.0,0.0,2.0,2.0,5.0,0.288,114.0,104.0
season,Last 28 days,273.0,26.0,982.0,885.0,127,221.0,46.0,3.0,40.0,123.0,11.0,4.0,81.0,245.0,0.25,0.319,0.444,0.763,393.0,11.0,11.0,1.0,4.0,3.0,7.0,0.3,114.0,107.0
platoon,vs RHP,142.0,,3456.0,3118.0,362,709.0,151.0,8.0,111.0,347.0,36.0,11.0,271.0,850.0,0.227,0.297,0.388,0.685,1209.0,59.0,44.0,7.0,14.0,6.0,16.0,0.275,93.0,89.0
platoon,vs LHP,116.0,,1878.0,1710.0,240,450.0,92.0,6.0,67.0,230.0,15.0,9.0,135.0,423.0,0.263,0.319,0.442,0.76,755.0,33.0,12.0,6.0,15.0,3.0,12.0,0.31,113.0,106.0
platoon,vs RHP as RHB,142.0,,2075.0,1894.0,227,427.0,91.0,3.0,58.0,219.0,22.0,8.0,144.0,529.0,0.225,0.289,0.369,0.657,698.0,42.0,27.0,3.0,7.0,2.0,13.0,0.281,85.0,86.0
platoon,vs RHP as LHB,140.0,,1381.0,1224.0,135,282.0,60.0,5.0,53.0,128.0,14.0,3.0,127.0,321.0,0.23,0.31,0.417,0.727,511.0,17.0,17.0,4.0,7.0,4.0,3.0,0.267,104.0,97.0
platoon,vs LHP as RHB,116.0,,1581.0,1442.0,211,379.0,79.0,6.0,57.0,204.0,14.0,9.0,113.0,359.0,0.263,0.317,0.445,0.761,641.0,31.0,7.0,5.0,14.0,3.0,9.0,0.31,113.0,98.0
platoon,vs LHP as LHB,100.0,,297.0,268.0,29,71.0,13.0,0.0,10.0,26.0,1.0,0.0,22.0,64.0,0.265,0.331,0.425,0.756,114.0,2.0,5.0,1.0,1.0,0.0,3.0,0.313,113.0,130.0
platoon,vs RH Starter,894.0,86.0,3219.0,2897.0,356,686.0,145.0,8.0,99.0,341.0,33.0,9.0,256.0,779.0,0.237,0.307,0.395,0.702,1144.0,53.0,42.0,8.0,14.0,6.0,10.0,0.289,98.0,94.0
platoon,vs LH Starter,597.0,58.0,2115.0,1931.0,246,473.0,98.0,6.0,79.0,236.0,18.0,11.0,150.0,494.0,0.245,0.302,0.425,0.727,820.0,39.0,14.0,5.0,15.0,3.0,18.0,0.287,103.0,98.0
hmvis,Home,742.0,72.0,2655.0,2396.0,331,608.0,120.0,8.0,111.0,317.0,27.0,12.0,206.0,592.0,0.254,0.32,0.449,0.769,1077.0,50.0,34.0,5.0,14.0,5.0,17.0,0.291,115.0,106.0
hmvis,Away,749.0,72.0,2679.0,2432.0,271,551.0,123.0,6.0,67.0,260.0,24.0,8.0,200.0,681.0,0.227,0.29,0.365,0.654,887.0,42.0,22.0,8.0,15.0,4.0,11.0,0.285,85.0,85.0
half,1st Half,932.0,89.0,3284.0,2973.0,364,704.0,145.0,8.0,101.0,352.0,27.0,10.0,256.0,791.0,0.237,0.302,0.393,0.695,1168.0,61.0,30.0,8.0,15.0,4.0,14.0,0.288,96.0,93.0
half,2nd Half,559.0,55.0,2050.0,1855.0,238,455.0,98.0,6.0,77.0,225.0,24.0,10.0,150.0,482.0,0.245,0.309,0.429,0.738,796.0,31.0,26.0,5.0,14.0,5.0,14.0,0.289,107.0,99.0
month,April/March,271.0,26.0,940.0,860.0,94,193.0,43.0,2.0,25.0,89.0,8.0,2.0,66.0,247.0,0.224,0.282,0.366,0.648,315.0,11.0,5.0,4.0,5.0,1.0,5.0,0.283,82.0,85.0
month,May,305.0,28.0,1035.0,926.0,108,217.0,51.0,5.0,30.0,106.0,9.0,4.0,89.0,225.0,0.234,0.307,0.397,0.705,368.0,19.0,11.0,3.0,5.0,2.0,5.0,0.277,98.0,98.0
month,June,270.0,27.0,1009.0,919.0,131,234.0,39.0,1.0,37.0,127.0,9.0,3.0,73.0,240.0,0.255,0.317,0.42,0.737,386.0,26.0,12.0,1.0,3.0,1.0,2.0,0.305,107.0,100.0
month,July,226.0,22.0,820.0,732.0,97,170.0,38.0,2.0,27.0,92.0,5.0,3.0,69.0,191.0,0.232,0.303,0.4,0.703,293.0,14.0,9.0,2.0,8.0,2.0,7.0,0.274,98.0,89.0
month,August,278.0,28.0,1036.0,953.0,108,238.0,53.0,2.0,39.0,103.0,14.0,5.0,60.0,252.0,0.25,0.302,0.432,0.734,412.0,19.0,14.0,3.0,6.0,1.0,4.0,0.298,105.0,100.0
month,Sept/Oct,141.0,13.0,494.0,438.0,64,107.0,19.0,2.0,20.0,60.0,6.0,3.0,49.0,118.0,0.244,0.326,0.434,0.76,190.0,3.0,5.0,0.0,2.0,2.0,5.0,0.288,114.0,104.0
outcome,in Wins,474.0,46.0,1799.0,1597.0,310,454.0,99.0,6.0,74.0,293.0,25.0,6.0,160.0,385.0,0.284,0.351,0.493,0.844,787.0,25.0,16.0,6.0,20.0,5.0,12.0,0.328,136.0,99.0
outcome,in Losses,1017.0,98.0,3535.0,3231.0,292,705.0,144.0,8.0,104.0,284.0,26.0,14.0,246.0,888.0,0.218,0.281,0.364,0.645,1177.0,67.0,40.0,7.0,9.0,4.0,16.0,0.267,82.0,113.0
stsub,as Starter,1296.0,144.0,5172.0,4688.0,573,1117.0,236.0,11.0,174.0,550.0,51.0,19.0,387.0,1229.0,0.238,0.302,0.405,0.707,1897.0,91.0,54.0,13.0,28.0,8.0,27.0,0.285,99.0,93.0
stsub,as Sub,195.0,0.0,162.0,140.0,29,42.0,7.0,3.0,4.0,27.0,0.0,1.0,19.0,44.0,0.3,0.389,0.479,0.867,67.0,1.0,2.0,0.0,1.0,1.0,1.0,0.409,145.0,170.0
age,Ages 25-,352.0,297.0,1249.0,1140.0,160,274.0,54.0,6.0,49.0,157.0,9.0,4.0,86.0,322.0,0.24,0.297,0.427,0.725,487.0,21.0,10.0,5.0,8.0,1.0,10.0,0.29,102.0,100.0
age,Ages 26-30,1058.0,925.0,3805.0,3434.0,406,823.0,177.0,7.0,120.0,394.0,41.0,16.0,302.0,890.0,0.24,0.307,0.4,0.708,1374.0,66.0,43.0,5.0,20.0,7.0,18.0,0.288,99.0,94.0
age,Ages 31-35,78.0,74.0,280.0,254.0,36,62.0,12.0,1.0,9.0,26.0,1.0,0.0,18.0,61.0,0.244,0.301,0.406,0.706,103.0,5.0,3.0,3.0,1.0,1.0,0.0,0.286,98.0,95.0
age,Ages 36+,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,,,
defp,as C,144.0,,544.0,492.0,45,107.0,22.0,0.0,13.0,54.0,1.0,0.0,44.0,130.0,0.217,0.284,0.341,0.625,168.0,12.0,3.0,1.0,4.0,1.0,4.0,0.266,77.0,80.0
defp,as 1B,144.0,,615.0,558.0,76,136.0,27.0,1.0,26.0,80.0,2.0,2.0,45.0,135.0,0.244,0.306,0.435,0.741,243.0,15.0,7.0,0.0,5.0,2.0,1.0,0.274,107.0,88.0
