Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2153.0,144.0,5422.0,4762.0,647,1137.0,230.0,19.0,161.0,615.0,102.0,34.0,532.0,1190.0,0.239,0.32,0.396,0.717,1888.0,108.0,57.0,28.0,38.0,34.0,37.0,0.283,100.0,98.0
season,Last 7 days,92.0,6.0,208.0,189.0,14,32.0,11.0,0.0,1.0,13.0,3.0,0.0,14.0,54.0,0.169,0.242,0.243,0.485,46.0,2.0,4.0,1.0,0.0,0.0,1.0,0.231,37.0,35.0
season,Last 14 days,170.0,11.0,383.0,344.0,34,69.0,19.0,0.0,7.0,32.0,5.0,2.0,30.0,89.0,0.201,0.276,0.317,0.592,109.0,7.0,6.0,2.0,1.0,0.0,1.0,0.249,66.0,61.0
season,Last 28 days,343.0,22.0,829.0,729.0,72,141.0,36.0,1.0,16.0,68.0,9.0,3.0,80.0,189.0,0.193,0.284,0.311,0.595,227.0,9.0,13.0,5.0,2.0,10.0,3.0,0.238,67.0,64.0
platoon,vs RHP,143.0,,3958.0,3482.0,482,834.0,166.0,15.0,127.0,461.0,84.0,23.0,384.0,863.0,0.24,0.319,0.405,0.725,1411.0,78.0,38.0,24.0,28.0,22.0,26.0,0.281,102.0,101.0
platoon,vs LHP,120.0,,1464.0,1280.0,165,303.0,64.0,4.0,34.0,154.0,18.0,11.0,148.0,327.0,0.237,0.323,0.373,0.695,477.0,30.0,19.0,4.0,10.0,12.0,11.0,0.29,95.0,91.0
platoon,vs RHP as RHB,143.0,,2083.0,1839.0,289,436.0,86.0,7.0,82.0,278.0,40.0,14.0,187.0,527.0,0.237,0.311,0.425,0.737,782.0,35.0,21.0,15.0,21.0,6.0,14.0,0.283,105.0,107.0
platoon,vs RHP as LHB,143.0,,1875.0,1643.0,193,398.0,80.0,8.0,45.0,183.0,44.0,9.0,197.0,336.0,0.242,0.328,0.383,0.711,629.0,43.0,17.0,9.0,7.0,16.0,12.0,0.278,99.0,94.0
platoon,vs LHP as RHB,116.0,,950.0,822.0,100,189.0,44.0,0.0,23.0,92.0,8.0,7.0,112.0,222.0,0.23,0.322,0.367,0.689,302.0,17.0,4.0,2.0,9.0,12.0,8.0,0.283,93.0,82.0
platoon,vs LHP as LHB,117.0,,514.0,458.0,65,114.0,20.0,4.0,11.0,62.0,10.0,4.0,36.0,105.0,0.249,0.324,0.382,0.706,175.0,13.0,15.0,2.0,1.0,0.0,3.0,0.3,98.0,116.0
platoon,vs RH Starter,1544.0,103.0,3899.0,3433.0,472,816.0,161.0,17.0,118.0,448.0,81.0,24.0,372.0,849.0,0.238,0.317,0.398,0.715,1365.0,79.0,42.0,21.0,29.0,27.0,28.0,0.28,100.0,98.0
platoon,vs LH Starter,609.0,41.0,1523.0,1329.0,175,321.0,69.0,2.0,43.0,167.0,21.0,10.0,160.0,341.0,0.242,0.328,0.394,0.721,523.0,29.0,15.0,7.0,9.0,7.0,9.0,0.291,102.0,98.0
hmvis,Home,1148.0,75.0,2795.0,2416.0,326,577.0,124.0,9.0,76.0,312.0,47.0,16.0,307.0,626.0,0.239,0.33,0.392,0.722,947.0,53.0,31.0,17.0,21.0,22.0,18.0,0.289,102.0,96.0
hmvis,Away,1005.0,69.0,2627.0,2346.0,321,560.0,106.0,10.0,85.0,303.0,55.0,18.0,225.0,564.0,0.239,0.31,0.401,0.711,941.0,55.0,26.0,11.0,17.0,12.0,19.0,0.277,98.0,100.0
half,1st Half,1377.0,93.0,3505.0,3065.0,428,740.0,142.0,13.0,110.0,407.0,82.0,23.0,355.0,772.0,0.241,0.324,0.404,0.728,1238.0,76.0,35.0,17.0,29.0,20.0,28.0,0.285,103.0,103.0
half,2nd Half,776.0,51.0,1917.0,1697.0,219,397.0,88.0,6.0,51.0,208.0,20.0,11.0,177.0,418.0,0.234,0.313,0.383,0.696,650.0,32.0,22.0,11.0,9.0,14.0,9.0,0.28,95.0,90.0
month,April/March,397.0,27.0,1037.0,904.0,109,214.0,33.0,3.0,26.0,102.0,33.0,7.0,110.0,231.0,0.237,0.324,0.366,0.69,331.0,29.0,10.0,3.0,8.0,4.0,9.0,0.287,94.0,99.0
month,May,406.0,28.0,1076.0,936.0,155,225.0,42.0,7.0,31.0,145.0,26.0,8.0,110.0,217.0,0.24,0.325,0.4,0.724,374.0,18.0,12.0,5.0,11.0,7.0,14.0,0.278,103.0,104.0
