Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2078.0,144.0,5417.0,4773.0,654,1144.0,228.0,23.0,177.0,624.0,71.0,18.0,510.0,1245.0,0.24,0.318,0.408,0.726,1949.0,95.0,55.0,41.0,36.0,29.0,49.0,0.286,100.0,100.0
season,Last 7 days,98.0,6.0,219.0,193.0,21,41.0,7.0,0.0,8.0,20.0,3.0,0.0,24.0,47.0,0.212,0.303,0.373,0.676,72.0,7.0,1.0,1.0,0.0,1.0,2.0,0.239,87.0,85.0
season,Last 14 days,194.0,12.0,449.0,402.0,49,91.0,13.0,1.0,18.0,47.0,3.0,0.0,42.0,90.0,0.226,0.303,0.398,0.701,160.0,14.0,2.0,3.0,0.0,2.0,3.0,0.248,93.0,88.0
season,Last 28 days,384.0,25.0,964.0,853.0,119,204.0,37.0,7.0,37.0,114.0,8.0,2.0,94.0,184.0,0.239,0.32,0.429,0.749,366.0,22.0,8.0,7.0,2.0,7.0,10.0,0.263,106.0,104.0
platoon,vs RHP,144.0,,3679.0,3247.0,456,765.0,151.0,17.0,120.0,435.0,53.0,13.0,348.0,833.0,0.236,0.313,0.403,0.716,1310.0,60.0,30.0,24.0,29.0,24.0,35.0,0.278,97.0,98.0
platoon,vs LHP,123.0,,1738.0,1526.0,198,379.0,77.0,6.0,57.0,189.0,18.0,5.0,162.0,412.0,0.248,0.329,0.419,0.748,639.0,35.0,25.0,17.0,7.0,5.0,14.0,0.303,106.0,104.0
platoon,vs RHP as RHB,144.0,,1949.0,1740.0,236,400.0,74.0,6.0,51.0,224.0,33.0,7.0,161.0,456.0,0.23,0.299,0.367,0.666,639.0,34.0,17.0,15.0,16.0,5.0,21.0,0.279,84.0,88.0
platoon,vs RHP as LHB,144.0,,1730.0,1507.0,220,365.0,77.0,11.0,69.0,211.0,20.0,6.0,187.0,377.0,0.242,0.328,0.445,0.774,671.0,26.0,13.0,9.0,13.0,19.0,14.0,0.276,112.0,109.0
platoon,vs LHP as RHB,120.0,,1149.0,1007.0,143,263.0,57.0,4.0,42.0,137.0,13.0,1.0,115.0,244.0,0.261,0.343,0.451,0.794,454.0,25.0,12.0,11.0,4.0,5.0,11.0,0.305,118.0,107.0
platoon,vs LHP as LHB,122.0,,589.0,519.0,55,116.0,20.0,2.0,15.0,52.0,5.0,4.0,47.0,168.0,0.224,0.302,0.356,0.659,185.0,10.0,13.0,6.0,3.0,0.0,3.0,0.298,82.0,101.0
platoon,vs RH Starter,1411.0,98.0,3683.0,3241.0,454,769.0,150.0,17.0,120.0,431.0,35.0,13.0,348.0,838.0,0.237,0.316,0.405,0.721,1313.0,61.0,37.0,28.0,27.0,20.0,35.0,0.281,99.0,99.0
platoon,vs LH Starter,667.0,46.0,1734.0,1532.0,200,375.0,78.0,6.0,57.0,193.0,36.0,5.0,162.0,407.0,0.245,0.322,0.415,0.738,636.0,34.0,18.0,13.0,9.0,9.0,14.0,0.295,103.0,102.0
hmvis,Home,1072.0,72.0,2631.0,2312.0,310,553.0,105.0,16.0,83.0,297.0,31.0,7.0,252.0,616.0,0.239,0.32,0.406,0.726,939.0,45.0,30.0,20.0,17.0,14.0,26.0,0.288,100.0,96.0
hmvis,Away,1006.0,72.0,2786.0,2461.0,344,591.0,123.0,7.0,94.0,327.0,40.0,11.0,258.0,629.0,0.24,0.316,0.41,0.727,1010.0,50.0,25.0,21.0,19.0,15.0,23.0,0.283,100.0,104.0
half,1st Half,1252.0,88.0,3313.0,2929.0,402,705.0,140.0,11.0,102.0,384.0,52.0,9.0,297.0,826.0,0.241,0.316,0.4,0.716,1173.0,58.0,37.0,22.0,26.0,15.0,27.0,0.297,97.0,99.0
half,2nd Half,826.0,56.0,2104.0,1844.0,252,439.0,88.0,12.0,75.0,240.0,19.0,9.0,213.0,419.0,0.238,0.321,0.421,0.742,776.0,37.0,18.0,19.0,10.0,14.0,22.0,0.268,104.0,101.0
month,April/March,371.0,26.0,942.0,835.0,97,194.0,35.0,2.0,26.0,91.0,15.0,3.0,80.0,254.0,0.232,0.306,0.372,0.678,311.0,18.0,13.0,3.0,11.0,6.0,5.0,0.297,87.0,94.0
month,May,387.0,28.0,1056.0,936.0,113,219.0,43.0,5.0,26.0,110.0,18.0,0.0,95.0,290.0,0.234,0.309,0.374,0.683,350.0,24.0,10.0,7.0,7.0,4.0,7.0,0.308,89.0,92.0
month,June,361.0,24.0,921.0,811.0,123,202.0,42.0,2.0,30.0,119.0,13.0,4.0,83.0,202.0,0.249,0.325,0.417,0.742,338.0,9.0,11.0,10.0,6.0,4.0,10.0,0.294,104.0,102.0
month,July,358.0,26.0,975.0,840.0,130,204.0,43.0,3.0,38.0,122.0,15.0,6.0,111.0,198.0,0.243,0.334,0.437,0.771,367.0,16.0,7.0,10.0,6.0,3.0,11.0,0.272,112.0,108.0
month,August,407.0,28.0,1074.0,949.0,142,234.0,52.0,10.0,39.0,135.0,7.0,5.0,99.0,211.0,0.247,0.324,0.446,0.769,423.0,14.0,12.0,8.0,6.0,10.0,13.0,0.277,111.0,110.0
month,Sept/Oct,194.0,12.0,449.0,402.0,49,91.0,13.0,1.0,18.0,47.0,3.0,0.0,42.0,90.0,0.226,0.303,0.398,0.701,160.0,14.0,2.0,3.0,0.0,2.0,3.0,0.248,93.0,88.0
outcome,in Wins,1036.0,72.0,2768.0,2421.0,449,658.0,140.0,12.0,120.0,429.0,38.0,10.0,264.0,586.0,0.272,0.348,0.488,0.836,1182.0,35.0,29.0,31.0,22.0,22.0,25.0,0.31,129.0,98.0
outcome,in Losses,1042.0,72.0,2649.0,2352.0,205,486.0,88.0,11.0,57.0,195.0,33.0,8.0,246.0,659.0,0.207,0.287,0.326,0.613,767.0,60.0,26.0,10.0,14.0,7.0,24.0,0.26,70.0,104.0
stsub,as Starter,1296.0,144.0,5010.0,4410.0,599,1074.0,215.0,22.0,170.0,582.0,63.0,17.0,475.0,1116.0,0.244,0.322,0.418,0.74,1843.0,89.0,50.0,38.0,35.0,27.0,44.0,0.286,104.0,103.0
stsub,as Sub,782.0,0.0,407.0,363.0,55,70.0,13.0,1.0,7.0,42.0,8.0,1.0,35.0,129.0,0.193,0.272,0.292,0.564,106.0,6.0,5.0,3.0,1.0,2.0,5.0,0.276,57.0,77.0
age,Ages 25-,388.0,203.0,813.0,740.0,85,178.0,32.0,3.0,12.0,77.0,9.0,2.0,61.0,218.0,0.241,0.299,0.341,0.64,252.0,16.0,3.0,4.0,5.0,1.0,9.0,0.322,78.0,80.0
age,Ages 26-30,991.0,638.0,2672.0,2333.0,336,575.0,128.0,11.0,95.0,319.0,41.0,12.0,266.0,600.0,0.246,0.329,0.433,0.762,1010.0,37.0,30.0,26.0,15.0,19.0,26.0,0.29,110.0,109.0
age,Ages 31-35,622.0,446.0,1868.0,1648.0,228,386.0,67.0,9.0,68.0,222.0,21.0,4.0,173.0,413.0,0.234,0.312,0.41,0.722,675.0,40.0,21.0,11.0,15.0,7.0,14.0,0.269,99.0,99.0
age,Ages 36+,77.0,9.0,64.0,52.0,5,5.0,1.0,0.0,2.0,6.0,0.0,0.0,10.0,14.0,0.096,0.25,0.231,0.481,12.0,2.0,1.0,0.0,1.0,2.0,0.0,0.081,35.0,35.0
defp,as C,144.0,,604.0,535.0,68,130.0,26.0,4.0,17.0,69.0,10.0,3.0,57.0,145.0,0.243,0.325,0.402,0.727,215.0,6.0,9.0,1.0,2.0,5.0,5.0,0.301,101.0,109.0
defp,as 1B,144.0,,629.0,555.0,90,130.0,34.0,2.0,36.0,91.0,3.0,2.0,66.0,158.0,0.234,0.321,0.497,0.818,276.0,11.0,6.0,0.0,2.0,1.0,7.0,0.259,123.0,106.0
defp,as 2B,144.0,,629.0,565.0,85,167.0,34.0,3.0,15.0,64.0,9.0,3.0,49.0,96.0,0.296,0.361,0.446,0.807,252.0,15.0,11.0,1.0,3.0,3.0,8.0,0.333,123.0,121.0
defp,as 3B,144.0,,584.0,532.0,63,131.0,17.0,2.0,13.0,67.0,8.0,2.0,45.0,129.0,0.246,0.304,0.359,0.663,191.0,14.0,1.0,2.0,4.0,1.0,5.0,0.299,84.0,80.0
defp,as SS,144.0,,580.0,535.0,55,126.0,22.0,3.0,17.0,76.0,5.0,0.0,31.0,99.0,0.236,0.283,0.383,0.666,205.0,10.0,7.0,1.0,6.0,1.0,3.0,0.256,83.0,82.0
defp,as LF,144.0,,624.0,526.0,82,125.0,24.0,1.0,27.0,84.0,9.0,2.0,86.0,137.0,0.238,0.345,0.441,0.786,232.0,11.0,4.0,0.0,8.0,1.0,5.0,0.265,117.0,114.0
defp,as CF,144.0,,590.0,528.0,68,115.0,22.0,7.0,11.0,51.0,10.0,2.0,47.0,118.0,0.218,0.29,0.348,0.638,184.0,8.0,8.0,1.0,4.0,4.0,7.0,0.258,77.0,79.0
defp,as RF,144.0,,619.0,516.0,102,148.0,35.0,1.0,37.0,85.0,14.0,3.0,90.0,147.0,0.287,0.396,0.574,0.97,296.0,14.0,6.0,3.0,4.0,11.0,4.0,0.33,165.0,150.0
defp,as DH,10.0,,44.0,38.0,3,7.0,1.0,0.0,1.0,5.0,0.0,0.0,5.0,14.0,0.184,0.273,0.289,0.562,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,57.0,52.0
defp,as P,131.0,,270.0,231.0,7,26.0,6.0,0.0,0.0,13.0,0.0,0.0,7.0,123.0,0.113,0.141,0.139,0.28,32.0,1.0,1.0,29.0,2.0,0.0,1.0,0.236,-22.0,93.0
defp,as PH,124.0,,243.0,211.0,27,39.0,7.0,0.0,3.0,19.0,3.0,1.0,27.0,79.0,0.185,0.283,0.261,0.544,55.0,5.0,2.0,3.0,0.0,2.0,4.0,0.279,53.0,70.0
defp,as PR,,,,,4,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
defp,Other,1.0,,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0
defp,as Infield,144.0,,3026.0,2722.0,361,684.0,133.0,14.0,98.0,367.0,35.0,10.0,248.0,627.0,0.251,0.32,0.418,0.738,1139.0,56.0,34.0,5.0,17.0,11.0,28.0,0.291,103.0,100.0
defp,as Outfield,144.0,,1833.0,1570.0,252,388.0,81.0,9.0,75.0,220.0,33.0,7.0,223.0,402.0,0.247,0.344,0.454,0.798,712.0,33.0,18.0,4.0,16.0,16.0,16.0,0.282,120.0,115.0
defp,at Def. Pos.,144.0,,2403.0,2163.0,276,538.0,104.0,17.0,60.0,260.0,34.0,8.0,184.0,458.0,0.249,0.316,0.396,0.712,856.0,39.0,35.0,4.0,15.0,13.0,23.0,0.288,96.0,98.0
defp,at Off. Pos.,144.0,,2743.0,2378.0,371,580.0,118.0,6.0,117.0,351.0,37.0,10.0,319.0,664.0,0.244,0.336,0.446,0.782,1061.0,55.0,19.0,8.0,19.0,16.0,25.0,0.287,115.0,108.0
leadoff,1st Batter G,144.0,,144.0,130.0,10,37.0,6.0,2.0,10.0,10.0,0.0,0.0,13.0,24.0,0.285,0.354,0.592,0.946,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.281,156.0,138.0
leadoff,Leadoff Inn.,144.0,,1269.0,1156.0,45,304.0,61.0,9.0,44.0,45.0,0.0,0.0,100.0,270.0,0.263,0.327,0.446,0.773,515.0,0.0,10.0,3.0,0.0,1.0,10.0,0.309,112.0,111.0
bop,Batting 1st,182.0,144.0,664.0,591.0,92,134.0,25.0,3.0,24.0,72.0,7.0,3.0,58.0,115.0,0.227,0.298,0.401,0.699,237.0,12.0,5.0,2.0,8.0,2.0,11.0,0.239,92.0,82.0
bop,Batting 2nd,199.0,144.0,653.0,596.0,87,148.0,33.0,3.0,26.0,72.0,7.0,2.0,46.0,141.0,0.248,0.314,0.445,0.759,265.0,18.0,11.0,0.0,0.0,0.0,5.0,0.284,108.0,95.0
bop,Batting 3rd,160.0,144.0,631.0,529.0,101,155.0,39.0,2.0,33.0,84.0,14.0,3.0,92.0,140.0,0.293,0.402,0.561,0.964,297.0,12.0,6.0,2.0,2.0,10.0,3.0,0.341,164.0,139.0
bop,Batting 4th,169.0,144.0,620.0,528.0,81,141.0,31.0,2.0,24.0,90.0,12.0,1.0,76.0,132.0,0.267,0.365,0.47,0.834,248.0,8.0,9.0,0.0,7.0,3.0,7.0,0.309,130.0,114.0
bop,Batting 5th,184.0,144.0,608.0,538.0,81,130.0,27.0,3.0,25.0,88.0,12.0,4.0,59.0,146.0,0.242,0.32,0.442,0.762,238.0,14.0,5.0,1.0,5.0,2.0,6.0,0.282,109.0,105.0
bop,Batting 6th,191.0,144.0,586.0,520.0,53,116.0,23.0,2.0,19.0,79.0,4.0,1.0,51.0,129.0,0.223,0.299,0.385,0.683,200.0,8.0,8.0,0.0,7.0,5.0,4.0,0.256,88.0,91.0
bop,Batting 7th,184.0,144.0,569.0,512.0,58,122.0,17.0,2.0,10.0,53.0,4.0,1.0,51.0,125.0,0.238,0.306,0.338,0.644,173.0,12.0,1.0,1.0,4.0,2.0,6.0,0.294,79.0,87.0
bop,Batting 8th,197.0,144.0,553.0,495.0,60,118.0,17.0,5.0,12.0,47.0,5.0,3.0,45.0,116.0,0.238,0.307,0.366,0.673,181.0,7.0,5.0,4.0,2.0,4.0,4.0,0.287,86.0,105.0
bop,Batting 9th,612.0,144.0,533.0,464.0,41,80.0,16.0,1.0,4.0,39.0,6.0,0.0,32.0,201.0,0.172,0.233,0.237,0.47,110.0,4.0,5.0,31.0,1.0,1.0,3.0,0.292,31.0,69.0
bop,"Bat1-2,non-P",325.0,288.0,1317.0,1187.0,179,282.0,58.0,6.0,50.0,144.0,14.0,5.0,104.0,256.0,0.238,0.306,0.423,0.729,502.0,30.0,16.0,2.0,8.0,2.0,16.0,0.261,100.0,89.0
bop,"Bat3-6,non-P",636.0,576.0,2441.0,2111.0,316,542.0,120.0,9.0,101.0,341.0,42.0,9.0,278.0,545.0,0.257,0.348,0.466,0.813,983.0,42.0,28.0,3.0,21.0,20.0,20.0,0.297,124.0,114.0
bop,"Bat7-9,non-P",550.0,298.0,1389.0,1244.0,152,294.0,44.0,8.0,26.0,126.0,15.0,4.0,121.0,321.0,0.236,0.308,0.347,0.655,432.0,22.0,10.0,7.0,5.0,7.0,12.0,0.297,82.0,97.0
count,First Pitch,142.0,,604.0,569.0,116,185.0,32.0,1.0,35.0,114.0,20.0,5.0,0.0,0.0,0.325,0.336,0.569,0.906,324.0,13.0,12.0,17.0,5.0,0.0,9.0,0.278,145.0,93.0
count,1-0 Count,128.0,,306.0,298.0,47,90.0,21.0,3.0,14.0,45.0,4.0,2.0,0.0,0.0,0.302,0.305,0.534,0.838,159.0,6.0,2.0,4.0,2.0,0.0,3.0,0.266,127.0,82.0
