Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2072.0,144.0,5305.0,4745.0,531,1115.0,218.0,25.0,113.0,499.0,49.0,23.0,458.0,1170.0,0.235,0.307,0.363,0.669,1722.0,84.0,45.0,26.0,30.0,18.0,33.0,0.287,100.0,86.0
season,Last 7 days,75.0,5.0,180.0,152.0,23,38.0,6.0,1.0,3.0,20.0,2.0,1.0,20.0,27.0,0.25,0.333,0.362,0.695,55.0,6.0,0.0,6.0,2.0,0.0,2.0,0.282,108.0,92.0
season,Last 14 days,182.0,12.0,459.0,396.0,59,102.0,16.0,1.0,12.0,53.0,7.0,3.0,47.0,92.0,0.258,0.339,0.394,0.733,156.0,11.0,4.0,7.0,4.0,0.0,4.0,0.304,119.0,99.0
season,Last 28 days,358.0,24.0,888.0,779.0,100,187.0,32.0,5.0,21.0,92.0,11.0,5.0,87.0,188.0,0.24,0.317,0.375,0.692,292.0,16.0,5.0,7.0,9.0,4.0,5.0,0.287,107.0,90.0
platoon,vs RHP,144.0,,3733.0,3340.0,372,779.0,149.0,17.0,82.0,347.0,39.0,15.0,330.0,832.0,0.233,0.307,0.362,0.668,1208.0,54.0,32.0,12.0,18.0,10.0,19.0,0.285,100.0,86.0
platoon,vs LHP,118.0,,1572.0,1405.0,159,336.0,69.0,8.0,31.0,152.0,10.0,8.0,128.0,338.0,0.239,0.306,0.366,0.672,514.0,30.0,13.0,14.0,12.0,8.0,14.0,0.291,101.0,84.0
platoon,vs RHP as RHB,144.0,,1550.0,1409.0,133,299.0,58.0,4.0,18.0,123.0,19.0,5.0,117.0,335.0,0.212,0.277,0.297,0.574,419.0,25.0,11.0,9.0,4.0,1.0,9.0,0.265,72.0,64.0
platoon,vs RHP as LHB,144.0,,2183.0,1931.0,239,480.0,91.0,13.0,64.0,224.0,20.0,10.0,213.0,497.0,0.249,0.328,0.409,0.736,789.0,29.0,21.0,3.0,14.0,9.0,10.0,0.301,120.0,100.0
platoon,vs LHP as RHB,116.0,,1042.0,941.0,106,232.0,50.0,4.0,21.0,102.0,7.0,6.0,82.0,204.0,0.247,0.309,0.375,0.684,353.0,21.0,6.0,7.0,6.0,8.0,12.0,0.292,104.0,80.0
platoon,vs LHP as LHB,116.0,,530.0,464.0,53,104.0,19.0,4.0,10.0,50.0,3.0,2.0,46.0,134.0,0.224,0.3,0.347,0.647,161.0,9.0,7.0,7.0,6.0,0.0,2.0,0.288,93.0,98.0
platoon,vs RH Starter,1406.0,98.0,3643.0,3244.0,381,763.0,158.0,20.0,82.0,357.0,40.0,13.0,333.0,828.0,0.235,0.311,0.372,0.683,1207.0,53.0,33.0,11.0,21.0,10.0,18.0,0.289,104.0,90.0
platoon,vs LH Starter,666.0,46.0,1662.0,1501.0,150,352.0,60.0,5.0,31.0,142.0,9.0,10.0,125.0,342.0,0.235,0.297,0.343,0.64,515.0,31.0,12.0,15.0,9.0,8.0,15.0,0.282,91.0,76.0
hmvis,Home,1096.0,73.0,2664.0,2356.0,295,569.0,122.0,14.0,55.0,278.0,18.0,11.0,251.0,569.0,0.242,0.318,0.375,0.694,884.0,41.0,22.0,19.0,16.0,9.0,16.0,0.294,107.0,88.0
hmvis,Away,976.0,71.0,2641.0,2389.0,236,546.0,96.0,11.0,58.0,221.0,31.0,12.0,207.0,601.0,0.229,0.295,0.351,0.645,838.0,43.0,23.0,7.0,14.0,9.0,17.0,0.28,93.0,83.0
half,1st Half,1277.0,90.0,3318.0,2972.0,319,694.0,137.0,13.0,74.0,302.0,30.0,12.0,288.0,731.0,0.234,0.306,0.363,0.669,1079.0,48.0,31.0,10.0,17.0,11.0,20.0,0.284,100.0,87.0
