Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1563.0,145.0,5574.0,4953.0,778,1192.0,258.0,30.0,201.0,733.0,76.0,35.0,517.0,1394.0,0.241,0.318,0.427,0.745,2113.0,61.0,63.0,6.0,34.0,26.0,53.0,0.292,100.0,105.0
season,Last 7 days,67.0,6.0,227.0,205.0,22,42.0,8.0,3.0,6.0,22.0,6.0,1.0,16.0,52.0,0.205,0.269,0.361,0.63,74.0,0.0,3.0,0.0,3.0,1.0,1.0,0.24,69.0,71.0
season,Last 14 days,140.0,13.0,502.0,461.0,68,118.0,20.0,7.0,22.0,63.0,8.0,3.0,32.0,104.0,0.256,0.311,0.473,0.784,218.0,6.0,6.0,0.0,3.0,2.0,3.0,0.284,109.0,108.0
season,Last 28 days,269.0,25.0,962.0,868.0,151,224.0,50.0,9.0,34.0,140.0,12.0,6.0,74.0,203.0,0.258,0.322,0.454,0.776,394.0,12.0,12.0,0.0,8.0,6.0,8.0,0.297,108.0,110.0
platoon,vs RHP,145.0,,3611.0,3206.0,545,768.0,170.0,20.0,138.0,515.0,57.0,20.0,329.0,896.0,0.24,0.318,0.434,0.752,1392.0,35.0,50.0,3.0,23.0,15.0,30.0,0.287,102.0,107.0
platoon,vs LHP,125.0,,1963.0,1747.0,233,424.0,88.0,10.0,63.0,218.0,19.0,15.0,188.0,498.0,0.243,0.319,0.413,0.732,721.0,26.0,13.0,3.0,11.0,11.0,23.0,0.302,97.0,99.0
platoon,vs RHP as RHB,145.0,,1392.0,1246.0,190,269.0,46.0,5.0,49.0,177.0,24.0,7.0,116.0,375.0,0.216,0.292,0.379,0.67,472.0,14.0,21.0,0.0,9.0,2.0,16.0,0.265,81.0,89.0
platoon,vs RHP as LHB,145.0,,2219.0,1960.0,355,499.0,124.0,15.0,89.0,338.0,33.0,13.0,213.0,521.0,0.255,0.334,0.469,0.804,920.0,21.0,29.0,3.0,14.0,13.0,14.0,0.301,115.0,116.0
platoon,vs LHP as RHB,122.0,,1243.0,1102.0,158,301.0,62.0,7.0,51.0,149.0,6.0,11.0,129.0,269.0,0.273,0.351,0.481,0.831,530.0,20.0,5.0,1.0,5.0,11.0,18.0,0.318,123.0,117.0
platoon,vs LHP as LHB,120.0,,720.0,645.0,75,123.0,26.0,3.0,12.0,69.0,13.0,4.0,59.0,229.0,0.191,0.265,0.296,0.561,191.0,6.0,8.0,2.0,6.0,0.0,5.0,0.271,53.0,72.0
