Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1506.0,147.0,5543.0,4980.0,743,1294.0,298.0,21.0,197.0,704.0,38.0,21.0,458.0,1267.0,0.26,0.327,0.447,0.773,2225.0,86.0,55.0,10.0,39.0,22.0,39.0,0.309,100.0,113.0
season,Last 7 days,67.0,6.0,226.0,204.0,27,47.0,6.0,2.0,9.0,27.0,2.0,0.0,18.0,71.0,0.23,0.296,0.412,0.708,84.0,2.0,2.0,0.0,2.0,1.0,0.0,0.302,83.0,92.0
season,Last 14 days,143.0,13.0,516.0,458.0,68,124.0,23.0,4.0,20.0,68.0,2.0,1.0,48.0,133.0,0.271,0.342,0.469,0.811,215.0,7.0,3.0,4.0,3.0,6.0,1.0,0.338,110.0,117.0
season,Last 28 days,269.0,25.0,982.0,872.0,134,226.0,45.0,4.0,43.0,129.0,5.0,2.0,94.0,226.0,0.259,0.335,0.468,0.803,408.0,15.0,7.0,6.0,3.0,7.0,2.0,0.302,107.0,118.0
platoon,vs RHP,146.0,,3632.0,3260.0,496,843.0,207.0,14.0,138.0,470.0,36.0,16.0,295.0,856.0,0.259,0.326,0.458,0.783,1492.0,53.0,42.0,8.0,27.0,14.0,23.0,0.307,102.0,116.0
platoon,vs LHP,121.0,,1911.0,1720.0,247,451.0,91.0,7.0,59.0,234.0,2.0,5.0,163.0,411.0,0.262,0.329,0.426,0.755,733.0,33.0,13.0,2.0,12.0,8.0,16.0,0.311,96.0,106.0
platoon,vs RHP as RHB,146.0,,2218.0,2010.0,304,529.0,132.0,9.0,82.0,288.0,27.0,8.0,156.0,503.0,0.263,0.322,0.46,0.783,925.0,37.0,29.0,4.0,19.0,1.0,13.0,0.31,101.0,119.0
platoon,vs RHP as LHB,144.0,,1414.0,1250.0,192,314.0,75.0,5.0,56.0,182.0,9.0,8.0,139.0,353.0,0.251,0.33,0.454,0.784,567.0,16.0,13.0,4.0,8.0,13.0,10.0,0.304,103.0,112.0
platoon,vs LHP as RHB,118.0,,1420.0,1271.0,200,341.0,76.0,6.0,50.0,190.0,2.0,5.0,132.0,314.0,0.268,0.338,0.456,0.793,579.0,22.0,6.0,1.0,9.0,8.0,15.0,0.318,105.0,107.0
platoon,vs LHP as LHB,115.0,,491.0,449.0,47,110.0,15.0,1.0,9.0,44.0,0.0,0.0,31.0,97.0,0.245,0.302,0.343,0.645,154.0,11.0,7.0,1.0,3.0,0.0,1.0,0.292,69.0,98.0
platoon,vs RH Starter,928.0,91.0,3445.0,3089.0,471,807.0,207.0,8.0,129.0,448.0,32.0,12.0,286.0,811.0,0.261,0.328,0.459,0.787,1417.0,44.0,35.0,7.0,27.0,11.0,22.0,0.312,103.0,116.0
