Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2158.0,145.0,5512.0,4859.0,706,1209.0,260.0,11.0,197.0,678.0,27.0,22.0,492.0,1289.0,0.249,0.327,0.428,0.756,2082.0,117.0,94.0,30.0,36.0,20.0,33.0,0.297,100.0,108.0
season,Last 7 days,73.0,5.0,178.0,165.0,14,34.0,5.0,0.0,6.0,14.0,0.0,0.0,10.0,30.0,0.206,0.251,0.345,0.597,57.0,5.0,0.0,3.0,0.0,0.0,1.0,0.217,57.0,62.0
season,Last 14 days,187.0,12.0,434.0,389.0,50,96.0,20.0,1.0,15.0,48.0,0.0,0.0,36.0,83.0,0.247,0.312,0.419,0.731,163.0,8.0,2.0,5.0,2.0,1.0,1.0,0.276,93.0,96.0
season,Last 28 days,351.0,24.0,841.0,757.0,91,171.0,41.0,2.0,29.0,87.0,1.0,1.0,64.0,196.0,0.226,0.289,0.4,0.689,303.0,19.0,6.0,7.0,7.0,6.0,5.0,0.263,82.0,87.0
platoon,vs RHP,145.0,,4100.0,3612.0,547,928.0,203.0,10.0,155.0,522.0,20.0,12.0,361.0,954.0,0.257,0.335,0.447,0.782,1616.0,87.0,77.0,21.0,28.0,15.0,26.0,0.305,107.0,116.0
platoon,vs LHP,116.0,,1412.0,1247.0,159,281.0,57.0,1.0,42.0,156.0,7.0,10.0,131.0,335.0,0.225,0.306,0.374,0.679,466.0,30.0,17.0,9.0,8.0,5.0,7.0,0.272,81.0,86.0
platoon,vs RHP as RHB,145.0,,2228.0,1952.0,276,466.0,95.0,6.0,76.0,260.0,12.0,6.0,187.0,551.0,0.239,0.32,0.41,0.73,801.0,54.0,53.0,19.0,17.0,4.0,15.0,0.291,94.0,106.0
platoon,vs RHP as LHB,144.0,,1872.0,1660.0,271,462.0,108.0,4.0,79.0,262.0,8.0,6.0,174.0,403.0,0.278,0.353,0.491,0.844,815.0,33.0,24.0,2.0,11.0,11.0,11.0,0.322,123.0,128.0
platoon,vs LHP as RHB,114.0,,919.0,816.0,101,196.0,40.0,0.0,33.0,98.0,5.0,10.0,79.0,204.0,0.24,0.313,0.411,0.724,335.0,21.0,10.0,9.0,5.0,5.0,4.0,0.279,92.0,89.0
platoon,vs LHP as LHB,115.0,,493.0,431.0,58,85.0,17.0,1.0,9.0,58.0,2.0,0.0,52.0,131.0,0.197,0.292,0.304,0.596,131.0,9.0,7.0,0.0,3.0,0.0,3.0,0.259,60.0,83.0
platoon,vs RH Starter,1642.0,109.0,4125.0,3659.0,530,918.0,195.0,7.0,148.0,507.0,16.0,14.0,346.0,965.0,0.251,0.326,0.429,0.755,1571.0,90.0,72.0,21.0,26.0,14.0,25.0,0.299,100.0,108.0
