Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,2041.0,145.0,5376.0,4808.0,664,1192.0,242.0,32.0,167.0,635.0,70.0,21.0,438.0,1199.0,0.248,0.315,0.416,0.731,1999.0,89.0,52.0,44.0,34.0,22.0,34.0,0.295,100.0,101.0
season,Last 7 days,90.0,6.0,230.0,207.0,30,55.0,9.0,2.0,11.0,30.0,2.0,1.0,19.0,59.0,0.266,0.329,0.488,0.817,101.0,5.0,1.0,2.0,1.0,2.0,1.0,0.319,122.0,120.0
season,Last 14 days,193.0,13.0,481.0,432.0,65,104.0,21.0,5.0,19.0,62.0,5.0,1.0,38.0,106.0,0.241,0.305,0.444,0.75,192.0,12.0,4.0,3.0,4.0,2.0,4.0,0.273,104.0,100.0
season,Last 28 days,360.0,25.0,921.0,819.0,126,199.0,39.0,8.0,37.0,122.0,8.0,4.0,73.0,203.0,0.243,0.31,0.446,0.756,365.0,18.0,11.0,9.0,9.0,3.0,5.0,0.276,106.0,105.0
platoon,vs RHP,145.0,,3845.0,3443.0,474,831.0,172.0,22.0,117.0,455.0,50.0,13.0,308.0,877.0,0.241,0.309,0.406,0.715,1398.0,66.0,40.0,26.0,28.0,16.0,20.0,0.288,96.0,98.0
platoon,vs LHP,119.0,,1531.0,1365.0,190,361.0,70.0,10.0,50.0,180.0,20.0,8.0,130.0,322.0,0.264,0.332,0.44,0.773,601.0,23.0,12.0,18.0,6.0,6.0,14.0,0.311,111.0,110.0
platoon,vs RHP as RHB,145.0,,2284.0,2055.0,266,494.0,97.0,11.0,69.0,252.0,31.0,5.0,167.0,537.0,0.24,0.305,0.399,0.704,820.0,45.0,30.0,18.0,14.0,5.0,13.0,0.29,93.0,98.0
platoon,vs RHP as LHB,142.0,,1561.0,1388.0,208,337.0,75.0,11.0,48.0,203.0,19.0,8.0,141.0,340.0,0.243,0.314,0.416,0.731,578.0,21.0,10.0,8.0,14.0,11.0,7.0,0.285,100.0,98.0
platoon,vs LHP as RHB,114.0,,988.0,884.0,138,243.0,53.0,10.0,40.0,131.0,14.0,5.0,79.0,198.0,0.275,0.338,0.493,0.832,436.0,15.0,8.0,13.0,4.0,5.0,10.0,0.312,126.0,115.0
platoon,vs LHP as LHB,118.0,,543.0,481.0,52,118.0,17.0,0.0,10.0,49.0,6.0,3.0,51.0,124.0,0.245,0.322,0.343,0.665,165.0,8.0,4.0,5.0,2.0,1.0,4.0,0.309,85.0,104.0
platoon,vs RH Starter,1461.0,104.0,3828.0,3421.0,451,816.0,173.0,20.0,115.0,436.0,49.0,11.0,315.0,870.0,0.239,0.307,0.402,0.708,1374.0,64.0,35.0,28.0,29.0,16.0,23.0,0.284,94.0,96.0
platoon,vs LH Starter,580.0,41.0,1548.0,1387.0,213,376.0,69.0,12.0,52.0,199.0,21.0,10.0,123.0,329.0,0.271,0.337,0.451,0.787,625.0,25.0,17.0,16.0,5.0,6.0,11.0,0.32,115.0,115.0
hmvis,Home,1039.0,72.0,2692.0,2405.0,414,676.0,150.0,24.0,98.0,401.0,37.0,9.0,208.0,518.0,0.281,0.342,0.486,0.828,1168.0,46.0,28.0,26.0,25.0,11.0,18.0,0.319,125.0,122.0
hmvis,Away,1002.0,73.0,2684.0,2403.0,250,516.0,92.0,8.0,69.0,234.0,33.0,12.0,230.0,681.0,0.215,0.289,0.346,0.635,831.0,43.0,24.0,18.0,9.0,11.0,16.0,0.269,75.0,80.0
half,1st Half,1284.0,91.0,3358.0,3004.0,390,735.0,153.0,21.0,84.0,368.0,53.0,13.0,276.0,756.0,0.245,0.312,0.393,0.706,1182.0,48.0,28.0,29.0,21.0,17.0,24.0,0.298,94.0,96.0
half,2nd Half,757.0,54.0,2018.0,1804.0,274,457.0,89.0,11.0,83.0,267.0,17.0,8.0,162.0,443.0,0.253,0.321,0.453,0.774,817.0,41.0,24.0,15.0,13.0,5.0,10.0,0.29,111.0,109.0
month,April/March,376.0,26.0,941.0,856.0,115,201.0,38.0,9.0,30.0,109.0,11.0,5.0,69.0,230.0,0.235,0.292,0.405,0.697,347.0,13.0,3.0,6.0,7.0,6.0,7.0,0.284,90.0,98.0
month,May,396.0,28.0,1011.0,891.0,113,208.0,45.0,5.0,19.0,105.0,19.0,5.0,95.0,237.0,0.233,0.313,0.359,0.672,320.0,10.0,10.0,11.0,4.0,8.0,10.0,0.296,86.0,90.0
month,June,373.0,27.0,1023.0,923.0,124,246.0,51.0,7.0,27.0,119.0,15.0,1.0,78.0,227.0,0.267,0.326,0.425,0.751,392.0,19.0,8.0,6.0,8.0,1.0,4.0,0.323,106.0,104.0
month,July,329.0,24.0,920.0,816.0,106,196.0,39.0,2.0,29.0,100.0,17.0,5.0,78.0,190.0,0.24,0.314,0.4,0.713,326.0,15.0,12.0,9.0,5.0,3.0,8.0,0.277,96.0,93.0
