Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1526.0,144.0,5336.0,4833.0,611,1188.0,211.0,24.0,151.0,577.0,109.0,28.0,374.0,1140.0,0.246,0.304,0.393,0.697,1900.0,90.0,48.0,29.0,45.0,8.0,37.0,0.289,100.0,92.0
season,Last 7 days,64.0,6.0,242.0,220.0,37,65.0,15.0,0.0,10.0,36.0,3.0,2.0,15.0,48.0,0.295,0.343,0.5,0.843,110.0,3.0,2.0,3.0,2.0,1.0,0.0,0.335,140.0,128.0
season,Last 14 days,138.0,13.0,509.0,462.0,68,119.0,23.0,1.0,17.0,63.0,12.0,3.0,36.0,100.0,0.258,0.313,0.422,0.735,195.0,4.0,3.0,4.0,4.0,1.0,4.0,0.292,110.0,97.0
season,Last 28 days,285.0,26.0,1009.0,921.0,128,239.0,43.0,2.0,34.0,120.0,26.0,8.0,65.0,198.0,0.26,0.31,0.421,0.732,388.0,14.0,7.0,7.0,9.0,2.0,5.0,0.294,109.0,99.0
platoon,vs RHP,144.0,,3806.0,3440.0,432,827.0,150.0,18.0,103.0,408.0,71.0,21.0,271.0,837.0,0.24,0.3,0.384,0.684,1322.0,65.0,36.0,19.0,34.0,5.0,33.0,0.286,96.0,89.0
platoon,vs LHP,111.0,,1530.0,1393.0,179,361.0,61.0,6.0,48.0,169.0,38.0,7.0,103.0,303.0,0.259,0.313,0.415,0.728,578.0,25.0,12.0,10.0,11.0,3.0,4.0,0.297,109.0,98.0
platoon,vs RHP as RHB,144.0,,2291.0,2095.0,271,497.0,96.0,11.0,62.0,252.0,31.0,11.0,130.0,541.0,0.237,0.288,0.382,0.671,801.0,44.0,30.0,6.0,24.0,3.0,22.0,0.287,92.0,89.0
platoon,vs RHP as LHB,141.0,,1515.0,1345.0,161,330.0,54.0,7.0,41.0,156.0,40.0,10.0,141.0,296.0,0.245,0.318,0.387,0.705,521.0,21.0,6.0,13.0,10.0,2.0,11.0,0.284,103.0,92.0
platoon,vs LHP as RHB,110.0,,1202.0,1092.0,138,278.0,47.0,2.0,44.0,131.0,26.0,5.0,87.0,238.0,0.255,0.314,0.422,0.736,461.0,22.0,10.0,5.0,7.0,3.0,2.0,0.286,111.0,92.0
platoon,vs LHP as LHB,101.0,,328.0,301.0,41,83.0,14.0,4.0,4.0,38.0,12.0,2.0,16.0,65.0,0.276,0.313,0.389,0.701,117.0,3.0,2.0,5.0,4.0,0.0,2.0,0.335,102.0,114.0
platoon,vs RH Starter,1037.0,98.0,3650.0,3297.0,428,799.0,138.0,19.0,105.0,409.0,72.0,20.0,264.0,801.0,0.242,0.302,0.391,0.694,1290.0,59.0,33.0,18.0,32.0,8.0,26.0,0.286,99.0,91.0
platoon,vs LH Starter,489.0,46.0,1686.0,1536.0,183,389.0,73.0,5.0,46.0,168.0,37.0,8.0,110.0,339.0,0.253,0.307,0.397,0.704,610.0,31.0,15.0,11.0,13.0,0.0,11.0,0.295,102.0,92.0
hmvis,Home,709.0,70.0,2578.0,2322.0,325,598.0,114.0,16.0,68.0,303.0,56.0,15.0,191.0,524.0,0.258,0.317,0.408,0.726,948.0,40.0,24.0,11.0,25.0,2.0,26.0,0.302,108.0,95.0
hmvis,Away,817.0,74.0,2758.0,2511.0,286,590.0,97.0,8.0,83.0,274.0,53.0,13.0,183.0,616.0,0.235,0.291,0.379,0.67,952.0,50.0,24.0,18.0,20.0,6.0,11.0,0.277,92.0,89.0
half,1st Half,925.0,89.0,3263.0,2951.0,364,716.0,128.0,16.0,90.0,344.0,58.0,15.0,243.0,724.0,0.243,0.304,0.388,0.692,1146.0,61.0,27.0,12.0,23.0,6.0,26.0,0.29,99.0,93.0
half,2nd Half,601.0,55.0,2073.0,1882.0,247,472.0,83.0,8.0,61.0,233.0,51.0,13.0,131.0,416.0,0.251,0.304,0.401,0.704,754.0,29.0,21.0,17.0,22.0,2.0,11.0,0.288,102.0,91.0
month,April/March,257.0,24.0,873.0,777.0,105,180.0,35.0,7.0,22.0,99.0,22.0,6.0,74.0,190.0,0.232,0.301,0.38,0.68,295.0,10.0,6.0,6.0,8.0,2.0,7.0,0.276,96.0,95.0
month,May,287.0,28.0,1019.0,916.0,113,224.0,39.0,3.0,26.0,107.0,17.0,6.0,74.0,240.0,0.245,0.305,0.379,0.683,347.0,23.0,10.0,5.0,11.0,0.0,9.0,0.3,97.0,92.0
month,June,276.0,27.0,1007.0,922.0,108,234.0,37.0,6.0,31.0,104.0,14.0,2.0,70.0,208.0,0.254,0.313,0.408,0.721,376.0,21.0,10.0,1.0,2.0,4.0,6.0,0.296,107.0,96.0
month,July,256.0,24.0,870.0,793.0,101,189.0,38.0,4.0,28.0,94.0,12.0,4.0,57.0,191.0,0.238,0.292,0.402,0.694,319.0,11.0,7.0,4.0,9.0,0.0,6.0,0.276,98.0,87.0
month,August,312.0,28.0,1058.0,963.0,116,242.0,39.0,3.0,27.0,110.0,32.0,7.0,63.0,211.0,0.251,0.302,0.382,0.684,368.0,21.0,12.0,9.0,11.0,1.0,5.0,0.292,97.0,88.0
month,Sept/Oct,138.0,13.0,509.0,462.0,68,119.0,23.0,1.0,17.0,63.0,12.0,3.0,36.0,100.0,0.258,0.313,0.422,0.735,195.0,4.0,3.0,4.0,4.0,1.0,4.0,0.292,110.0,97.0
outcome,in Wins,712.0,66.0,2517.0,2249.0,401,635.0,121.0,13.0,96.0,380.0,73.0,14.0,188.0,481.0,0.282,0.339,0.476,0.815,1070.0,31.0,21.0,22.0,31.0,3.0,19.0,0.317,133.0,93.0
outcome,in Losses,814.0,78.0,2819.0,2584.0,210,553.0,90.0,11.0,55.0,197.0,36.0,14.0,186.0,659.0,0.214,0.273,0.321,0.594,830.0,59.0,27.0,7.0,14.0,5.0,18.0,0.264,72.0,97.0
stsub,as Starter,1296.0,144.0,5170.0,4682.0,589,1156.0,208.0,22.0,147.0,554.0,101.0,27.0,365.0,1092.0,0.247,0.305,0.395,0.7,1849.0,86.0,47.0,27.0,42.0,8.0,37.0,0.29,101.0,92.0
stsub,as Sub,230.0,0.0,166.0,151.0,22,32.0,3.0,2.0,4.0,23.0,8.0,1.0,9.0,48.0,0.212,0.256,0.338,0.594,51.0,4.0,1.0,2.0,3.0,0.0,0.0,0.275,70.0,84.0
age,Ages 25-,120.0,94.0,367.0,336.0,46,79.0,13.0,1.0,13.0,37.0,13.0,2.0,21.0,103.0,0.235,0.287,0.396,0.683,133.0,5.0,4.0,5.0,1.0,0.0,3.0,0.299,95.0,89.0
age,Ages 26-30,884.0,745.0,3006.0,2718.0,324,655.0,122.0,18.0,66.0,288.0,45.0,19.0,209.0,677.0,0.241,0.299,0.372,0.671,1011.0,49.0,26.0,21.0,25.0,0.0,20.0,0.295,93.0,84.0
