Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1496.0,145.0,5355.0,4820.0,634,1165.0,210.0,33.0,166.0,612.0,72.0,23.0,439.0,1375.0,0.242,0.307,0.402,0.709,1939.0,95.0,35.0,16.0,43.0,7.0,34.0,0.301,100.0,95.0
season,Last 7 days,58.0,5.0,195.0,177.0,26,41.0,6.0,1.0,7.0,25.0,3.0,0.0,15.0,56.0,0.232,0.299,0.395,0.694,70.0,4.0,2.0,1.0,0.0,0.0,1.0,0.298,96.0,89.0
season,Last 14 days,157.0,12.0,468.0,420.0,68,108.0,21.0,4.0,19.0,66.0,4.0,2.0,42.0,121.0,0.257,0.326,0.462,0.788,194.0,9.0,2.0,2.0,2.0,0.0,4.0,0.316,121.0,111.0
season,Last 28 days,297.0,24.0,913.0,843.0,104,208.0,47.0,4.0,31.0,100.0,7.0,4.0,59.0,222.0,0.247,0.299,0.422,0.721,356.0,23.0,5.0,3.0,3.0,2.0,9.0,0.298,102.0,95.0
platoon,vs RHP,144.0,,3828.0,3440.0,444,809.0,151.0,23.0,121.0,431.0,56.0,16.0,318.0,991.0,0.235,0.303,0.398,0.701,1369.0,65.0,28.0,9.0,31.0,6.0,19.0,0.292,98.0,94.0
platoon,vs LHP,103.0,,1527.0,1380.0,190,356.0,59.0,10.0,45.0,181.0,16.0,7.0,121.0,384.0,0.258,0.318,0.413,0.731,570.0,30.0,7.0,7.0,12.0,1.0,15.0,0.323,106.0,99.0
platoon,vs RHP as RHB,143.0,,1625.0,1481.0,207,338.0,58.0,4.0,60.0,205.0,20.0,8.0,109.0,432.0,0.228,0.284,0.394,0.678,584.0,40.0,13.0,1.0,19.0,1.0,11.0,0.276,91.0,90.0
platoon,vs RHP as LHB,141.0,,2203.0,1959.0,237,471.0,93.0,19.0,61.0,226.0,36.0,8.0,209.0,559.0,0.24,0.317,0.401,0.717,785.0,25.0,15.0,8.0,12.0,5.0,8.0,0.303,103.0,95.0
platoon,vs LHP as RHB,103.0,,1376.0,1241.0,175,330.0,57.0,9.0,45.0,169.0,13.0,6.0,112.0,339.0,0.266,0.327,0.435,0.763,540.0,25.0,7.0,5.0,11.0,1.0,13.0,0.328,115.0,99.0
platoon,vs LHP as LHB,68.0,,151.0,139.0,15,26.0,2.0,1.0,0.0,12.0,3.0,1.0,9.0,45.0,0.187,0.235,0.216,0.451,30.0,5.0,0.0,2.0,1.0,0.0,2.0,0.274,30.0,39.0
platoon,vs RH Starter,1016.0,98.0,3630.0,3266.0,422,769.0,132.0,22.0,112.0,405.0,48.0,9.0,300.0,947.0,0.235,0.303,0.392,0.695,1281.0,61.0,25.0,12.0,25.0,4.0,23.0,0.294,96.0,92.0
platoon,vs LH Starter,480.0,47.0,1725.0,1554.0,212,396.0,78.0,11.0,54.0,207.0,24.0,14.0,139.0,428.0,0.255,0.317,0.423,0.74,658.0,34.0,10.0,4.0,18.0,3.0,11.0,0.314,109.0,102.0
hmvis,Home,733.0,74.0,2668.0,2388.0,308,571.0,97.0,24.0,79.0,300.0,38.0,10.0,223.0,666.0,0.239,0.307,0.399,0.706,953.0,41.0,22.0,10.0,23.0,3.0,12.0,0.295,99.0,90.0
hmvis,Away,763.0,71.0,2687.0,2432.0,326,594.0,113.0,9.0,87.0,312.0,34.0,13.0,216.0,709.0,0.244,0.307,0.405,0.712,986.0,54.0,13.0,6.0,20.0,4.0,22.0,0.306,101.0,100.0
half,1st Half,898.0,91.0,3343.0,2988.0,378,704.0,116.0,18.0,100.0,366.0,56.0,16.0,296.0,908.0,0.236,0.307,0.387,0.694,1156.0,56.0,22.0,11.0,24.0,5.0,20.0,0.301,96.0,93.0
half,2nd Half,598.0,54.0,2012.0,1832.0,256,461.0,94.0,15.0,66.0,246.0,16.0,7.0,143.0,467.0,0.252,0.307,0.427,0.735,783.0,39.0,13.0,5.0,19.0,2.0,14.0,0.3,106.0,98.0
month,April/March,264.0,27.0,916.0,843.0,75,168.0,27.0,6.0,28.0,75.0,7.0,1.0,63.0,280.0,0.199,0.257,0.345,0.602,291.0,16.0,4.0,0.0,4.0,1.0,3.0,0.26,70.0,72.0
month,May,270.0,27.0,1038.0,916.0,119,227.0,35.0,7.0,20.0,114.0,19.0,5.0,102.0,269.0,0.248,0.329,0.367,0.695,336.0,16.0,11.0,3.0,6.0,1.0,6.0,0.327,99.0,97.0
month,June,267.0,27.0,1008.0,892.0,130,225.0,45.0,4.0,38.0,124.0,24.0,6.0,93.0,250.0,0.252,0.323,0.439,0.763,392.0,19.0,6.0,6.0,11.0,1.0,8.0,0.304,114.0,106.0
month,July,255.0,26.0,972.0,865.0,147,228.0,34.0,6.0,37.0,142.0,11.0,6.0,84.0,214.0,0.264,0.329,0.445,0.774,385.0,16.0,6.0,4.0,13.0,2.0,7.0,0.305,118.0,108.0
month,August,283.0,26.0,953.0,884.0,95,209.0,48.0,6.0,24.0,91.0,7.0,3.0,55.0,241.0,0.236,0.284,0.386,0.669,341.0,19.0,6.0,1.0,7.0,2.0,6.0,0.296,89.0,83.0
month,Sept/Oct,157.0,12.0,468.0,420.0,68,108.0,21.0,4.0,19.0,66.0,4.0,2.0,42.0,121.0,0.257,0.326,0.462,0.788,194.0,9.0,2.0,2.0,2.0,0.0,4.0,0.316,121.0,111.0
outcome,in Wins,711.0,69.0,2651.0,2330.0,417,657.0,124.0,21.0,93.0,403.0,46.0,14.0,249.0,584.0,0.282,0.354,0.473,0.827,1102.0,41.0,26.0,14.0,31.0,3.0,17.0,0.335,133.0,96.0
outcome,in Losses,785.0,76.0,2704.0,2490.0,217,508.0,86.0,12.0,73.0,209.0,26.0,9.0,190.0,791.0,0.204,0.262,0.336,0.598,837.0,54.0,9.0,2.0,12.0,4.0,17.0,0.266,69.0,98.0
stsub,as Starter,1305.0,145.0,5209.0,4687.0,602,1127.0,200.0,33.0,160.0,589.0,67.0,22.0,429.0,1330.0,0.24,0.306,0.4,0.706,1873.0,93.0,35.0,14.0,42.0,6.0,32.0,0.299,99.0,93.0
stsub,as Sub,191.0,0.0,146.0,133.0,32,38.0,10.0,0.0,6.0,23.0,5.0,1.0,10.0,45.0,0.286,0.333,0.496,0.83,66.0,2.0,0.0,2.0,1.0,1.0,2.0,0.386,132.0,156.0
age,Ages 25-,321.0,274.0,1103.0,999.0,141,232.0,43.0,15.0,28.0,115.0,31.0,10.0,83.0,288.0,0.232,0.296,0.389,0.685,389.0,18.0,10.0,4.0,7.0,3.0,3.0,0.296,93.0,90.0
age,Ages 26-30,862.0,737.0,3012.0,2745.0,350,670.0,125.0,15.0,91.0,345.0,24.0,8.0,221.0,803.0,0.244,0.301,0.4,0.701,1098.0,53.0,14.0,10.0,22.0,2.0,23.0,0.309,98.0,92.0
age,Ages 31-35,197.0,181.0,770.0,658.0,97,154.0,29.0,3.0,32.0,83.0,17.0,5.0,95.0,176.0,0.234,0.334,0.433,0.767,285.0,10.0,7.0,2.0,6.0,2.0,5.0,0.268,117.0,112.0
age,Ages 36+,116.0,113.0,470.0,418.0,46,109.0,13.0,0.0,15.0,69.0,0.0,0.0,40.0,108.0,0.261,0.326,0.4,0.725,167.0,14.0,4.0,0.0,8.0,0.0,3.0,0.31,106.0,101.0
defp,as C,145.0,,543.0,492.0,67,117.0,23.0,4.0,28.0,70.0,2.0,0.0,41.0,170.0,0.238,0.298,0.472,0.769,232.0,8.0,2.0,4.0,2.0,0.0,4.0,0.301,115.0,118.0
