Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1542.0,146.0,5485.0,4899.0,655,1180.0,241.0,16.0,205.0,619.0,46.0,13.0,480.0,1265.0,0.241,0.314,0.422,0.736,2068.0,111.0,61.0,7.0,35.0,17.0,32.0,0.281,100.0,102.0
season,Last 7 days,84.0,8.0,274.0,255.0,32,56.0,13.0,0.0,13.0,32.0,3.0,0.0,17.0,70.0,0.22,0.27,0.424,0.694,108.0,6.0,1.0,0.0,1.0,0.0,1.0,0.249,87.0,86.0
season,Last 14 days,148.0,14.0,501.0,462.0,53,104.0,23.0,1.0,20.0,53.0,5.0,0.0,36.0,123.0,0.225,0.283,0.409,0.693,189.0,10.0,2.0,0.0,1.0,1.0,2.0,0.263,87.0,85.0
season,Last 28 days,272.0,26.0,952.0,867.0,103,196.0,41.0,2.0,35.0,102.0,8.0,4.0,71.0,232.0,0.226,0.293,0.399,0.692,346.0,17.0,12.0,0.0,2.0,3.0,4.0,0.267,88.0,88.0
platoon,vs RHP,143.0,,3705.0,3288.0,455,791.0,163.0,13.0,142.0,430.0,38.0,13.0,340.0,850.0,0.241,0.318,0.428,0.745,1406.0,72.0,44.0,6.0,26.0,14.0,24.0,0.28,103.0,106.0
platoon,vs LHP,115.0,,1780.0,1611.0,200,389.0,78.0,3.0,63.0,189.0,8.0,0.0,140.0,415.0,0.241,0.307,0.411,0.718,662.0,39.0,17.0,1.0,9.0,3.0,8.0,0.285,95.0,95.0
platoon,vs RHP as RHB,143.0,,1970.0,1751.0,243,398.0,86.0,2.0,87.0,233.0,24.0,6.0,177.0,489.0,0.227,0.305,0.428,0.733,749.0,52.0,24.0,4.0,13.0,7.0,9.0,0.262,99.0,106.0
platoon,vs RHP as LHB,140.0,,1735.0,1537.0,212,393.0,77.0,11.0,55.0,197.0,14.0,7.0,163.0,361.0,0.256,0.332,0.427,0.76,657.0,20.0,20.0,2.0,13.0,7.0,15.0,0.298,107.0,106.0
platoon,vs LHP as RHB,108.0,,1309.0,1181.0,156,304.0,64.0,1.0,55.0,149.0,5.0,0.0,107.0,296.0,0.257,0.324,0.453,0.777,535.0,34.0,12.0,0.0,7.0,3.0,7.0,0.297,111.0,102.0
platoon,vs LHP as LHB,112.0,,471.0,430.0,44,85.0,14.0,2.0,8.0,40.0,3.0,0.0,33.0,119.0,0.198,0.262,0.295,0.557,127.0,5.0,5.0,1.0,2.0,0.0,1.0,0.252,53.0,71.0
platoon,vs RH Starter,1028.0,97.0,3691.0,3279.0,464,795.0,162.0,16.0,143.0,437.0,35.0,13.0,337.0,843.0,0.242,0.318,0.432,0.751,1418.0,62.0,41.0,6.0,26.0,14.0,22.0,0.281,104.0,107.0
platoon,vs LH Starter,514.0,49.0,1794.0,1620.0,191,385.0,79.0,0.0,62.0,182.0,11.0,0.0,143.0,422.0,0.238,0.306,0.401,0.707,650.0,49.0,20.0,1.0,9.0,3.0,10.0,0.282,93.0,93.0
hmvis,Home,761.0,73.0,2718.0,2402.0,334,576.0,115.0,8.0,102.0,312.0,24.0,5.0,247.0,600.0,0.24,0.319,0.422,0.741,1013.0,49.0,41.0,6.0,20.0,12.0,13.0,0.276,102.0,99.0
hmvis,Away,781.0,73.0,2767.0,2497.0,321,604.0,126.0,8.0,103.0,307.0,22.0,8.0,233.0,665.0,0.242,0.31,0.423,0.732,1055.0,62.0,20.0,1.0,15.0,5.0,19.0,0.287,99.0,106.0
half,1st Half,919.0,89.0,3371.0,3002.0,421,737.0,148.0,12.0,129.0,389.0,31.0,5.0,300.0,766.0,0.246,0.318,0.432,0.75,1296.0,64.0,33.0,7.0,26.0,11.0,21.0,0.285,104.0,108.0
half,2nd Half,623.0,57.0,2114.0,1897.0,234,443.0,93.0,4.0,76.0,230.0,15.0,8.0,180.0,499.0,0.234,0.308,0.407,0.715,772.0,47.0,28.0,0.0,9.0,6.0,11.0,0.276,95.0,94.0
month,April/March,264.0,24.0,897.0,800.0,111,193.0,40.0,2.0,31.0,105.0,9.0,1.0,74.0,208.0,0.241,0.311,0.413,0.723,330.0,14.0,11.0,2.0,10.0,1.0,6.0,0.284,97.0,107.0
month,May,295.0,29.0,1104.0,975.0,135,231.0,55.0,3.0,41.0,124.0,8.0,2.0,109.0,264.0,0.237,0.319,0.426,0.744,415.0,19.0,11.0,0.0,7.0,3.0,8.0,0.281,103.0,109.0
month,June,252.0,25.0,946.0,859.0,117,222.0,38.0,5.0,43.0,111.0,10.0,2.0,69.0,199.0,0.258,0.317,0.464,0.782,399.0,26.0,8.0,3.0,6.0,4.0,6.0,0.287,111.0,110.0
