Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1492.0,144.0,5406.0,4762.0,717,1213.0,237.0,21.0,171.0,681.0,54.0,19.0,518.0,1240.0,0.255,0.335,0.421,0.756,2005.0,119.0,71.0,20.0,35.0,10.0,52.0,0.308,100.0,109.0
season,Last 7 days,63.0,6.0,225.0,198.0,25,49.0,12.0,1.0,6.0,24.0,0.0,0.0,20.0,45.0,0.247,0.335,0.409,0.744,81.0,9.0,6.0,1.0,0.0,2.0,2.0,0.293,97.0,104.0
season,Last 14 days,114.0,11.0,425.0,376.0,49,103.0,20.0,1.0,10.0,46.0,1.0,0.0,36.0,81.0,0.274,0.351,0.412,0.764,155.0,12.0,10.0,1.0,2.0,2.0,2.0,0.324,103.0,107.0
season,Last 28 days,237.0,24.0,931.0,832.0,118,225.0,41.0,1.0,28.0,113.0,4.0,0.0,75.0,185.0,0.27,0.343,0.423,0.766,352.0,24.0,19.0,1.0,4.0,3.0,9.0,0.316,103.0,110.0
platoon,vs RHP,143.0,,3961.0,3478.0,529,878.0,175.0,14.0,121.0,502.0,47.0,16.0,387.0,895.0,0.252,0.334,0.415,0.749,1444.0,93.0,54.0,13.0,29.0,7.0,43.0,0.304,98.0,108.0
platoon,vs LHP,108.0,,1445.0,1284.0,188,335.0,62.0,7.0,50.0,179.0,7.0,3.0,131.0,345.0,0.261,0.336,0.437,0.773,561.0,26.0,17.0,7.0,6.0,3.0,9.0,0.318,104.0,110.0
platoon,vs RHP as RHB,143.0,,2086.0,1892.0,287,502.0,100.0,7.0,62.0,276.0,22.0,5.0,137.0,454.0,0.265,0.322,0.424,0.746,802.0,52.0,32.0,5.0,20.0,3.0,30.0,0.315,97.0,110.0
platoon,vs RHP as LHB,142.0,,1875.0,1586.0,242,376.0,75.0,7.0,59.0,226.0,25.0,11.0,250.0,441.0,0.237,0.347,0.405,0.752,642.0,41.0,22.0,8.0,9.0,4.0,13.0,0.289,100.0,105.0
platoon,vs LHP as RHB,107.0,,1255.0,1112.0,168,306.0,57.0,7.0,49.0,160.0,7.0,1.0,116.0,290.0,0.275,0.351,0.471,0.822,524.0,26.0,17.0,5.0,5.0,3.0,9.0,0.33,117.0,114.0
platoon,vs LHP as LHB,76.0,,190.0,172.0,20,29.0,5.0,0.0,1.0,19.0,0.0,2.0,15.0,55.0,0.169,0.234,0.215,0.449,37.0,0.0,0.0,2.0,1.0,0.0,0.0,0.239,21.0,39.0
