Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
season,2021 Totals,1558.0,145.0,5436.0,4770.0,632,1130.0,189.0,11.0,194.0,591.0,58.0,13.0,568.0,1334.0,0.237,0.323,0.403,0.726,1923.0,137.0,56.0,10.0,31.0,13.0,30.0,0.286,100.0,101.0
season,Last 7 days,94.0,7.0,262.0,235.0,37,58.0,3.0,1.0,19.0,36.0,2.0,0.0,23.0,67.0,0.247,0.317,0.511,0.827,120.0,10.0,2.0,0.0,2.0,0.0,0.0,0.258,125.0,122.0
season,Last 14 days,156.0,13.0,479.0,433.0,56,96.0,7.0,1.0,24.0,55.0,3.0,1.0,39.0,119.0,0.222,0.29,0.409,0.699,177.0,15.0,4.0,0.0,3.0,0.0,2.0,0.246,91.0,87.0
season,Last 28 days,292.0,25.0,926.0,829.0,124,194.0,28.0,2.0,45.0,120.0,11.0,3.0,79.0,229.0,0.234,0.308,0.435,0.743,361.0,25.0,12.0,0.0,6.0,1.0,4.0,0.266,103.0,101.0
platoon,vs RHP,144.0,,3715.0,3261.0,442,748.0,134.0,8.0,132.0,408.0,40.0,9.0,392.0,930.0,0.229,0.317,0.397,0.714,1294.0,95.0,37.0,2.0,23.0,10.0,21.0,0.277,97.0,98.0
platoon,vs LHP,122.0,,1721.0,1509.0,190,382.0,55.0,3.0,62.0,183.0,18.0,4.0,176.0,404.0,0.253,0.337,0.417,0.754,629.0,42.0,19.0,8.0,8.0,3.0,9.0,0.304,108.0,106.0
platoon,vs RHP as RHB,144.0,,2583.0,2294.0,331,557.0,94.0,2.0,96.0,305.0,25.0,6.0,258.0,636.0,0.243,0.322,0.411,0.734,943.0,80.0,18.0,0.0,13.0,5.0,16.0,0.293,102.0,107.0
platoon,vs RHP as LHB,139.0,,1132.0,967.0,111,191.0,40.0,6.0,36.0,103.0,15.0,3.0,134.0,294.0,0.198,0.304,0.363,0.667,351.0,15.0,19.0,2.0,10.0,5.0,5.0,0.24,84.0,82.0
platoon,vs LHP as RHB,122.0,,1321.0,1167.0,160,303.0,45.0,2.0,53.0,155.0,9.0,1.0,134.0,295.0,0.26,0.339,0.438,0.777,511.0,36.0,10.0,3.0,7.0,3.0,5.0,0.303,114.0,103.0
platoon,vs LHP as LHB,112.0,,400.0,342.0,30,79.0,10.0,1.0,9.0,28.0,9.0,3.0,42.0,109.0,0.231,0.33,0.345,0.675,118.0,6.0,9.0,5.0,1.0,0.0,4.0,0.311,88.0,108.0
platoon,vs RH Starter,1045.0,95.0,3543.0,3113.0,413,723.0,121.0,8.0,123.0,382.0,36.0,7.0,364.0,878.0,0.232,0.318,0.395,0.713,1229.0,88.0,38.0,6.0,21.0,9.0,22.0,0.281,97.0,97.0
platoon,vs LH Starter,513.0,50.0,1893.0,1657.0,219,407.0,68.0,3.0,71.0,209.0,22.0,6.0,204.0,456.0,0.246,0.333,0.419,0.752,694.0,49.0,18.0,4.0,10.0,4.0,8.0,0.295,107.0,106.0
hmvis,Home,752.0,72.0,2627.0,2285.0,317,528.0,87.0,3.0,92.0,299.0,30.0,3.0,297.0,649.0,0.231,0.324,0.393,0.717,897.0,55.0,26.0,4.0,15.0,9.0,13.0,0.28,98.0,94.0
hmvis,Away,806.0,73.0,2809.0,2485.0,315,602.0,102.0,8.0,102.0,292.0,28.0,10.0,271.0,685.0,0.242,0.322,0.413,0.735,1026.0,82.0,30.0,6.0,16.0,4.0,17.0,0.292,102.0,107.0
half,1st Half,926.0,89.0,3331.0,2928.0,370,692.0,111.0,5.0,114.0,341.0,20.0,5.0,359.0,810.0,0.236,0.323,0.394,0.717,1155.0,87.0,23.0,6.0,15.0,7.0,18.0,0.286,98.0,100.0
half,2nd Half,632.0,56.0,2105.0,1842.0,262,438.0,78.0,6.0,80.0,250.0,38.0,8.0,209.0,524.0,0.238,0.324,0.417,0.741,768.0,50.0,33.0,4.0,16.0,6.0,12.0,0.285,104.0,101.0
month,April/March,265.0,26.0,981.0,859.0,102,192.0,32.0,0.0,37.0,97.0,4.0,1.0,113.0,226.0,0.224,0.317,0.39,0.707,335.0,24.0,5.0,2.0,2.0,2.0,3.0,0.259,95.0,103.0
month,May,286.0,28.0,1006.0,891.0,100,208.0,27.0,2.0,25.0,87.0,8.0,3.0,100.0,268.0,0.233,0.315,0.352,0.668,314.0,28.0,9.0,0.0,6.0,2.0,4.0,0.303,85.0,89.0
month,June,291.0,26.0,1014.0,887.0,127,223.0,38.0,3.0,44.0,121.0,5.0,0.0,113.0,243.0,0.251,0.337,0.45,0.786,399.0,29.0,4.0,4.0,6.0,3.0,8.0,0.295,116.0,113.0
month,July,241.0,23.0,854.0,735.0,93,168.0,35.0,2.0,23.0,85.0,18.0,4.0,92.0,210.0,0.229,0.327,0.376,0.703,276.0,19.0,18.0,4.0,5.0,1.0,6.0,0.286,95.0,91.0
month,August,319.0,29.0,1102.0,965.0,154,243.0,50.0,3.0,41.0,146.0,20.0,4.0,111.0,268.0,0.252,0.336,0.437,0.773,422.0,22.0,16.0,0.0,9.0,5.0,7.0,0.304,113.0,112.0
month,Sept/Oct,156.0,13.0,479.0,433.0,56,96.0,7.0,1.0,24.0,55.0,3.0,1.0,39.0,119.0,0.222,0.29,0.409,0.699,177.0,15.0,4.0,0.0,3.0,0.0,2.0,0.246,91.0,87.0
