id,name,type,vid_res,language,home_away,call_sign
102,Dodgers Radio AM570,AM,,en,home,570
103,KMBC-9,TV,,en,home,KMBC-9
104,KMBZ 980,AM,,en,home,KMBZ 980
105,KMOX 1120 AM/98.7 FM,AM,,en,away,KMOX
106,KMSP,TV,,en,away,KMSP
108,KNBR 680,AM,,en,away,KNBR
109,KNWS,TV,,en,home,KNWS
110,KTTH 770,AM,,en,home,KTTH 770
111,KOA 850 AM,AM,,en,away,KOA
112,KOGO 600,AM,,en,away,KOGO 600
113,KRLD 1080,AM,,en,away,KRLD
115,KSUN La Mejor 1400 ,AM,,es,home,KSUN 1400
116,ESPN Phoenix 620,AM,,en,home,ESPN 620
117,KTLA,TV,,en,home,KTLA
118,KTRH 740 AM/99.1 FM HD-2,AM,,en,home,KTRH 740
119,KTVU,TV,,en,home,KTVU
120,KURS,AM,,es,away,KURS
121,KUSI Cable 9,TV,,en,away,KUSI 9
124,MAS!,TV,,es,home,MAS!
126,NESN,TV,,en,away,NESN
127,RDS,TV,,en,home,RDS
128,SCORE,TV,,en,away,SCORE
129,TBS,TV,,en,away,TBS
130,TS,TV,,en,home,TS
131,TSN,TV,,en,home,TSN
132,UPN,TV,,en,away,UPN
133,UPN 57,TV,,en,away,UPN 57
135,WAXY 790,AM,,en,home,WAXY 790
136,104.3 FM/760 AM WLCC,AM,,es,home,760 AM
137,CBC,TV,,en,home,CBC
138,CKAC 730,AM,,fr,home,CKAC 730
139,4SD/704-HD,TV,,en,home,4SD/704
140,NBCSP,TV,,en,away,NBCSP
142,ESPN,TV,,en,home,ESPN
143,ESPN2,TV,,en,home,ESPN2
144,FOX,TV,,en,away,FOX
145,FOX OHIO,TV,,en,home,FSO
148,FSN,TV,,en,home,FSAZ
149,FSN+,TV,,en,home,FSAZ
150,FSN2,TV,,en,away,FSW
151,FSNC,TV,,en,away,FSNC
152,FSNC+,TV,,en,away,FSNC
153,FSND,TV,,en,home,FSD
154,FSNP,TV,,en,home,FSNP
155,FSN NY,TV,,en,home,FSN NY
156,Bally Sports Southwest,TV,,en,home,BSSW
157,FXSS,TV,,en,home,FXSS
158,Bloomberg 960 AM,AM,HD,en,away,KNEW 960
159,KBME 790 AM/94.5 FM HD-2,AM,,en,home,KBME
160,KCAL,TV,,en,home,KCAL
161,KCWE-29,TV,,en,away,KCWE-29
162,kdfi,TV,,en,away,kdfi
163,KDFW-4,TV,,en,home,KDFW-4
164,100.1 FM/KDKA-AM 1020,AM,,en,away,100.1/1020
165,KIRO 710,AM,,en,away,KIRO
166,KIRO-7,TV,,en,home,KIRO-7
167,WB-11,TV,,en,home,WB-11
168,WCCO 830,AM,,en,home,WCCO
169,WCGV-24,TV,,en,home,WCGV-24
170,WCIU,TV,HD,en,home,WCIU
171,WCWB-22,TV,,en,home,WCWB-22
172,WDAE 620 AM/95.3 FM,AM,,en,home,WDAE
173,WEEI 850,AM,,en,away,WEEI
174,WFAN 660/101.9 FM,AM,,en,home,WFAN
175,WFLA 970,AM,,en,home,WFLA 970
176,WFXT-25,TV,,en,home,WFXT-25
177,WGN,TV,,en,away,WGN
178,WGN 720,AM,,en,away,WGN
179,WISN-12,TV,,en,home,WISN-12
180,WLW 700,AM,,en,home,WLW
183,WMOR,TV,,en,home,WMOR
185,1210 WPHT,AM,,en,home,1210WPHT
186,WPIX,TV,,en,away,WPIX
187,WQAM 560,AM,,en,home,WQAM 560
188,WQBA 1140,AM,,es,away,WQBA1140
189,WSB 750,AM,,en,home,WSB 750
191,WTAM 1100,AM,,en,away,WTAM
192,WTMJ 620,AM,,en,away,WTMJ
193,WTSP,TV,,en,away,WTSP
195,WXYT 1270,AM,,en,away,WXYT
196,XPRS 1090,AM,,es,home,XPRS1090
197,MSG,TV,,en,away,MSG
199,WADO 1280,AM,,es,away,WADO
200,FOX 5,TV,,en,away,FOX 5
201,3TV,TV,,en,home,3TV
202,KICU,TV,,en,home,KICU
203,WB50 / WJZ,TV,,en,home,WB50/WJZ
204,WB50 / WB54,TV,,en,away,WB50/54
205,WJZ,TV,,en,home,WJZ
206,NBCSP+,TV,,en,home,NBCSP
208,SN,TV,,en,home,SNO
210,FX,TV,,en,away,FX
214,WB54,TV,,en,away,WB54
215,WJW-TV8,TV,,en,home,WJW-TV8
216,KCOP,TV,,en,away,KCOP
217,KPLR-11,TV,,en,home,KPLR-11
218,WPEN 950,AM,,en,away,WPEN 950
219,RSN,TV,,en,home,RSN
220,KZSF 1370,AM,,es,home,KZSF1370
221,KWKW 1330,AM,,es,away,KWKW
223,KESS,AM,,es,away,KESS
224,WWWE,AM,,es,home,WWWE
225,KMLY,AM,,es,home,KMLY
226,WLYN,AM,,es,home,WLYN
227,KRTX,AM,,es,home,KRTX
228,Sabados,TV,,es,home,Sabados
229,WMVP 1000 AM,AM,,en,away,WMVP
230,SN590,AM,,en,away,SN590
231,Fox Sports 1150,AM,,en,home,Fox-1150
232,KFRC 106.9,FM,,en,home,KFRC106.9
233,The Team 990,AM,,en,away,990 Team
234,WB2,TV,,en,away,WB2
235,98 Rock / WBAL 1090,AM,,en,home,98 Rock
236,WCBS 880,AM,,en,away,WCBS 880
237,KMVP 7,AM,,en,home,KMVP
238,KSTC 45,TV,,en,home,KSTC 45
240,RSN / CFMT,TV,,en,away,RSN/CFMT
241,CBS,TV,,en,home,CBS
242,Mojo 640,AM,,en,home,Mojo 640
243,Rogers 10,TV,,en,home,Rogers10
245,YES,TV,,en,away,YES
246,CKTB 610,AM,,en,home,CKTB 610
247,WPXM 35,TV,,en,away,WPXM 35
248,CKAC / CKGM,AM,,en,home,CKAC-CKGM
249,CKGM / MLB.com,AM,,en,home,CKGM
250,WWJ 950,AM,,en,away,WWJ 950
251,MLB.com,AM,,es,away,MLB.com
252,Ch. 4 Padres,TV,,en,away,Ch. 4
253,KPLS 830,AM,,en,away,KPLS 830
254,XTRA 690,AM,,en,home,XTRA 690
255,WCMS 1290,AM,,en,home,WCMS1290
256,WJYI 1340,AM,,en,home,WJYI1340
257,Fox 97.1,FM,,en,home,Fox 97.1
258,ABC Family,TV,,en,home,ABC Fam
259,KTTV,TV,,en,home,KTTV
260,KSAZ,TV,,en,home,KSAZ
261,KTVI,TV,,en,away,KTVI
262,WAGA,TV,,en,home,WAGA
