jerseyNumber,job,jobId,title,season,person_mlbam,person_name,team_mlbam,team_name
17,Manager,MNGR,Manager,2022,117950,Torey Lovullo,109,Arizona Diamondbacks
82,Bench Coach,COAB,Bench Coach,2022,110529,Jeff Banister,109,Arizona Diamondbacks
74,Hitting Coach,COAT,Hitting Coach,2022,458628,Joe Mather,109,Arizona Diamondbacks
75,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,113702,Damion Easley,109,Arizona Diamondbacks
78,Assistant Hitting Coach,COAA,Assistant Hitting Coach/Director of Minor League Hitting,2022,572913,Drew Hedman,109,Arizona Diamondbacks
73,Assistant Hitting Coach,COAA,Assistant Hitting Coach/Assistant Minor League Hitting Coordinator,2022,430907,Rick Short,109,Arizona Diamondbacks
72,Pitching Coach,COAP,Pitching Coach,2022,122884,Brent Strom,109,Arizona Diamondbacks
76,Assistant Pitching Coach,COPA,Assistant Pitching Coach/Minor League Pitching Coordinator,2022,112004,Dan Carlson,109,Arizona Diamondbacks
77,Assistant Pitching Coach,COPA,Assistant Pitching Coach/Minor League Pitching Coordinator,2022,446264,Barry Enright,109,Arizona Diamondbacks
39,First Base Coach,COA1,First Base Coach,2022,118763,Dave McKay,109,Arizona Diamondbacks
3,Third Base Coach,COA3,Third Base Coach,2022,120418,Tony Perezchica,109,Arizona Diamondbacks
71,Bullpen Coach,COAU,Bullpen Coach,2022,114097,Mike Fetters,109,Arizona Diamondbacks
70,Major League Coach,MAJC,"Coordinator, Major League Player Development & Instruction",2022,468222,Luis Urueta,109,Arizona Diamondbacks
5,Manager,MNGR,Manager,2022,408306,Rocco Baldelli,142,Minnesota Twins
33,Bench Coach,COAB,Bench Coach,2022,461344,Jayce Tingler,142,Minnesota Twins
63,Hitting Coach,COAT,Hitting Coach,2022,446973,Rudy Hernandez,142,Minnesota Twins
79,Hitting Coach,COAT,Hitting Coach,2022,623980,David Popkins,142,Minnesota Twins
,Infield Coach,INFC,Infield and Catching Coordinator,2022,693087,Tucker Frawley,142,Minnesota Twins
47,Pitching Coach,COAP,Pitching Coach,2022,667684,Wes Johnson,142,Minnesota Twins
91,Assistant Pitching Coach,COPA,Assistant Pitching Coach,2022,452889,Luis Ramirez,142,Minnesota Twins
35,First Base Coach,COA1,First Base/Catching Coach,2022,474233,Hank Conger,142,Minnesota Twins
40,Third Base Coach,COA3,Third Base Coach,2022,435714,Tommy Watkins,142,Minnesota Twins
88,Bullpen Coach,COAU,Bullpen Coach,2022,678932,Pete Maki,142,Minnesota Twins
67,Major League Coach,MAJC,Major League Coach,2022,433637,Bill Evers,142,Minnesota Twins
46,Assistant Bench Coach,ASBC,Assistant Bench Coach,2022,447980,Tony Diaz,142,Minnesota Twins
75,Quality Control Coach,QUAC,Quality Control Coach,2022,534548,Nate Dammann,142,Minnesota Twins
97,Bullpen Catcher,BCAT,Bullpen Catcher,2022,613588,Garrett Kennedy,142,Minnesota Twins
98,Bullpen Catcher,BCAT,Bullpen Catcher,2022,686374,Connor Olson,142,Minnesota Twins
48,Assistant Coach,ASSC,Assistant Coach,2022,801186,Packy Casey,142,Minnesota Twins
,Major League Replay Coordinator,MLRC,Minor League Medical Coordinator,2022,579069,Chad Jackson,142,Minnesota Twins
43,Manager,MNGR,Manager,2022,492535,Brian Snitker,144,Atlanta Braves
4,Bench Coach,COAB,Bench Coach,2022,124054,Walt Weiss,144,Atlanta Braves
39,Pitching Coach,COAP,Pitching Coach,2022,492899,Rick Kranitz,144,Atlanta Braves
34,Hitting Coach,COAT,Hitting Coach,2022,121983,Kevin Seitzer,144,Atlanta Braves
2,First Base Coach,COA1,First Base Coach,2022,124695,Eric Young Sr.,144,Atlanta Braves
37,Third Base Coach,COA3,Third Base Coach,2022,123965,Ron Washington,144,Atlanta Braves
58,Bullpen Coach,COAU,Bullpen Coach,2022,666866,Drew French,144,Atlanta Braves
57,Catching Coach,CATC,Catching Coach,2022,114031,Sal Fasano,144,Atlanta Braves
95,Major League Coach,MAJC,Major League Coach,2022,120407,Eddie Perez,144,Atlanta Braves
