player_mlbam,player,position,team,team_mlbam,date,award_id,award,ntoes,votes
120074,David Ortiz,DH,Boston Red Sox,111,2022-01-25,MLBHOF,Hall Of Fame,-,307
116008,Gil Hodges,1B,Los Angeles Dodgers,119,2021-12-05,MLBHOF,Hall Of Fame,-,-
119176,Minnie Minoso,OF,Chicago White Sox,145,2021-12-05,MLBHOF,Hall Of Fame,-,-
119980,Tony Oliva,OF,Minnesota Twins,142,2021-12-05,MLBHOF,Hall Of Fame,-,-
122247,Ted Simmons,C,No team,14,2020-07-26,MLBHOF,Hall Of Fame,Modern Baseball Committee Inductee,13
116539,Derek Jeter,SS,New York Yankees,147,2020-01-21,MLBHOF,Hall Of Fame,-,396
123833,Larry Walker,RF,Colorado Rockies,115,2020-01-21,MLBHOF,Hall Of Fame,-,304
110456,Harold Baines,DH,Chicago White Sox,145,2019-07-21,MLBHOF,Hall Of Fame,Veterans Committee Inductee,-
122426,Lee Smith,P,Chicago Cubs,112,2019-07-21,MLBHOF,Hall Of Fame,Veterans Committee Inductee,-
118365,Edgar Martinez,DH,Seattle Mariners,136,2019-01-22,MLBHOF,Hall Of Fame,-,363
121250,Mariano Rivera,P,New York Yankees,147,2019-01-22,MLBHOF,Hall Of Fame,First unanimous inductee,425
119608,Mike Mussina,P,No team,14,2019-01-22,MLBHOF,Hall Of Fame,No cap logo on plaque,326
136880,Roy Halladay,P,No team,14,2019-01-22,MLBHOF,Hall Of Fame,No cap logo on plaque,363
123437,Alan Trammell,SS,Detroit Tigers,116,2018-07-29,MLBHOF,Hall Of Fame,Veterans Committee Inductee,-
119399,Jack Morris,P,Detroit Tigers,116,2018-07-29,MLBHOF,Hall Of Fame,Veterans Committee Inductee,-
116706,Chipper Jones,3B,Atlanta Braves,144,2018-01-24,MLBHOF,Hall Of Fame,-,410
123272,Jim Thome,1B,Cleveland Indians,114,2018-01-24,MLBHOF,Hall Of Fame,-,379
116034,Trevor Hoffman,P,San Diego Padres,135,2018-01-24,MLBHOF,Hall Of Fame,-,337
121358,Ivan Rodriguez,C,Texas Rangers,140,2017-01-18,MLBHOF,Hall Of Fame,-,336
110432,Jeff Bagwell,1B,Houston Astros,117,2017-01-18,MLBHOF,Hall Of Fame,-,381
120891,Tim Raines,LF,Washington Nationals,120,2017-01-18,MLBHOF,Hall Of Fame,-,380
115135,Ken Griffey Jr.,CF,Seattle Mariners,136,2016-01-06,MLBHOF,Hall Of Fame,-,437
120536,Mike Piazza,C,New York Mets,121,2016-01-06,MLBHOF,Hall Of Fame,-,365
110987,Craig Biggio,2B,Houston Astros,117,2015-01-06,MLBHOF,Hall Of Fame,-,454
122477,John Smoltz,P,Atlanta Braves,144,2015-01-06,MLBHOF,Hall Of Fame,-,455
118377,Pedro Martinez,P,Boston Red Sox,111,2015-01-06,MLBHOF,Hall Of Fame,-,500
116615,Randy Johnson,P,Arizona Diamondbacks,109,2015-01-06,MLBHOF,Hall Of Fame,-,534
112764,Bobby Cox,X,Atlanta Braves,144,2014-07-27,MLBHOF,Hall Of Fame,-,-
123406,Joe Torre,X,New York Yankees,147,2014-07-27,MLBHOF,Hall Of Fame,-,-
