name_first,name_last,name_given,mlbam,bbrefID,bbrefIDminors,retroID,year_debut,year_recent
David,Aardsma,David Allan,430911,aardsda01,aardsm001dav,aardd001,2004,2015
Hank,Aaron,Henry Louis,110001,aaronha01,aaron-001hen,aaroh101,1954,1976
Tommie,Aaron,Tommie Lee,110002,aaronto01,aaron-001tom,aarot101,1962,1971
Don,Aase,Donald William,110003,aasedo01,aase--001don,aased001,1977,1990
Andy,Abad,Fausto Andres,407577,abadan01,abad--001fau,abada001,2001,2006
Fernando,Abad,Fernando Antonio,472551,abadfe01,abad--001fer,abadf001,2010,2021
John,Abadie,John W.,110004,abadijo01,abadie001joh,abadj101,1875,1875
Ed,Abbaticchio,Edward James,110005,abbated01,abbati001edw,abbae101,1897,1910
Bert,Abbey,Bert Wood,110006,abbeybe01,abbey-001ber,abbeb101,1892,1896
Charlie,Abbey,Charles S.,110007,abbeych01,abbey-001cha,abbec101,1893,1897
Cory,Abbott,Cory James,676265,abbotco01,abbott000cor,abboc001,2021,2021
Dan,Abbott,Leander Franklin,110013,abbotda01,abbott001dan,abbod101,1890,1890
Fred,Abbott,Harry Frederick,110008,abbotfr01,abbott002har,abbof101,1903,1905
Glenn,Abbott,William Glenn,110016,abbotgl01,abbott002wil,abbog001,1973,1984
Jeff,Abbott,Jeffrey William,110010,abbotje01,abbott002jef,abboj002,1997,2001
Jim,Abbott,James Anthony,110009,abbotji01,abbott001jam,abboj001,1989,1999
Kurt,Abbott,Kurt Thomas,110011,abbotku01,abbott001kur,abbok002,1993,2001
Kyle,Abbott,Lawrence Kyle,110012,abbotky01,abbott002law,abbok001,1991,1996
Ody,Abbott,Ody Cleon,110014,abbotod01,abbott001ody,abboo101,1910,1910
Paul,Abbott,Paul David,110015,abbotpa01,abbott001pau,abbop001,1990,2004
Al,Aber,Albert Julius,110017,aberal01,aber--001alb,abera101,1950,1957
Frank,Abercrombie,Francis Patterson,110018,abercda01,abercr001fra,aberd101,1871,1871
Reggie,Abercrombie,Reginald Damascus,430631,abercre01,abercr001reg,aberr001,2006,2008
Bill,Abernathie,William Edward,110019,abernbi01,aberna001wil,aberb101,1952,1952
Brent,Abernathy,Michael Brent,150466,abernbr01,aberna001mic,aberb001,2001,2005
Ted,Abernathy,Talmadge Lafayette,110020,abernte01,aberna001tal,abert102,1942,1944
Ted,Abernathy,Theodore Wade,110021,abernte02,aberna001the,abert101,1955,1972
Woody,Abernathy,Virgil Woodrow,110022,abernwo01,aberna001vir,aberw101,1946,1947
Cliff,Aberson,Clifford Alexander,110023,aberscl01,aberso001cli,aberc101,1947,1949
Harry,Ables,Harry Terrell,110024,ablesha01,ables-001har,ableh101,1905,1911
Shawn,Abner,Shawn Wesley,110025,abnersh01,abner-001sha,abnes001,1987,1992
Cal,Abrams,Calvin Ross,110026,abramca01,abrams001cal,abrac101,1949,1956
George,Abrams,George Allen,110027,abramge01,abrams001geo,abrag101,1923,1923
Johnny,Abrego,Johnny Ray,110028,abregjo01,abrego001joh,abrej001,1985,1985
Albert,Abreu,Albert Enmanuel,656061,abreual01,abreu-000alb,abrea001,2020,2021
Bobby,Abreu,Bob Kelly,110029,abreubo01,abreu-001bob,abreb001,1996,2014
Bryan,Abreu,Bryan Enrique,650556,abreubr01,abreu-000bry,abreb002,2019,2021
Joe,Abreu,Joseph Lawrence,110030,abreujo01,abreu-005jos,abrej101,1942,1942
José,Abreu,José Dariel,547989,abreujo02,abreu-009jos,abrej003,2014,2021
Juan,Abreu,Juan de Dios,444874,abreuju01,abreu-002jua,abrej002,2011,2011
Tony,Abreu,Etanislao Toni,473234,abreuto01,abreu-001eta,abret001,2007,2014
Winston,Abreu,Winston Leonardo,275700,abreuwi01,abreu-001win,abrew001,2006,2009
Bill,Abstein,William Henry,110031,abstebi01,abstei001wil,abstb101,1906,1910
Jeremy,Accardo,Jeremiah Lee,435618,accarje01,accard001jer,accaj001,2005,2012
Domingo,Acevedo,Domingo Antonio,642758,acevedo01,aceved000dom,acevd001,2021,2021
Jose,Acevedo,Jose Omar,406895,acevejo01,aceved002jos,acevj002,2001,2005
Juan,Acevedo,Juan Carlos,110032,aceveju01,aceved003jua,acevj001,1995,2003
Alfredo,Aceves,Alfredo,469686,aceveal01,aceves002alf,aceva001,2008,2014
A. J.,Achter,Adam Joseph,592091,achteaj01,achter001ada,achta001,2014,2016
Jim,Acker,James Justin,110033,ackerji01,acker-001jam,ackej001,1983,1992
Tom,Acker,Thomas James,110034,ackerto01,acker-001tho,acket101,1956,1959
Dustin,Ackley,Dustin Michael,554429,ackledu01,ackley001dus,ackld001,2011,2016
Fritz,Ackley,Florian Frederick,110035,acklefr01,ackley001flo,acklf101,1963,1964
Cy,Acosta,Cecilio,110037,acostcy01,acosta001cec,acosc101,1972,1975
Ed,Acosta,Eduardo Elixbet,110038,acosted01,acosta003edu,acose101,1970,1972
José,Acosta,José,110039,acostjo01,acosta003jos,acosj101,1920,1922
Manny,Acosta,Manuel Alcides,407924,acostma01,acosta001man,acosm001,2007,2012
Merito,Acosta,Baldomero Pedro,110036,acostme01,acosta001bal,acosm101,1913,1918
Mark,Acre,Mark Robert,110040,acrema01,acre--001mar,acrem001,1994,1997
