index,season,name_full,lg_abbrv,name_location,name_club,mlbam,franchID,bbrefID,retroID,mlbID,file_code,venue_name,venue_mlbam,first_year
diamondbacks_2022,2022,Arizona Diamondbacks,NL West,Arizona,Diamondbacks,109,ARI,ARI,ARI,ARI,ARI,Chase Field,15,1998
braves_2022,2022,Atlanta Braves,NL East,Atlanta,Braves,144,ATL,ATL,ATL,ATL,ATL,Truist Park,4705,1876
orioles_2022,2022,Baltimore Orioles,AL East,Baltimore,Orioles,110,BAL,BAL,BAL,BAL,BAL,Oriole Park at Camden Yards,2,1901
red_sox_2022,2022,Boston Red Sox,AL East,Boston,Red Sox,111,BOS,BOS,BOS,BOS,BOS,Fenway Park,3,1901
cubs_2022,2022,Chicago Cubs,NL Central,Chicago,Cubs,112,CHC,CHC,CHN,CHC,CHC,Wrigley Field,17,1876
white_sox_2022,2022,Chicago White Sox,AL Central,Chicago,White Sox,145,CHW,CHW,CHA,CWS,CWS,Guaranteed Rate Field,4,1901
reds_2022,2022,Cincinnati Reds,NL Central,Cincinnati,Reds,113,CIN,CIN,CIN,CIN,CIN,Great American Ball Park,2602,1882
guardians_2022,2022,Cleveland Guardians,AL Central,Cleveland,Guardians,114,CLE,CLE,CLE,CLE,CLE,Progressive Field,5,1901
rockies_2022,2022,Colorado Rockies,NL West,Colorado,Rockies,115,COL,COL,COL,COL,COL,Coors Field,19,1993
tigers_2022,2022,Detroit Tigers,AL Central,Detroit,Tigers,116,DET,DET,DET,DET,DET,Comerica Park,2394,1901
astros_2022,2022,Houston Astros,AL West,Houston,Astros,117,HOU,HOU,HOU,HOU,HOU,Minute Maid Park,2392,1962
royals_2022,2022,Kansas City Royals,AL Central,Kansas City,Royals,118,KCR,KCR,KCA,KC,KC,Kauffman Stadium,7,1969
angels_2022,2022,Los Angeles Angels,AL West,Los Angeles,Angels,108,ANA,LAA,ANA,LAA,ANA,Angel Stadium,1,1961
dodgers_2022,2022,Los Angeles Dodgers,NL West,Los Angeles,Dodgers,119,LAD,LAD,LAN,LAD,LA,Dodger Stadium,22,1884
marlins_2022,2022,Miami Marlins,NL East,Miami,Marlins,146,FLA,MIA,MIA,MIA,MIA,LoanDepot Park,4169,1993
brewers_2022,2022,Milwaukee Brewers,NL Central,Milwaukee,Brewers,158,MIL,MIL,MIL,MIL,MIL,American Family Field,32,1969
twins_2022,2022,Minnesota Twins,AL Central,Minnesota,Twins,142,MIN,MIN,MIN,MIN,MIN,Target Field,3312,1901
mets_2022,2022,New York Mets,NL East,New York,Mets,121,NYM,NYM,NYN,NYM,NYM,Citi Field,3289,1962
yankees_2022,2022,New York Yankees,AL East,New York,Yankees,147,NYY,NYY,NYA,NYY,NYY,Yankee Stadium,3313,1903
athletics_2022,2022,Oakland Athletics,AL West,Oakland,Athletics,133,OAK,OAK,OAK,OAK,OAK,Oakland Coliseum,10,1901
phillies_2022,2022,Philadelphia Phillies,NL East,Philadelphia,Phillies,143,PHI,PHI,PHI,PHI,PHI,Citizens Bank Park,2681,1883
pirates_2022,2022,Pittsburgh Pirates,NL Central,Pittsburgh,Pirates,134,PIT,PIT,PIT,PIT,PIT,PNC Park,31,1882
padres_2022,2022,San Diego Padres,NL West,San Diego,Padres,135,SDP,SDP,SDN,SD,SD,Petco Park,2680,1969
giants_2022,2022,San Francisco Giants,NL West,San Francisco,Giants,137,SFG,SFG,SFN,SF,SF,Oracle Park,2395,1883
mariners_2022,2022,Seattle Mariners,AL West,Seattle,Mariners,136,SEA,SEA,SEA,SEA,SEA,T-Mobile Park,680,1977
cardinals_2022,2022,St. Louis Cardinals,NL Central,St. Louis,Cardinals,138,STL,STL,SLN,STL,STL,Busch Stadium,2889,1882
rays_2022,2022,Tampa Bay Rays,AL East,Tampa Bay,Rays,139,TBD,TBR,TBA,TB,TB,Tropicana Field,12,1998
rangers_2022,2022,Texas Rangers,AL West,Texas,Rangers,140,TEX,TEX,TEX,TEX,TEX,Globe Life Field,5325,1961
blue_jays_2022,2022,Toronto Blue Jays,AL East,Toronto,Blue Jays,141,TOR,TOR,TOR,TOR,TOR,Rogers Centre,14,1977
nationals_2022,2022,Washington Nationals,NL East,Washington,Nationals,120,WSN,WSN,WAS,WSH,WAS,Nationals Park,3309,1969
diamondbacks_2021,2021,Arizona Diamondbacks,NL West,Arizona,Diamondbacks,109,ARI,ARI,ARI,ARI,ARI,Chase Field,15,1998
braves_2021,2021,Atlanta Braves,NL East,Atlanta,Braves,144,ATL,ATL,ATL,ATL,ATL,Truist Park,4705,1876
orioles_2021,2021,Baltimore Orioles,AL East,Baltimore,Orioles,110,BAL,BAL,BAL,BAL,BAL,Oriole Park at Camden Yards,2,1901
red_sox_2021,2021,Boston Red Sox,AL East,Boston,Red Sox,111,BOS,BOS,BOS,BOS,BOS,Fenway Park,3,1901
cubs_2021,2021,Chicago Cubs,NL Central,Chicago,Cubs,112,CHC,CHC,CHN,CHC,CHC,Wrigley Field,17,1876
white_sox_2021,2021,Chicago White Sox,AL Central,Chicago,White Sox,145,CHW,CHW,CHA,CWS,CWS,Guaranteed Rate Field,4,1901
reds_2021,2021,Cincinnati Reds,NL Central,Cincinnati,Reds,113,CIN,CIN,CIN,CIN,CIN,Great American Ball Park,2602,1882
indians_2021,2021,Cleveland Indians,AL Central,Cleveland,Indians,114,CLE,CLE,CLE,CLE,CLE,Progressive Field,5,1901
rockies_2021,2021,Colorado Rockies,NL West,Colorado,Rockies,115,COL,COL,COL,COL,COL,Coors Field,19,1993
tigers_2021,2021,Detroit Tigers,AL Central,Detroit,Tigers,116,DET,DET,DET,DET,DET,Comerica Park,2394,1901
astros_2021,2021,Houston Astros,AL West,Houston,Astros,117,HOU,HOU,HOU,HOU,HOU,Minute Maid Park,2392,1962
royals_2021,2021,Kansas City Royals,AL Central,Kansas City,Royals,118,KCR,KCR,KCA,KC,KC,Kauffman Stadium,7,1969
angels_2021,2021,Los Angeles Angels,AL West,Los Angeles,Angels,108,ANA,LAA,ANA,LAA,ANA,Angel Stadium,1,1961
dodgers_2021,2021,Los Angeles Dodgers,NL West,Los Angeles,Dodgers,119,LAD,LAD,LAN,LAD,LA,Dodger Stadium,22,1884
marlins_2021,2021,Miami Marlins,NL East,Miami,Marlins,146,FLA,MIA,MIA,MIA,MIA,LoanDepot Park,4169,1993
brewers_2021,2021,Milwaukee Brewers,NL Central,Milwaukee,Brewers,158,MIL,MIL,MIL,MIL,MIL,American Family Field,32,1969
twins_2021,2021,Minnesota Twins,AL Central,Minnesota,Twins,142,MIN,MIN,MIN,MIN,MIN,Target Field,3312,1901
mets_2021,2021,New York Mets,NL East,New York,Mets,121,NYM,NYM,NYN,NYM,NYM,Citi Field,3289,1962
yankees_2021,2021,New York Yankees,AL East,New York,Yankees,147,NYY,NYY,NYA,NYY,NYY,Yankee Stadium,3313,1903
athletics_2021,2021,Oakland Athletics,AL West,Oakland,Athletics,133,OAK,OAK,OAK,OAK,OAK,Oakland Coliseum,10,1901
phillies_2021,2021,Philadelphia Phillies,NL East,Philadelphia,Phillies,143,PHI,PHI,PHI,PHI,PHI,Citizens Bank Park,2681,1883
pirates_2021,2021,Pittsburgh Pirates,NL Central,Pittsburgh,Pirates,134,PIT,PIT,PIT,PIT,PIT,PNC Park,31,1882
padres_2021,2021,San Diego Padres,NL West,San Diego,Padres,135,SDP,SDP,SDN,SD,SD,Petco Park,2680,1969
giants_2021,2021,San Francisco Giants,NL West,San Francisco,Giants,137,SFG,SFG,SFN,SF,SF,Oracle Park,2395,1883
mariners_2021,2021,Seattle Mariners,AL West,Seattle,Mariners,136,SEA,SEA,SEA,SEA,SEA,T-Mobile Park,680,1977
cardinals_2021,2021,St. Louis Cardinals,NL Central,St. Louis,Cardinals,138,STL,STL,SLN,STL,STL,Busch Stadium,2889,1882
rays_2021,2021,Tampa Bay Rays,AL East,Tampa Bay,Rays,139,TBD,TBR,TBA,TB,TB,Tropicana Field,12,1998
rangers_2021,2021,Texas Rangers,AL West,Texas,Rangers,140,TEX,TEX,TEX,TEX,TEX,Globe Life Field,5325,1961
blue_jays_2021,2021,Toronto Blue Jays,AL East,Toronto,Blue Jays,141,TOR,TOR,TOR,TOR,TOR,Rogers Centre,14,1977
nationals_2021,2021,Washington Nationals,NL East,Washington,Nationals,120,WSN,WSN,WAS,WSH,WAS,Nationals Park,3309,1969
diamondbacks_2020,2020,Arizona Diamondbacks,NL West,Arizona,Diamondbacks,109,ARI,ARI,ARI,ARI,ARI,Chase Field,15,1998
braves_2020,2020,Atlanta Braves,NL East,Atlanta,Braves,144,ATL,ATL,ATL,ATL,ATL,Truist Park,4705,1876
orioles_2020,2020,Baltimore Orioles,AL East,Baltimore,Orioles,110,BAL,BAL,BAL,BAL,BAL,Oriole Park at Camden Yards,2,1901
