mlbam,name,active,address1,address2,postal_code,city,state,country,phone,lat,lon,turf_type,roof_type,left_line,right_line,left,center,right,left_center,right_center,tz_id,tz_offset,tz,retroID
5515,Colorado Convention Center,True,,,,Denver,CO,USA,,,,Indoor,Indoor,,,,,,,,America/Denver,-6,MDT,
5520,FredNats Ballpark,True,42 Jackie Robinson Way,,22401,Fredericksburg,VA,USA,,,,Artificial Turf,Open,,,,,,,,America/New_York,-4,EDT,
5525,ABC Supply Stadium,True,217 Shirland Ave,,53511,Beloit,WI,USA,,,,Artificial Turf,Open,,,,,,,,America/Chicago,-5,CDT,
6006,Billy Hebert Field,False,,,,Stockton,CA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
5204,Cleveland Arena,False,,,,Cleveland,OH,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
2758,Dwyer Stadium,True,299 Bank Street,,14020,Batavia,NY,USA,,,,Grass,Open,325.0,325.0,,400.0,,,,America/New_York,-4,EDT,
5205,Coliseum at Richfield,False,,,,Cleveland,OH,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5206,Denver Arena Auditorium,False,,,,Denver,CO,USA,,,,Indoor,Dome,,,,,,,,America/Denver,-6,MDT,
5213,Municipal Auditorium,False,,,,Philadelphia,PA,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5214,San Francisco Civic Auditorium,False,,,,San Francisco,CA,USA,,,,Indoor,Dome,,,,,,,,America/Los_Angeles,-7,PDT,
5215,San Diego Sports Arena,False,,,,San Diego,CA,USA,,,,Indoor,Dome,,,,,,,,America/Los_Angeles,-7,PDT,
5216,Hofheinz Pavilion,False,,,,Houston,TX,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5217,Compaq Center,False,,,,Houston,TX,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5218,Indiana State Fairgrounds Coliseum,False,,,,Indianapolis,IN,USA,,,,Indoor,Dome,,,,,,,,America/Indiana/Indianapolis,-4,EDT,
5219,Market Square Arena,False,,,,Indianapolis,IN,USA,,,,Indoor,Dome,,,,,,,,America/Indiana/Indianapolis,-4,EDT,
5220,Minneapolis Auditorium,False,,,,Minneapolis,MN,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5221,Minneapolis Armory,False,,,,Minneapolis,MN,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5222,Pyramid Arena,False,,,,Memphis,TN,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5223,KeyArena at Seattle Center,False,,,,Seattle,WA,USA,,,,Indoor,Dome,,,,,,,,America/Los_Angeles,-7,PDT,
5224,Tacoma Dome,False,,,,Tacoma,WA,USA,,,,Indoor,Dome,,,,,,,,America/Los_Angeles,-7,PDT,
5225,Amway Arena,False,,,,Orlando,FL,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5226,State Fair Coliseum,False,,,,Syracuse,NY,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5227,Oncenter War Memorial Arena,False,,,,Syracuse,NY,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5228,Arizona Veterans Memorial Coliseum,False,,,,Phoenix,AZ,USA,,,,Indoor,Dome,,,,,,,,America/Phoenix,-7,MST,
5229,Wharton Fieldhouse,False,,,,Moline,IL,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5230,MECCA Arena,False,,,,Milwaukee,WI,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5231,Kiel Auditorium,False,,,,St. Louis,MO,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5232,Alexander Coliseum,False,,,,Atlanta,GA,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5233,Teaneck Armory,False,,,,Teaneck,NJ,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5234,Long Island Arena,False,,,,Commack,NY,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5235,Island Garden,False,,,,West Hempstead,NY,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5236,Rutgers Athletic Center,False,,,,Piscataway,NJ,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5237,Izod Center,False,,,,East Rutherford,NJ,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
2866,ShoreTown Ballpark,True,2 Stadium Way,,08701,Lakewood,NJ,USA,,40.0751153,-74.18700152,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4469,Alamodome,False,100 Montana Street,,78203,San Antonio,TX,USA,,,,Artificial Turf,Dome,340.0,280.0,,395.0,,,,America/Chicago,-5,CDT,
